chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
ARMY_FM_3_60_2023_C00001,ARMY_FM_3_60_2023_S0001,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,1,1,3-60,3-60,Front Matter,Front Matter,Fm 3-60,front_matter,FM 3-60 Army Targeting,22,6,doctrine_explanation;operational_context,qa;staff_advice,low,,교리; 작전; 표적처리,"이 청크는 Front Matter에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Front Matter
Section: Front Matter
Subsection: Fm 3-60
Keywords: 
Text: FM 3-60 Army Targeting","FM 3-60 Army Targeting (2023-08-11), Front Matter, Front Matter, Fm 3-60, FM 3-60, Front Matter, Front Matter, Fm 3-60, printed p. 3-60; PDF p. 1.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Front Matter, Front Matter, Fm 3-60, printed p. 3-60; PDF p. 1",en,complete,YES,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00002,ARMY_FM_3_60_2023_S0002,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,1,2,3-60,mil,Front Matter,Front Matter,August 2023,front_matter,"AUGUST 2023 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited. This publication supersedes ATP 3-60, dated 7 May 2015. HEADQUARTERS, DEPARTMENT OF THE ARMY This publication is available at the Army Publishing Directorate site (http://www.armypubs.army.mil) and the Central Army Registry site (https://atiam.train.army.mil/catalog/dashboard).",372,93,doctrine_explanation;operational_context,qa;staff_advice,low,distribution; publication; site; mil; august; restriction; approved; public,교리; 작전; 표적처리,"이 청크는 Front Matter에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Front Matter
Section: Front Matter
Subsection: August 2023
Keywords: distribution, publication, site, mil, august, restriction, approved, public
Text: AUGUST 2023 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited. This publication supersedes ATP 3-60, dated 7 May 2015. HEADQUARTERS, DEPARTMENT OF THE ARMY This publication is available at the Army Publishing Directorate site (http://www.armypubs.army.mil) and the Central Army Registry site (https://atiam.train.army.mil/catalog/dashboard).","FM 3-60 Army Targeting (2023-08-11), Front Matter, Front Matter, August 2023, FM 3-60, Front Matter, Front Matter, August 2023, printed p. 3-60-mil; PDF p. 1-2.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Front Matter, Front Matter, August 2023, printed p. 3-60-mil; PDF p. 1-2",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00003,ARMY_FM_3_60_2023_S0003,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,Chapter 1,"Section III – Operations, Planning, and Targeting ............................................... 1-3",*Fm 3-60,front_matter,"*FM 3-60 DISTRIBUTION STATEMENT: Approved for public release; distribution is unlimited. *This publication supersedes ATP 3-60, dated 7 May 2015. i Field Manual No. 3-60 Headquarters Department of the Army Washington, D.C., 11 August 2023 Page",243,61,doctrine_explanation;operational_context,qa;staff_advice,low,distribution; statement; approved; public; release; unlimited; publication; supersedes,교리; 작전; 표적처리,"이 청크는 Section III – Operations, Planning, and Targeting ............................................... 1-3에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Chapter 1
Section: Section III – Operations, Planning, and Targeting ............................................... 1-3
Subsection: *Fm 3-60
Keywords: distribution, statement, approved, public, release, unlimited, publication, supersedes
Text: *FM 3-60 DISTRIBUTION STATEMENT: Approved for public release; distribution is unlimited. *This publication supersedes ATP 3-60, dated 7 May 2015. i Field Manual No. 3-60 Headquarters Department of the Army Washington, D.C., 11 August 2023 Page","FM 3-60 Army Targeting (2023-08-11), Chapter 1, Section III – Operations, Planning, and Targeting ............................................... 1-3, *Fm 3-60, FM 3-60, Chapter 1, Section III – Operations, Planning, and Targeting ............................................... 1-3, *Fm 3-60, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Chapter 1, Section III – Operations, Planning, and Targeting ............................................... 1-3, *Fm 3-60, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00004,ARMY_FM_3_60_2023_S0004,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,PREFACE..................................................................................................................... v,PREFACE..................................................................................................................... v,,front_matter,PREFACE..................................................................................................................... v,126,32,doctrine_explanation;operational_context,qa;staff_advice,low,preface,교리; 작전; 표적처리,"이 청크는 PREFACE..................................................................................................................... v에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: PREFACE..................................................................................................................... v
Section: PREFACE..................................................................................................................... v
Subsection: 
Keywords: preface
Text: PREFACE..................................................................................................................... v","FM 3-60 Army Targeting (2023-08-11), PREFACE..................................................................................................................... v, PREFACE..................................................................................................................... v, FM 3-60, PREFACE..................................................................................................................... v, PREFACE..................................................................................................................... v, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, PREFACE..................................................................................................................... v, PREFACE..................................................................................................................... v, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00005,ARMY_FM_3_60_2023_S0005,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,INTRODUCTION ........................................................................................................ vii,INTRODUCTION ........................................................................................................ vii,,front_matter,INTRODUCTION ........................................................................................................ vii,121,31,doctrine_explanation;operational_context,qa;staff_advice,low,introduction; vii,교리; 작전; 표적처리,"이 청크는 INTRODUCTION ........................................................................................................ vii에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: INTRODUCTION ........................................................................................................ vii
Section: INTRODUCTION ........................................................................................................ vii
Subsection: 
Keywords: introduction, vii
Text: INTRODUCTION ........................................................................................................ vii","FM 3-60 Army Targeting (2023-08-11), INTRODUCTION ........................................................................................................ vii, INTRODUCTION ........................................................................................................ vii, FM 3-60, INTRODUCTION ........................................................................................................ vii, INTRODUCTION ........................................................................................................ vii, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, INTRODUCTION ........................................................................................................ vii, INTRODUCTION ........................................................................................................ vii, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00006,ARMY_FM_3_60_2023_S0006,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,Chapter 1,Chapter 1,,front_matter,Chapter 1 FOUNDATIONAL GUIDELINES ............................................................................... 1-1,117,30,doctrine_explanation;operational_context,qa;staff_advice,low,chapter; foundational; guidelines,교리; 작전; 표적처리,"이 청크는 Chapter 1에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Chapter 1
Section: Chapter 1
Subsection: 
Keywords: chapter, foundational, guidelines
Text: Chapter 1 FOUNDATIONAL GUIDELINES ............................................................................... 1-1","FM 3-60 Army Targeting (2023-08-11), Chapter 1, Chapter 1, FM 3-60, Chapter 1, Chapter 1, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Chapter 1, Chapter 1, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00007,ARMY_FM_3_60_2023_S0007,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,Chapter 1,Section I - Terminology ........................................................................................... 1-2,,front_matter,Section I - Terminology ........................................................................................... 1-2,119,30,doctrine_explanation;operational_context,qa;staff_advice,low,section; terminology,교리; 작전; 표적처리,"이 청크는 Section I - Terminology ........................................................................................... 1-2에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Chapter 1
Section: Section I - Terminology ........................................................................................... 1-2
Subsection: 
Keywords: section, terminology
Text: Section I - Terminology ........................................................................................... 1-2","FM 3-60 Army Targeting (2023-08-11), Chapter 1, Section I - Terminology ........................................................................................... 1-2, FM 3-60, Chapter 1, Section I - Terminology ........................................................................................... 1-2, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Chapter 1, Section I - Terminology ........................................................................................... 1-2, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00008,ARMY_FM_3_60_2023_S0008,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,Chapter 1,Section II – Principles ............................................................................................. 1-2,,front_matter,Section II – Principles ............................................................................................. 1-2,121,31,doctrine_explanation;operational_context,qa;staff_advice,low,section; principles,교리; 작전; 표적처리,"이 청크는 Section II – Principles ............................................................................................. 1-2에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Chapter 1
Section: Section II – Principles ............................................................................................. 1-2
Subsection: 
Keywords: section, principles
Text: Section II – Principles ............................................................................................. 1-2","FM 3-60 Army Targeting (2023-08-11), Chapter 1, Section II – Principles ............................................................................................. 1-2, FM 3-60, Chapter 1, Section II – Principles ............................................................................................. 1-2, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Chapter 1, Section II – Principles ............................................................................................. 1-2, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00009,ARMY_FM_3_60_2023_S0009,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,Chapter 1,"Section III – Operations, Planning, and Targeting ............................................... 1-3",,front_matter,"Section III – Operations, Planning, and Targeting ............................................... 1-3",101,26,doctrine_explanation;operational_context,qa;staff_advice,low,section; iii,교리; 작전; 표적처리,"이 청크는 Section III – Operations, Planning, and Targeting ............................................... 1-3에서 교리, 작전, 표적처리 관련 front_matter 내용을 설명한다.","Document: FM 3-60 Army Targeting
Chapter: Chapter 1
Section: Section III – Operations, Planning, and Targeting ............................................... 1-3
Subsection: 
Keywords: section, iii
Text: Section III – Operations, Planning, and Targeting ............................................... 1-3","FM 3-60 Army Targeting (2023-08-11), Chapter 1, Section III – Operations, Planning, and Targeting ............................................... 1-3, FM 3-60, Chapter 1, Section III – Operations, Planning, and Targeting ............................................... 1-3, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Chapter 1, Section III – Operations, Planning, and Targeting ............................................... 1-3, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
ARMY_FM_3_60_2023_C00010,ARMY_FM_3_60_2023_S0010,ARMY_FM_3_60_2023,FM 3-60 Army Targeting,FM 3-60,2023-08-11,"Headquarters, Department of the Army",ARN39048-FM_3-60-000-WEB-1.pdf,3,3,III,III,Chapter 1,Section IV – Key Doctrinal Concepts .................................................................... 1-3,,front_matter,Section IV – Key Doctrinal Concepts .................................................................... 1-3 Targeting Guidance ................................................................................................... 1-4 Targeting Categories ................................................................................................. 1-4,354,89,doctrine_explanation;operational_context,qa;staff_advice,low,section; key; doctrinal; concepts; guidance; categories,지침,이 청크는 Section IV – Key Doctrinal Concepts .................................................................... 1-3에서 지침 관련 front_matter 내용을 설명한다.,"Document: FM 3-60 Army Targeting
Chapter: Chapter 1
Section: Section IV – Key Doctrinal Concepts .................................................................... 1-3
Subsection: 
Keywords: section, key, doctrinal, concepts, guidance, categories
Text: Section IV – Key Doctrinal Concepts .................................................................... 1-3 Targeting Guidance ................................................................................................... 1-4 Targeting Categories ................................................................................................. 1-4","FM 3-60 Army Targeting (2023-08-11), Chapter 1, Section IV – Key Doctrinal Concepts .................................................................... 1-3, FM 3-60, Chapter 1, Section IV – Key Doctrinal Concepts .................................................................... 1-3, printed p. III; PDF p. 3.",public,"공개 교범 기반 답변 가능. 작전 적용 시 최신 지휘관 지침, ROE, 법적 검토와 병행 필요.","FM 3-60, Chapter 1, Section IV – Key Doctrinal Concepts .................................................................... 1-3, printed p. III; PDF p. 3",en,complete,NO,v1.0,2026-05-07,2026-05-07
