chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
MSOC_SYLLABUS_20250709_BODY_0001,MSOC_SYLLABUS_20250709_front_matter,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,1,1,1,1,MSOC Syllabus,Front Matter,Publication metadata and course access information,front_matter,"09 July 2025 
Maritime Staff Operators Course 
(MSOC) 
 
https://usnwc.edu/college-of-maritime-operational-warfare/Core- 
Curriculum/MaritimeStaff-Operators-Course 
 
msocadmin@USNWC.edu",186,46,administrative_reference; course_admin_reference,qa; staff_advice,low,"MSOC, syllabus, Naval War College, course access, contact","해양참모작전과정, 강의계획서, 해군전쟁대학, 과정 접근, 연락처","문서 발간일, 과정명, 홈페이지, 행정 연락처 등 표지성 정보를 보존한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Front Matter - Publication metadata and course access information
Keywords: MSOC, syllabus, Naval War College, course access, contact
Summary Korean: 문서 발간일, 과정명, 홈페이지, 행정 연락처 등 표지성 정보를 보존한다.
Text:
09 July 2025 
Maritime Staff Operators Course 
(MSOC) 
 
https://usnwc.edu/college-of-maritime-operational-warfare/Core- 
Curriculum/MaritimeStaff-Operators-Course 
 
msocadmin@USNWC.edu","MSOC Syllabus (09 July 2025), Front Matter, pdf pp. 1-1: 09 July 2025  Maritime Staff Operators Course  (MSOC)    https://usnwc.edu/college-of-maritime-operational-warfare/Core-  Curriculum/MaritimeStaff-Operators-Course    msocadmin@USNWC.edu...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Front Matter, pdf pp. 1-1",en,ok,YES,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0002,MSOC_SYLLABUS_20250709_overview,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,1,1,1,1,MSOC Syllabus,Overview,"Course purpose, scope, and pedagogical approach",body,"OVERVIEW
Welcome to the Maritime Staff Operators Course (MSOC). This syllabus is provided for
reference and guidance throughout the course.
The Maritime Staff Operators Course (MSOC) (which requires a SECRET clearance) provides
resident education in the application of the Maritime Operations Center (MOC) concept,
organization, and processes; maritime operational level of warfare concepts, terminology, and
processes; and the Navy Planning Process (NPP) in order to produce graduates capable of
immediately supporting the commander’s decision cycle at the operational level of warfare in a
dynamic and complex environment.
This course examines both the art and science associated with military activities across the range of
military operations. It includes recently developed MOC concepts and substantial application of
the Navy Planning Process (NPP). MSOC incorporates seminars, lectures, and practical exercises
using a realistic maritime scenario. It culminates with a synthesizing Battle Lab exercise designed",1017,254,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"MSOC, MOC, NPP, operational level of war, Battle Lab, C/JFMCC","MSOC, MOC, 해군계획절차, 작전술 수준, 배틀랩, 해양구성군사령관","MSOC의 목적, 교육방식, MOC·NPP·C/JFMCC 중심 실습 구성과 학생 산출물을 설명한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Overview - Course purpose, scope, and pedagogical approach
Keywords: MSOC, MOC, NPP, operational level of war, Battle Lab, C/JFMCC
Summary Korean: MSOC의 목적, 교육방식, MOC·NPP·C/JFMCC 중심 실습 구성과 학생 산출물을 설명한다.
Text:
OVERVIEW
Welcome to the Maritime Staff Operators Course (MSOC). This syllabus is provided for
reference and guidance throughout the course.
The Maritime Staff Operators Course (MSOC) (which requires a SECRET clearance) provides
resident education in the application of the Maritime Operations Center (MOC) concept,
organization, and processes; maritime operational level of warfare concepts, terminology, and
processes; and the Navy Planning Process (NPP) in order to produce graduates capable of
immediately supporting the commander’s decision cycle at the operational level of warfare in a
dynamic and complex environment.
This course examines both the art and science associated with military activities across the range of
military operations. It includes recently developed MOC concepts and substantial application of
the Navy Planning Process (NPP). MSOC incorporates seminars, lectures, and practical exercises
using a realistic maritime scenario. It culminates with a synthesizing Battle Lab exercise designed","MSOC Syllabus (09 July 2025), Overview, pdf pp. 1-1: OVERVIEW Welcome to the Maritime Staff Operators Course (MSOC). This syllabus is provided for reference and guidance throughout the course. The Maritime Staff Operators Course (MSOC) (which requires a SECRET clearance) p...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Overview, pdf pp. 1-1",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0003,MSOC_SYLLABUS_20250709_overview,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,1,1,1,1,MSOC Syllabus,Overview,"Course purpose, scope, and pedagogical approach",body,"ing Process (NPP). MSOC incorporates seminars, lectures, and practical exercises
using a realistic maritime scenario. It culminates with a synthesizing Battle Lab exercise designed
to replicate the organization, processes, procedures, and command and control tools of a nominal
MOC.
The focus of this course is on maritime operations at the operational level of war. The construct is
inherently joint, and uses both Navy and joint doctrine as standard references. Accordingly, it
emphasizes the application of maritime capabilities through a combined/joint force maritime
component commander (C/JFMCC) and its relevance and value to the joint force commander
(JFC). Students apply planning skills and maritime staff processes and procedures across numerous
maritime lines of operation (LOOs) which include, but are not limited to, maritime interception
operations (MIO), noncombatant evacuation operations (NEOs), and multi-service/ interagency/
multinational operations, using a dynamic scenario set in 2030.",1009,252,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"MSOC, MOC, NPP, operational level of war, Battle Lab, C/JFMCC","MSOC, MOC, 해군계획절차, 작전술 수준, 배틀랩, 해양구성군사령관","MSOC의 목적, 교육방식, MOC·NPP·C/JFMCC 중심 실습 구성과 학생 산출물을 설명한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Overview - Course purpose, scope, and pedagogical approach
Keywords: MSOC, MOC, NPP, operational level of war, Battle Lab, C/JFMCC
Summary Korean: MSOC의 목적, 교육방식, MOC·NPP·C/JFMCC 중심 실습 구성과 학생 산출물을 설명한다.
Text:
ing Process (NPP). MSOC incorporates seminars, lectures, and practical exercises
using a realistic maritime scenario. It culminates with a synthesizing Battle Lab exercise designed
to replicate the organization, processes, procedures, and command and control tools of a nominal
MOC.
The focus of this course is on maritime operations at the operational level of war. The construct is
inherently joint, and uses both Navy and joint doctrine as standard references. Accordingly, it
emphasizes the application of maritime capabilities through a combined/joint force maritime
component commander (C/JFMCC) and its relevance and value to the joint force commander
(JFC). Students apply planning skills and maritime staff processes and procedures across numerous
maritime lines of operation (LOOs) which include, but are not limited to, maritime interception
operations (MIO), noncombatant evacuation operations (NEOs), and multi-service/ interagency/
multinational operations, using a dynamic scenario set in 2030.","MSOC Syllabus (09 July 2025), Overview, pdf pp. 1-1: ing Process (NPP). MSOC incorporates seminars, lectures, and practical exercises using a realistic maritime scenario. It culminates with a synthesizing Battle Lab exercise designed to replicate the organization, processe...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Overview, pdf pp. 1-1",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0004,MSOC_SYLLABUS_20250709_overview,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,1,1,1,1,MSOC Syllabus,Overview,"Course purpose, scope, and pedagogical approach",body,", maritime interception
operations (MIO), noncombatant evacuation operations (NEOs), and multi-service/ interagency/
multinational operations, using a dynamic scenario set in 2030.
MSOC uses a practitioner’s approach requiring hands-on student participation. Student-produced
deliverables include military briefings and mission-type orders (e.g., operation orders (OPORDs),
fragmentary orders (FRAGORDs), and daily intentions messages (DIMs)).",443,111,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"MSOC, MOC, NPP, operational level of war, Battle Lab, C/JFMCC","MSOC, MOC, 해군계획절차, 작전술 수준, 배틀랩, 해양구성군사령관","MSOC의 목적, 교육방식, MOC·NPP·C/JFMCC 중심 실습 구성과 학생 산출물을 설명한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Overview - Course purpose, scope, and pedagogical approach
Keywords: MSOC, MOC, NPP, operational level of war, Battle Lab, C/JFMCC
Summary Korean: MSOC의 목적, 교육방식, MOC·NPP·C/JFMCC 중심 실습 구성과 학생 산출물을 설명한다.
Text:
, maritime interception
operations (MIO), noncombatant evacuation operations (NEOs), and multi-service/ interagency/
multinational operations, using a dynamic scenario set in 2030.
MSOC uses a practitioner’s approach requiring hands-on student participation. Student-produced
deliverables include military briefings and mission-type orders (e.g., operation orders (OPORDs),
fragmentary orders (FRAGORDs), and daily intentions messages (DIMs)).","MSOC Syllabus (09 July 2025), Overview, pdf pp. 1-1: , maritime interception operations (MIO), noncombatant evacuation operations (NEOs), and multi-service/ interagency/ multinational operations, using a dynamic scenario set in 2030. MSOC uses a practitioner’s approach req...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Overview, pdf pp. 1-1",en,ok,YES,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0005,MSOC_SYLLABUS_20250709_course_outcomes,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,2,2,2,2,MSOC Syllabus,Course Outcomes,Graduate capabilities and course LOEs,body,"COURSE OUTCOMES 
The course builds on fundamentals and culminates with the students planning major naval 
operation, and then subsequent FRAGORDS during the execution phase of MSOC. This course is 
designed to produce personnel who are capable of performing in a high-tempo, fluid operational 
environment. Specifically, course graduates will be able to: 
• DEMONSTRATE Naval Planning and Maritime Component Warfighting as part of a Joint or 
coalition force. 
• APPLY MOC processes, procedures and terminology and support commander’s decision cycle. 
• APPLY Operational Level of Warfare concepts to effectively blend the art and science of 
commanding joint/combined forces. 
 
LINES OF EFFORT (LOEs) 
The curriculum is comprised of four interconnected LOEs: 
1.",764,191,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"course outcomes, LOE, naval planning, maritime component, commander decision cycle","과정 성과, 노력선, 해군계획, 해양구성군, 지휘관 의사결정주기","과정 수료자가 해군 계획, 해양구성군 전투수행, MOC 절차, 지휘관 의사결정주기 지원 능력을 갖추도록 설정한 성과와 LOE를 정리한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Course Outcomes - Graduate capabilities and course LOEs
Keywords: course outcomes, LOE, naval planning, maritime component, commander decision cycle
Summary Korean: 과정 수료자가 해군 계획, 해양구성군 전투수행, MOC 절차, 지휘관 의사결정주기 지원 능력을 갖추도록 설정한 성과와 LOE를 정리한다.
Text:
COURSE OUTCOMES 
The course builds on fundamentals and culminates with the students planning major naval 
operation, and then subsequent FRAGORDS during the execution phase of MSOC. This course is 
designed to produce personnel who are capable of performing in a high-tempo, fluid operational 
environment. Specifically, course graduates will be able to: 
• DEMONSTRATE Naval Planning and Maritime Component Warfighting as part of a Joint or 
coalition force. 
• APPLY MOC processes, procedures and terminology and support commander’s decision cycle. 
• APPLY Operational Level of Warfare concepts to effectively blend the art and science of 
commanding joint/combined forces. 
 
LINES OF EFFORT (LOEs) 
The curriculum is comprised of four interconnected LOEs: 
1.","MSOC Syllabus (09 July 2025), Course Outcomes, pdf pp. 2-2: COURSE OUTCOMES  The course builds on fundamentals and culminates with the students planning major naval  operation, and then subsequent FRAGORDS during the execution phase of MSOC. This course is  designed to produce pe...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Course Outcomes, pdf pp. 2-2",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0006,MSOC_SYLLABUS_20250709_loe_strategy,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,2,3,2,3,MSOC Syllabus,"Strategy, Operational Art, and Operational Functions",Fundamentals of joint warfare and operational art,body,"Strategy, Operational Art, and Operational Functions
2. Maritime Command and Control
3. Planning and Preparation
4. Execution
Holistically, the LOEs are designed to meet the following COURSE OBJECTIVES:
• Comprehend the strategic context, fundamentals of naval and joint operations, operational
art/design and relationship of operational art to strategy and tactics.
• Analyze the organization and functions of a maritime component staff in order to command and
control maritime, joint, and multinational forces across the range of military operations.
• Apply and analyze the NPP and how to use that process to create plans and orders at the
operational level of war.
• Synthesize course fundamentals as a member of a MOC during execution in a realistic scenario.
Strategy, Operational Art, and Operational Functions
In the first LOE, MSOC introduces the students to the fundamental aspects of joint warfare, to
include familiarization with:
• National and maritime strategies
• Operational Concepts
• Operational art and design concepts
• Joint and Service references and doctrinal publications
•",1098,274,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"strategy, operational art, operational design, joint functions, center of gravity","전략, 작전술, 작전설계, 합동기능, 중심","전략, 작전술, 작전설계, 작전기능, 중심 식별 등 MSOC 초반 LOE의 핵심 학습 요소를 제시한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Strategy, Operational Art, and Operational Functions - Fundamentals of joint warfare and operational art
Keywords: strategy, operational art, operational design, joint functions, center of gravity
Summary Korean: 전략, 작전술, 작전설계, 작전기능, 중심 식별 등 MSOC 초반 LOE의 핵심 학습 요소를 제시한다.
Text:
Strategy, Operational Art, and Operational Functions
2. Maritime Command and Control
3. Planning and Preparation
4. Execution
Holistically, the LOEs are designed to meet the following COURSE OBJECTIVES:
• Comprehend the strategic context, fundamentals of naval and joint operations, operational
art/design and relationship of operational art to strategy and tactics.
• Analyze the organization and functions of a maritime component staff in order to command and
control maritime, joint, and multinational forces across the range of military operations.
• Apply and analyze the NPP and how to use that process to create plans and orders at the
operational level of war.
• Synthesize course fundamentals as a member of a MOC during execution in a realistic scenario.
Strategy, Operational Art, and Operational Functions
In the first LOE, MSOC introduces the students to the fundamental aspects of joint warfare, to
include familiarization with:
• National and maritime strategies
• Operational Concepts
• Operational art and design concepts
• Joint and Service references and doctrinal publications
•","MSOC Syllabus (09 July 2025), Strategy, Operational Art, and Operational Functions, pdf pp. 2-3: Strategy, Operational Art, and Operational Functions 2. Maritime Command and Control 3. Planning and Preparation 4. Execution Holistically, the LOEs are designed to meet the following COURSE OBJECTIVES: • Comprehend the ...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Strategy, Operational Art, and Operational Functions, pdf pp. 2-3",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0007,MSOC_SYLLABUS_20250709_loe_strategy,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,2,3,2,3,MSOC Syllabus,"Strategy, Operational Art, and Operational Functions",Fundamentals of joint warfare and operational art,body,"de familiarization with:
• National and maritime strategies
• Operational Concepts
• Operational art and design concepts
• Joint and Service references and doctrinal publications
•
Levels of command and levels of war
• Theater geometry
• Operational warfare at sea
• Operational factors of space-time-force
• Principles of joint operations/principles of war
• Center-of-gravity identification and deconstruction
• Joint functions of C2, intelligence, sustainment, movement and maneuver, fires, and protection
(with detailed discussions of each function)
• Joint planning guidance and execution systems
The initial LOE culminates in a comprehensive discussion of the Battle of Leyte Gulf which
synthesizes the key aspects of operational art. The remainder of the course builds extensively upon
these foundational aspects.",820,205,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"strategy, operational art, operational design, joint functions, center of gravity","전략, 작전술, 작전설계, 합동기능, 중심","전략, 작전술, 작전설계, 작전기능, 중심 식별 등 MSOC 초반 LOE의 핵심 학습 요소를 제시한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Strategy, Operational Art, and Operational Functions - Fundamentals of joint warfare and operational art
Keywords: strategy, operational art, operational design, joint functions, center of gravity
Summary Korean: 전략, 작전술, 작전설계, 작전기능, 중심 식별 등 MSOC 초반 LOE의 핵심 학습 요소를 제시한다.
Text:
de familiarization with:
• National and maritime strategies
• Operational Concepts
• Operational art and design concepts
• Joint and Service references and doctrinal publications
•
Levels of command and levels of war
• Theater geometry
• Operational warfare at sea
• Operational factors of space-time-force
• Principles of joint operations/principles of war
• Center-of-gravity identification and deconstruction
• Joint functions of C2, intelligence, sustainment, movement and maneuver, fires, and protection
(with detailed discussions of each function)
• Joint planning guidance and execution systems
The initial LOE culminates in a comprehensive discussion of the Battle of Leyte Gulf which
synthesizes the key aspects of operational art. The remainder of the course builds extensively upon
these foundational aspects.","MSOC Syllabus (09 July 2025), Strategy, Operational Art, and Operational Functions, pdf pp. 2-3: de familiarization with: • National and maritime strategies • Operational Concepts • Operational art and design concepts • Joint and Service references and doctrinal publications • Levels of command and levels of war • T...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Strategy, Operational Art, and Operational Functions, pdf pp. 2-3",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0008,MSOC_SYLLABUS_20250709_loe_c2,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,3,4,3,4,MSOC Syllabus,Maritime Command and Control,Operational-level C2 and MOC construct,body,"Maritime Command and Control
The second LOE focuses on the core aspect of operational-level warfare – C2 of maritime forces, 
the employment of maritime capabilities, and how the Navy executes operational C2 via the MOC 
construct, to include: 
• The commander’s decision cycle 
• COCOM, OPCON, and TACON authorities 
• Supported and supporting command relationships 
• Joint force and JTF organization 
• Operations in the Information Environment 
• Operational law and rules of engagement (ROE) 
• Joint Service capabilities (USN, USA, USMC, USAF, USSF, USCG, SOF) 
• Maritime security operations, including MIO and operations to support freedom of navigation 
• Maritime Domain Awareness (MDA)/Maritime Operational Threat Response (MOTR) 
• HA/DR and NEOs 
• Information management and knowledge management (IM/KM) 
• Universal Joint Task List and Universal Naval Task List applications 
• Operational assessment methodology 
• Functional components and JFMCC forming
MSOC faculty will introduce students to the organizational construct of a MOC and the associated 
processes and concepts. They explore how a staff operates within a disciplined battle rhythm to 
support the decision cycle.",1193,298,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"command and control, mission command, COCOM, OPCON, TACON, MDA, MOTR","지휘통제, 임무형 지휘, 전투지휘권, 작전통제, 전술통제, 해양영역인식","해양전력 C2, MOC 구조, 지휘관 의사결정주기, 지휘관계, MDA/MOTR, 작전평가 등을 다룬다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Maritime Command and Control - Operational-level C2 and MOC construct
Keywords: command and control, mission command, COCOM, OPCON, TACON, MDA, MOTR
Summary Korean: 해양전력 C2, MOC 구조, 지휘관 의사결정주기, 지휘관계, MDA/MOTR, 작전평가 등을 다룬다.
Text:
Maritime Command and Control
The second LOE focuses on the core aspect of operational-level warfare – C2 of maritime forces, 
the employment of maritime capabilities, and how the Navy executes operational C2 via the MOC 
construct, to include: 
• The commander’s decision cycle 
• COCOM, OPCON, and TACON authorities 
• Supported and supporting command relationships 
• Joint force and JTF organization 
• Operations in the Information Environment 
• Operational law and rules of engagement (ROE) 
• Joint Service capabilities (USN, USA, USMC, USAF, USSF, USCG, SOF) 
• Maritime security operations, including MIO and operations to support freedom of navigation 
• Maritime Domain Awareness (MDA)/Maritime Operational Threat Response (MOTR) 
• HA/DR and NEOs 
• Information management and knowledge management (IM/KM) 
• Universal Joint Task List and Universal Naval Task List applications 
• Operational assessment methodology 
• Functional components and JFMCC forming
MSOC faculty will introduce students to the organizational construct of a MOC and the associated 
processes and concepts. They explore how a staff operates within a disciplined battle rhythm to 
support the decision cycle.","MSOC Syllabus (09 July 2025), Maritime Command and Control, pdf pp. 3-4: Maritime Command and Control The second LOE focuses on the core aspect of operational-level warfare – C2 of maritime forces,  the employment of maritime capabilities, and how the Navy executes operational C2 via the MOC ...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Maritime Command and Control, pdf pp. 3-4",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0009,MSOC_SYLLABUS_20250709_loe_planning,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,4,4,4,4,MSOC Syllabus,Planning and Preparation,NPP practical exercise and planning focus areas,body,"Planning and Preparation
The students then transition into the Planning and Preparation LOE that uses operational art and 
MOC processes as its foundation. In this LOE, the students engage in practical exercises using a 
scenario set in 2025 that reinforces class lectures and uses a “learn then do” methodology. Focus 
areas include: 
• The six-step NPP 
• Staff estimates 
• Operational planning team (OPT) organization and utilization 
• Risk assessment 
• Commander’s intent and guidance 
• Targeting overview 
• Intelligence support, including the joint intelligence preparation of the operational environment 
(JIPOE) 
The students then employ the NPP, with emphasis on key techniques, supporting concepts, and 
doctrine. Students use the doctrine in NWP-5-01 to perform the six steps of the NPP: 
• Mission Analysis 
• Course of Action (COA) Development 
• COA Analysis (Wargaming) 
• COA Comparison and Decision 
• Directive Development 
• Transition",958,240,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"NPP, mission analysis, COA development, wargaming, directive development, transition","해군계획절차, 임무분석, 방책개발, 워게임, 명령작성, 전환","NPP 6단계와 OPT, 위험평가, 지휘관 의도·지침, 표적처리, JIPOE 등 계획·준비 실습 요소를 설명한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Planning and Preparation - NPP practical exercise and planning focus areas
Keywords: NPP, mission analysis, COA development, wargaming, directive development, transition
Summary Korean: NPP 6단계와 OPT, 위험평가, 지휘관 의도·지침, 표적처리, JIPOE 등 계획·준비 실습 요소를 설명한다.
Text:
Planning and Preparation
The students then transition into the Planning and Preparation LOE that uses operational art and 
MOC processes as its foundation. In this LOE, the students engage in practical exercises using a 
scenario set in 2025 that reinforces class lectures and uses a “learn then do” methodology. Focus 
areas include: 
• The six-step NPP 
• Staff estimates 
• Operational planning team (OPT) organization and utilization 
• Risk assessment 
• Commander’s intent and guidance 
• Targeting overview 
• Intelligence support, including the joint intelligence preparation of the operational environment 
(JIPOE) 
The students then employ the NPP, with emphasis on key techniques, supporting concepts, and 
doctrine. Students use the doctrine in NWP-5-01 to perform the six steps of the NPP: 
• Mission Analysis 
• Course of Action (COA) Development 
• COA Analysis (Wargaming) 
• COA Comparison and Decision 
• Directive Development 
• Transition","MSOC Syllabus (09 July 2025), Planning and Preparation, pdf pp. 4-4: Planning and Preparation The students then transition into the Planning and Preparation LOE that uses operational art and  MOC processes as its foundation. In this LOE, the students engage in practical exercises using a ...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Planning and Preparation, pdf pp. 4-4",en,ok,NO,v1.0,2026-05-06,2026-05-06
MSOC_SYLLABUS_20250709_BODY_0010,MSOC_SYLLABUS_20250709_loe_execution_intro,MSOC_SYLLABUS_20250709,Maritime Staff Operators Course (MSOC) Syllabus,MSOC Syllabus,09 July 2025,U.S. Naval War College / College of Maritime Operational Warfare,MSOC-Syllabus-Jul-25.pdf,4,5,4,5,MSOC Syllabus,Execution,Battle Lab exercise and MOC execution context,body,"Execution
The Execution LOE is the synthesizing event of MSOC, where the class functions as a MOC staff 
and applies joint and Service concepts, fundamentals, doctrine and knowledge of the NPP within 
the context of a realistic scenario. The class executes the C/JFMCC operation order that they 
developed in the Planning and Preparation LOE. A Control Group role-plays the higher 
headquarters, adjacent components, coalition partners and subordinate task forces in the execution 
portion of the scenario. 
The intent is to demonstrate how internal (e.g., working groups, NPP briefings) and external 
activities support the commander’s decision cycle. During the week-long command post exercise
students serve in various cross functional teams using systems and applications that effectively 
replicate real-world MOC C2 systems and functionality. Students work in the Current Operations 
(COPS) cell, Future Operations (FOPS) cell, Future Plans Cell (FPC), and the Assessment Cell, and 
are supported by the Control Group.",1024,256,instructional_doctrine_reference; training_reference,qa; staff_advice,medium,"MOC execution, COPS, FOPS, FPC, assessment cell, FRAGORD, CCIR","MOC 실행, 현재작전, 미래작전, 미래계획, 평가셀, 단편명령, 지휘관 중요정보요구","Battle Lab에서 COPS, FOPS, FPC, 평가셀 등 MOC 기능별 역할을 수행하며 실행 단계에서 지휘관 의사결정주기를 지원하는 방식을 설명한다.","Document: Maritime Staff Operators Course (MSOC) Syllabus
Section: Execution - Battle Lab exercise and MOC execution context
Keywords: MOC execution, COPS, FOPS, FPC, assessment cell, FRAGORD, CCIR
Summary Korean: Battle Lab에서 COPS, FOPS, FPC, 평가셀 등 MOC 기능별 역할을 수행하며 실행 단계에서 지휘관 의사결정주기를 지원하는 방식을 설명한다.
Text:
Execution
The Execution LOE is the synthesizing event of MSOC, where the class functions as a MOC staff 
and applies joint and Service concepts, fundamentals, doctrine and knowledge of the NPP within 
the context of a realistic scenario. The class executes the C/JFMCC operation order that they 
developed in the Planning and Preparation LOE. A Control Group role-plays the higher 
headquarters, adjacent components, coalition partners and subordinate task forces in the execution 
portion of the scenario. 
The intent is to demonstrate how internal (e.g., working groups, NPP briefings) and external 
activities support the commander’s decision cycle. During the week-long command post exercise
students serve in various cross functional teams using systems and applications that effectively 
replicate real-world MOC C2 systems and functionality. Students work in the Current Operations 
(COPS) cell, Future Operations (FOPS) cell, Future Plans Cell (FPC), and the Assessment Cell, and 
are supported by the Control Group.","MSOC Syllabus (09 July 2025), Execution, pdf pp. 4-5: Execution The Execution LOE is the synthesizing event of MSOC, where the class functions as a MOC staff  and applies joint and Service concepts, fundamentals, doctrine and knowledge of the NPP within  the context of a re...",public,This is a course syllabus. It states that MSOC requires a SECRET clearance; do not treat the syllabus itself as classified unless separately marked by the source authority.,"MSOC Syllabus, Execution, pdf pp. 4-5",en,ok,NO,v1.0,2026-05-06,2026-05-06
