chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
JP3_0_2011_B_00001,JP3_0_2011_S0001,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,1,1,,,Front Matter,General,,front_matter,11 August 2011 Joint Operations Joint Publication 3-0,53,14,front_matter;document_context,qa;staff_advice,low,joint operations,합동작전,Front Matter / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. Front Matter. . . 11 August 2011 Joint Operations Joint Publication 3-0","JP 3-0, PDF p.1, Front Matter: 11 August 2011 Joint Operations Joint Publication 3-0",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.1, Front Matter",en,processed,YES,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00002,JP3_0_2011_S0001,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,1,2,,,Front Matter,General,,front_matter,"11 August 2011 Joint Operations Joint Publication 3-0

This revised edition of Joint Publication 3-0, Joint Operations, reflects the current guidance for conducting joint activities across the range of military operations and is the basis for U.S. participation in multinational operations where the United States has not ratified specific doctrine or procedures. This keystone publication forms the core of joint warfighting doctrine and establishes the framework for our forces’ ability to fight as a joint team. Often called the “linchpin” of the joint doctrine publication hierarchy, the overarching constructs and principles contained in this publication provide a common perspective from which to plan and execute joint operations independently or in cooperation with our multinational partners, other U.S. Government departments and agencies, and intergovernmental and nongovernmental organizations. As our Nation continues into the 21st century, the guidance in this publication will enable current and future leaders of the Armed Forces of the United States to design, plan, organize, train for, and execute worldwide missions as our forces transform to meet emerging challenges.",1188,297,front_matter;document_context,qa;staff_advice,low,joint operations; mission; range of military operations,합동작전; 임무; range of military operations,Front Matter / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. Front Matter. . . 11 August 2011 Joint Operations Joint Publication 3-0

This revised edition of Joint Publication 3-0, Joint Operations, reflects the current guidance for conducting joint activities across the range of military operations and is the basis for U.S. participation in multinational operations where the United States has not ratified specific doctrine or procedures. This keystone publication forms the core of joint warfighting doctrine and establishes the framework for our forces’ ability to fight as a joint team. Often called the “linchpin” of the joint doctrine publication hierarchy, the overarching constructs and principles contained in this publication provide a common perspective from which to plan and execute joint operations independently or in cooperation with our multinational partners, other U.S. Government departments and agencies, and intergovernmental and nongovernmental organizations. As our Nation continues into the 21st century, the guidance in this publication will enable current and future leaders of the Armed Forces of the United States to design, plan, organize, train for, and execute worldwide missions as our forces transform to meet emerging challenges.","JP 3-0, PDF pp.1-2, Front Matter: 11 August 2011 Joint Operations Joint Publication 3-0

This revised edition of Joint Publication 3-0, Joint Operations, reflects the current guidance for conducting joint activities across the range of military operations and is the basis for U.S. participation in multinational operations where the United States has not ratified specific doctrine or procedures. This keystone publication forms the core of joint warfighting doctrine and establishes the framework for our forces’ ability to fight as...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF pp.1-2, Front Matter",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00003,JP3_0_2011_S0001,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,2,2,,,Front Matter,General,,front_matter,"To succeed, we need adaptive and thinking professionals who understand the capabilities their Service brings to joint operations; how to integrate those capabilities with those of the other Services and interorganizational partners to optimize the strength of unified action; and how to organize, employ, and sustain joint forces to provide national leaders with multiple options for addressing various security threats. Above all, we need professionals imbued with a sense of commitment and honor who will act decisively in the absence of specific guidance. I challenge all commanders to ensure the widest distribution of this keystone joint publication and actively promote the use of all joint publications at every opportunity. I further challenge you to study and understand the guidance contained in this publication and teach these principles to your subordinates. Only then will we be able to fully exploit the remarkable military potential inherent in our joint teams. M. G. MULLEN Admiral, U.S. Navy",1009,253,front_matter;document_context,qa;staff_advice,low,joint operations; unified action; joint force; commander; interorganizational partners,합동작전; 통합행동; 합동군; 지휘관; interorganizational partners,Front Matter / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. Front Matter. . . To succeed, we need adaptive and thinking professionals who understand the capabilities their Service brings to joint operations; how to integrate those capabilities with those of the other Services and interorganizational partners to optimize the strength of unified action; and how to organize, employ, and sustain joint forces to provide national leaders with multiple options for addressing various security threats. Above all, we need professionals imbued with a sense of commitment and honor who will act decisively in the absence of specific guidance. I challenge all commanders to ensure the widest distribution of this keystone joint publication and actively promote the use of all joint publications at every opportunity. I further challenge you to study and understand the guidance contained in this publication and teach these principles to your subordinates. Only then will we be able to fully exploit the remarkable military potential inherent in our joint teams. M. G. MULLEN Admiral, U.S. Navy","JP 3-0, PDF p.2, Front Matter: To succeed, we need adaptive and thinking professionals who understand the capabilities their Service brings to joint operations; how to integrate those capabilities with those of the other Services and interorganizational partners to optimize the strength of unified action; and how to organize, employ, and sustain joint forces to provide national leaders with multiple options for addressing various security threats. Above all, we need professionals imbued with a sense of commitment and honor wh...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.2, Front Matter",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00004,JP3_0_2011_S0002,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,3,3,i,i,PREFACE,3. Application,,front_matter,"This publication is the keystone document of the joint operations series. It provides the doctrinal foundation and fundamental principles that guide the Armed Forces of the United States in joint operations across the range of military operations.

This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of objectives.",1176,294,front_matter;document_context,qa;staff_advice,low,joint operations; joint force; commander; mission; interorganizational partners; range of military operations,합동작전; 합동군; 지휘관; 임무; interorganizational partners; range of military operations,PREFACE / 3. Application의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. PREFACE. 3. Application. . This publication is the keystone document of the joint operations series. It provides the doctrinal foundation and fundamental principles that guide the Armed Forces of the United States in joint operations across the range of military operations.

This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of objectives.","JP 3-0, PDF p.3, printed i, PREFACE, 3. Application: This publication is the keystone document of the joint operations series. It provides the doctrinal foundation and fundamental principles that guide the Armed Forces of the United States in joint operations across the range of military operations.

This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides co...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.3, printed i, PREFACE, 3. Application",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00005,JP3_0_2011_S0002,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,3,3,i,i,PREFACE,3. Application,,front_matter,"This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of objectives.

a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, and the Services.",1140,285,front_matter;document_context,qa;staff_advice,low,joint operations; joint force; commander; mission; interorganizational partners,합동작전; 합동군; 지휘관; 임무; interorganizational partners,PREFACE / 3. Application의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. PREFACE. 3. Application. . This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of objectives.

a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, and the Services.","JP 3-0, PDF p.3, printed i, PREFACE, 3. Application: This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint f...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.3, printed i, PREFACE, 3. Application",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00006,JP3_0_2011_S0002,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,3,4,i,ii,PREFACE,3. Application,,front_matter,"a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, and the Services.

b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the Chairman of the Joint Chiefs of Staff, normally in coordination with the other members of the Joint Chiefs of Staff, has provided more current and specific guidance. Commanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States. For doctrine and procedures not ratified by the US, commanders should evaluate and follow the multinational command’s doctrine and procedures, where applicable and consistent with US law, regulations, and doctrine.

Preface Intentionally Blank",1141,286,front_matter;document_context,qa;staff_advice,low,commander,지휘관,PREFACE / 3. Application의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. PREFACE. 3. Application. . a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, and the Services.

b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the Chairman of the Joint Chiefs of Staff, normally in coordination with the other members of the Joint Chiefs of Staff, has provided more current and specific guidance. Commanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States. For doctrine and procedures not ratified by the US, commanders should evaluate and follow the multinational command’s doctrine and procedures, where applicable and consistent with US law, regulations, and doctrine.

Preface Intentionally Blank","JP 3-0, PDF pp.3-4, printed i-ii, PREFACE, 3. Application: a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, and the Services.

b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications,...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF pp.3-4, printed i-ii, PREFACE, 3. Application",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00007,JP3_0_2011_S0003,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,5,6,iii,iv,SUMMARY OF CHANGES,General,,front_matter,"REVISION OF JOINT PUBLICATION 3-0, DATED 17 SEPTEMBER 2006 (INCORPORATING CHANGE 2 DATED 22 MARCH 2010)

• Incorporates a discussion of the art of joint command, including new ideas on command-centric leadership and operational design.

• Incorporates a new section on creating shared understanding, which emphasizes the interaction of information management and knowledge sharing to create an organizational environment of learning that facilitates joint operations.

• Consolidates information related to organizing for joint operations in a single Chapter IV.

• Consolidates Chapters V, VI, and VII in a single Chapter V.

• Reduces redundancies and improves continuity between Joint Publication (JP) 3-0 and JP 1, Doctrine for the Armed Forces of the United States.

• Reduces redundancies and improves continuity between JP 3-0 and JP 5-0, Joint Operation Planning.

Summary of Changes Intentionally Blank",911,228,front_matter;document_context,qa;staff_advice,low,joint operations; operational design; planning,합동작전; 작전설계; 계획,SUMMARY OF CHANGES / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. SUMMARY OF CHANGES. . . REVISION OF JOINT PUBLICATION 3-0, DATED 17 SEPTEMBER 2006 (INCORPORATING CHANGE 2 DATED 22 MARCH 2010)

• Incorporates a discussion of the art of joint command, including new ideas on command-centric leadership and operational design.

• Incorporates a new section on creating shared understanding, which emphasizes the interaction of information management and knowledge sharing to create an organizational environment of learning that facilitates joint operations.

• Consolidates information related to organizing for joint operations in a single Chapter IV.

• Consolidates Chapters V, VI, and VII in a single Chapter V.

• Reduces redundancies and improves continuity between Joint Publication (JP) 3-0 and JP 1, Doctrine for the Armed Forces of the United States.

• Reduces redundancies and improves continuity between JP 3-0 and JP 5-0, Joint Operation Planning.

Summary of Changes Intentionally Blank","JP 3-0, PDF pp.5-6, printed iii-iv, SUMMARY OF CHANGES: REVISION OF JOINT PUBLICATION 3-0, DATED 17 SEPTEMBER 2006 (INCORPORATING CHANGE 2 DATED 22 MARCH 2010)

• Incorporates a discussion of the art of joint command, including new ideas on command-centric leadership and operational design.

• Incorporates a new section on creating shared understanding, which emphasizes the interaction of information management and knowledge sharing to create an organizational environment of learning that facilitates joint operations.

• Consolidates information rela...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF pp.5-6, printed iii-iv, SUMMARY OF CHANGES",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00008,JP3_0_2011_S0004,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,7,7,v,v,CHAPTER IV,General,,front_matter,"TABLE OF CONTENTS PAGE EXECUTIVE SUMMARY ............................................................................................... ix

FUNDAMENTALS OF JOINT OPERATIONS Introduction ................................................................................................................ I-1 Strategic Environment and National Security Challenges ......................................... I-2 Instruments of National Power and the Range of Military Operations ..................... I-4 Strategic Guidance ..................................................................................................... I-5 Unified Action ........................................................................................................... I-8 Levels of War .......................................................................................................... I-12 Types of Military Operations................................................................................... I-14",992,248,front_matter;document_context,qa;staff_advice,low,joint operations; unified action; range of military operations,합동작전; 통합행동; range of military operations,CHAPTER IV / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. CHAPTER IV. . . TABLE OF CONTENTS PAGE EXECUTIVE SUMMARY ............................................................................................... ix

FUNDAMENTALS OF JOINT OPERATIONS Introduction ................................................................................................................ I-1 Strategic Environment and National Security Challenges ......................................... I-2 Instruments of National Power and the Range of Military Operations ..................... I-4 Strategic Guidance ..................................................................................................... I-5 Unified Action ........................................................................................................... I-8 Levels of War .......................................................................................................... I-12 Types of Military Operations................................................................................... I-14","JP 3-0, PDF p.7, printed v, CHAPTER IV: TABLE OF CONTENTS PAGE EXECUTIVE SUMMARY ............................................................................................... ix

FUNDAMENTALS OF JOINT OPERATIONS Introduction ................................................................................................................ I-1 Strategic Environment and National Security Challenges ......................................... I-2 Instruments of National Power and the Range of Military Operations ..................... I-4 St...",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.7, printed v, CHAPTER IV",en,processed,NO,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00009,JP3_0_2011_S0004,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,7,7,v,v,CHAPTER IV,General,,front_matter,"FUNDAMENTALS OF JOINT OPERATIONS Introduction ................................................................................................................ I-1 Strategic Environment and National Security Challenges ......................................... I-2 Instruments of National Power and the Range of Military Operations ..................... I-4 Strategic Guidance ..................................................................................................... I-5 Unified Action ........................................................................................................... I-8 Levels of War .......................................................................................................... I-12 Types of Military Operations................................................................................... I-14

THE ART OF JOINT COMMAND Introduction ...............................................................................................................II-1 Commander-Centric Leadership ...............................................................................II-1 Operational Art .........................................................................................................II-3 Operational Design ...................................................................................................II-4 Joint Operation Planning ..........................................................................................II-5 Assessment ...............................................................................................................II-9",1615,404,front_matter;document_context,qa;staff_advice,low,joint operations; unified action; commander; operational art; operational design; planning; assessment; range of military operations,합동작전; 통합행동; 지휘관; 작전술; 작전설계; 계획; 평가; range of military operations,CHAPTER IV / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. CHAPTER IV. . . FUNDAMENTALS OF JOINT OPERATIONS Introduction ................................................................................................................ I-1 Strategic Environment and National Security Challenges ......................................... I-2 Instruments of National Power and the Range of Military Operations ..................... I-4 Strategic Guidance ..................................................................................................... I-5 Unified Action ........................................................................................................... I-8 Levels of War .......................................................................................................... I-12 Types of Military Operations................................................................................... I-14

THE ART OF JOINT COMMAND Introduction ...............................................................................................................II-1 Commander-Centric Leadership ...............................................................................II-1 Operational Art .........................................................................................................II-3 Operational Design ...................................................................................................II-4 Joint Operation Planning ..........................................................................................II-5 Assessment ...............................................................................................................II-9","JP 3-0, PDF p.7, printed v, CHAPTER IV: FUNDAMENTALS OF JOINT OPERATIONS Introduction ................................................................................................................ I-1 Strategic Environment and National Security Challenges ......................................... I-2 Instruments of National Power and the Range of Military Operations ..................... I-4 Strategic Guidance ..................................................................................................... I-5 Unified Action ......",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.7, printed v, CHAPTER IV",en,processed,YES,v1.0,2026-05-06,2026-05-06
JP3_0_2011_B_00010,JP3_0_2011_S0004,JP3_0_2011,"Joint Publication 3-0, Joint Operations",JP 3-0,11 August 2011,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo30082.pdf,7,7,v,v,CHAPTER IV,General,,front_matter,"THE ART OF JOINT COMMAND Introduction ...............................................................................................................II-1 Commander-Centric Leadership ...............................................................................II-1 Operational Art .........................................................................................................II-3 Operational Design ...................................................................................................II-4 Joint Operation Planning ..........................................................................................II-5 Assessment ...............................................................................................................II-9

JOINT FUNCTIONS Introduction ............................................................................................................. III-1 Command and Control ............................................................................................ III-2 Intelligence ........................................................................................................... III-20 Fires ...................................................................................................................... III-22 Movement and Maneuver ..................................................................................... III-27 Protection .............................................................................................................. III-29 Sustainment ........................................................................................................... III-35",1658,415,front_matter;document_context,qa;staff_advice,low,commander; command and control; intelligence; fires; movement and maneuver; protection; sustainment; operational art,지휘관; 지휘통제; 정보; 화력; 기동; 방호; 지속지원; 작전술,CHAPTER IV / 일반의 교리 내용을 RAG 검색용으로 분할한 청크이다.,"Joint Publication 3-0, Joint Operations. CHAPTER IV. . . THE ART OF JOINT COMMAND Introduction ...............................................................................................................II-1 Commander-Centric Leadership ...............................................................................II-1 Operational Art .........................................................................................................II-3 Operational Design ...................................................................................................II-4 Joint Operation Planning ..........................................................................................II-5 Assessment ...............................................................................................................II-9

JOINT FUNCTIONS Introduction ............................................................................................................. III-1 Command and Control ............................................................................................ III-2 Intelligence ........................................................................................................... III-20 Fires ...................................................................................................................... III-22 Movement and Maneuver ..................................................................................... III-27 Protection .............................................................................................................. III-29 Sustainment ........................................................................................................... III-35","JP 3-0, PDF p.7, printed v, CHAPTER IV: THE ART OF JOINT COMMAND Introduction ...............................................................................................................II-1 Commander-Centric Leadership ...............................................................................II-1 Operational Art .........................................................................................................II-3 Operational Design ...........................................................................................",public,Answer using this public doctrine chunk only when relevant; cite the source locator.,"PDF p.7, printed v, CHAPTER IV",en,processed,YES,v1.0,2026-05-06,2026-05-06
