chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
JP5_0_2011_C00001,JP5_0_2011_S0001,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,1,1,,,Front Matter,Cover,,cover,11 August 2011 Joint Operation Planning,39,10,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,joint operation planning; doctrine; JP 5-0,합동작전기획; doctrine; JP 5-0,"Front Matter의 Cover 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Cover, PDF p. 1
Chapter: Front Matter
Section: Cover
Subsection: 
Keywords: joint operation planning, doctrine, JP 5-0
Text: 11 August 2011 Joint Operation Planning","JP 5-0 (11 August 2011), Front Matter, Cover, PDF p. 1",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Cover, PDF p. 1",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00002,JP5_0_2011_S0001,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,2,2,,,Front Matter,Cover,,cover,"This edition of Joint Publication (JP) 5-0, Joint Operation Planning, reflects the current doctrine for conducting joint, interagency, and multinational planning activities across the full range of military operations. This keystone publication forms the core of joint warfighting doctrine and establishes the framework for our forces’ ability to fight as a joint team. As our military continues to serve and protect our Nation in complex conflicts across the globe, it is appropriate that we continue to refine our doctrine and update our planning practices based upon experience and hard won knowledge. As a result of relevant joint force experience and knowledge, the practice of operational design and its relationship to operational art and the joint operations planning process is reflected in this revision of JP 5-0.",824,206,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,joint operation planning; doctrine; JP 5-0,합동작전기획; doctrine; JP 5-0,"Front Matter의 Cover 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Cover, PDF p. 2
Chapter: Front Matter
Section: Cover
Subsection: 
Keywords: joint operation planning, doctrine, JP 5-0
Text: This edition of Joint Publication (JP) 5-0, Joint Operation Planning, reflects the current doctrine for conducting joint, interagency, and multinational planning activities across the full range of military operations. This keystone publication forms the core of joint warfighting doctrine and establishes the framework for our forces’ ability to fight as a joint team. As our military continues to serve and protect our Nation in complex conflicts across the globe, it is appropriate that we continue to refine our doctrine and update our planning practices based upon experience and hard won knowledge. As a result of relevant joint force experience and knowledge, the practice of operational design and its relationship to operational art and the joint operations planning process is reflected in this revision of JP 5-0.","JP 5-0 (11 August 2011), Front Matter, Cover, PDF p. 2",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Cover, PDF p. 2",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00003,JP5_0_2011_S0001,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,2,2,,,Front Matter,Cover,,cover,"erience and knowledge, the practice of operational design and its relationship to operational art and the joint operations planning process is reflected in this revision of JP 5-0. Likewise, the practice of Adaptive Planning and Execution has continued to evolve since the last publication of JP 5-0. This volume provides necessary updates to that process, as our combatant commands have continued to develop their ability to provide military options for contingencies and we seek to develop tools that allow for more rapid development, review, and refinement of plans at the accelerated pace we find the world requires today. Given the operational environment is not simple or static, adaptation and flexibility are necessary in planning and execution. This edition of JP 5-0 seeks to arm joint force commanders with processes that allow for that flexibility. I encourage leaders to ensure their organizations understand and use joint doctrine and this manual in particular as you continue to assist our Nation in advancing its enduring interests. M. G. MULLEN Admiral, U.S. Navy",1080,270,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,joint operation planning; doctrine; JP 5-0,합동작전기획; doctrine; JP 5-0,"Front Matter의 Cover 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Cover, PDF p. 2
Chapter: Front Matter
Section: Cover
Subsection: 
Keywords: joint operation planning, doctrine, JP 5-0
Text: erience and knowledge, the practice of operational design and its relationship to operational art and the joint operations planning process is reflected in this revision of JP 5-0. Likewise, the practice of Adaptive Planning and Execution has continued to evolve since the last publication of JP 5-0. This volume provides necessary updates to that process, as our combatant commands have continued to develop their ability to provide military options for contingencies and we seek to develop tools that allow for more rapid development, review, and refinement of plans at the accelerated pace we find the world requires today. Given the operational environment is not simple or static, adaptation and flexibility are necessary in planning and execution. This edition of JP 5-0 seeks to arm joint force commanders with processes that allow for that flexibility. I encourage leaders to ensure their organizations understand and use joint doctrine and this manual in particular as you continue to assist our Nation in advancing its enduring interests. M. G. MULLEN Admiral, U.S. Navy","JP 5-0 (11 August 2011), Front Matter, Cover, PDF p. 2",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Cover, PDF p. 2",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00004,JP5_0_2011_S0002,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,3,3,,,Front Matter,Scope,,publication_info,"PREFACE 1. Scope Joint Publication 5-0, Joint Operation Planning, reflects current guidance for planning military operations and, as a keystone publication, forms the core of joint doctrine for joint operation planning throughout the range of military operations. 2. Purpose This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations and provides the doctrinal basis for interagency coordination and for US military involvement in multinational operations. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs) and prescribes joint doctrine for operations, education, and training. It provides military guidance for use by the Armed Forces in preparing their appropriate plans. It is not the intent of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of the overall objective. 3. Application a.",1185,297,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,JFC,JFC,"Front Matter의 Scope 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Scope, PDF p. 3
Chapter: Front Matter
Section: Scope
Subsection: 
Keywords: JFC
Text: PREFACE 1. Scope Joint Publication 5-0, Joint Operation Planning, reflects current guidance for planning military operations and, as a keystone publication, forms the core of joint doctrine for joint operation planning throughout the range of military operations. 2. Purpose This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff. It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations and provides the doctrinal basis for interagency coordination and for US military involvement in multinational operations. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs) and prescribes joint doctrine for operations, education, and training. It provides military guidance for use by the Armed Forces in preparing their appropriate plans. It is not the intent of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of the overall objective. 3. Application a.","JP 5-0 (11 August 2011), Front Matter, Scope, PDF p. 3",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Scope, PDF p. 3",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00005,JP5_0_2011_S0002,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,3,3,,,Front Matter,Scope,,publication_info,"rganizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of the overall objective. 3. Application a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, the Services, and combat support agencies. b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the Chairman of the Joint Chiefs of Staff, normally in coordination with the other members of the Joint Chiefs of Staff, has provided more current and specific guidance. Commanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States.",1099,275,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,JFC,JFC,"Front Matter의 Scope 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Scope, PDF p. 3
Chapter: Front Matter
Section: Scope
Subsection: 
Keywords: JFC
Text: rganizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of the overall objective. 3. Application a. Joint doctrine established in this publication applies to the joint staff, commanders of combatant commands, subunified commands, joint task forces, subordinate components of these commands, the Services, and combat support agencies. b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the Chairman of the Joint Chiefs of Staff, normally in coordination with the other members of the Joint Chiefs of Staff, has provided more current and specific guidance. Commanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States.","JP 5-0 (11 August 2011), Front Matter, Scope, PDF p. 3",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Scope, PDF p. 3",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00006,JP5_0_2011_S0002,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,3,3,,,Front Matter,Scope,,publication_info,"ommanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States. For doctrine and procedures not ratified by the United States, commanders should evaluate and follow the multinational command’s doctrine and procedures, where applicable and consistent with US law, regulations, and doctrine.",406,102,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,joint operation planning; doctrine; JP 5-0,합동작전기획; doctrine; JP 5-0,"Front Matter의 Scope 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Scope, PDF p. 3
Chapter: Front Matter
Section: Scope
Subsection: 
Keywords: joint operation planning, doctrine, JP 5-0
Text: ommanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States. For doctrine and procedures not ratified by the United States, commanders should evaluate and follow the multinational command’s doctrine and procedures, where applicable and consistent with US law, regulations, and doctrine.","JP 5-0 (11 August 2011), Front Matter, Scope, PDF p. 3",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Scope, PDF p. 3",en,complete,YES,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00007,JP5_0_2011_S0003,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,5,5,,,Front Matter,Summary of Changes,,publication_info,"SUMMARY OF CHANGES REVISION OF JOINT PUBLICATION 5-0 DATED 26 DECEMBER 2006 • Reorders and reorients chapters to provide a more logical flow and better reflect planning practice today. • Adds additional appendices to provide ready reference for best practices and process specificity. • Includes the new planning construct introduced in the 2008 Guidance for Employment of the Force. • Reflects the Department of Defense’s evolution from Joint Operation Planning and Execution System to Adaptive Planning and Execution system. • Reintroduces the term deliberate planning to cover all plans developed in noncrisis situations. • Reduces redundancies and improves continuity between Joint Publication (JP) 5-0 and JP 1, Doctrine for the Armed Forces of the United States. • Reduces redundancies and improves continuity between JP 5-0 and JP 3-0, Joint Operations.",860,215,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,joint operation planning; doctrine; JP 5-0,합동작전기획; doctrine; JP 5-0,"Front Matter의 Summary of Changes 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Summary of Changes, PDF p. 5
Chapter: Front Matter
Section: Summary of Changes
Subsection: 
Keywords: joint operation planning, doctrine, JP 5-0
Text: SUMMARY OF CHANGES REVISION OF JOINT PUBLICATION 5-0 DATED 26 DECEMBER 2006 • Reorders and reorients chapters to provide a more logical flow and better reflect planning practice today. • Adds additional appendices to provide ready reference for best practices and process specificity. • Includes the new planning construct introduced in the 2008 Guidance for Employment of the Force. • Reflects the Department of Defense’s evolution from Joint Operation Planning and Execution System to Adaptive Planning and Execution system. • Reintroduces the term deliberate planning to cover all plans developed in noncrisis situations. • Reduces redundancies and improves continuity between Joint Publication (JP) 5-0 and JP 1, Doctrine for the Armed Forces of the United States. • Reduces redundancies and improves continuity between JP 5-0 and JP 3-0, Joint Operations.","JP 5-0 (11 August 2011), Front Matter, Summary of Changes, PDF p. 5",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Summary of Changes, PDF p. 5",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00008,JP5_0_2011_S0003,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,6,6,,,Front Matter,Summary of Changes,,publication_info,Summary of Changes Intentionally Blank,38,10,visual_or_case_reference;case_or_figure_support,qa;staff_advice,low,joint operation planning; doctrine; JP 5-0,합동작전기획; doctrine; JP 5-0,"Front Matter의 Summary of Changes 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Front Matter, Summary of Changes, PDF p. 6
Chapter: Front Matter
Section: Summary of Changes
Subsection: 
Keywords: joint operation planning, doctrine, JP 5-0
Text: Summary of Changes Intentionally Blank","JP 5-0 (11 August 2011), Front Matter, Summary of Changes, PDF p. 6",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Front Matter, Summary of Changes, PDF p. 6",en,complete,YES,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00009,JP5_0_2011_S0004,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,7,7,,,Chapter I. Role of Joint Operation Planning,Overview,,body,"TABLE OF CONTENTS PAGE EXECUTIVE SUMMARY ............................................................................................... ix CHAPTER I ROLE OF JOINT OPERATION PLANNING  Overview .................................................................................................................... I-1  Strategic Direction ..................................................................................................... I-2  Providing Common Basis for Understanding and Adaptation .................................. I-3  Creating Understanding and Reducing Uncertainty .................................................. I-5  Providing Options, Aligning Resources, and Mitigating Risks ................................. I-5  Constant Change, Learning, and Adaptation ............................................................. I-6 CHAPTER II STRATEGIC DIRECTION AND JOINT OPERATION PLANNING  Strategic Guidance and Planning Overview .............................................................II-1 Section A.",1034,259,doctrinal_reference;concept_explanation,qa;staff_advice,medium,joint operation planning; JOPP; APEX; planning; operation plan,합동작전기획; 합동작전기획절차; 적응형 기획 및 집행; 기획; 작전계획,"Chapter I. Role of Joint Operation Planning의 Overview 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Chapter I. Role of Joint Operation Planning, Overview, PDF p. 7
Chapter: Chapter I. Role of Joint Operation Planning
Section: Overview
Subsection: 
Keywords: joint operation planning, JOPP, APEX, planning, operation plan
Text: TABLE OF CONTENTS PAGE EXECUTIVE SUMMARY ............................................................................................... ix CHAPTER I ROLE OF JOINT OPERATION PLANNING  Overview .................................................................................................................... I-1  Strategic Direction ..................................................................................................... I-2  Providing Common Basis for Understanding and Adaptation .................................. I-3  Creating Understanding and Reducing Uncertainty .................................................. I-5  Providing Options, Aligning Resources, and Mitigating Risks ................................. I-5  Constant Change, Learning, and Adaptation ............................................................. I-6 CHAPTER II STRATEGIC DIRECTION AND JOINT OPERATION PLANNING  Strategic Guidance and Planning Overview .............................................................II-1 Section A.","JP 5-0 (11 August 2011), Chapter I. Role of Joint Operation Planning, Overview, PDF p. 7",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Chapter I. Role of Joint Operation Planning, Overview, PDF p. 7",en,complete,NO,v1.0,2026-05-06,2026-05-06
JP5_0_2011_C00010,JP5_0_2011_S0004,JP5_0_2011,"Joint Publication 5-0, Joint Operation Planning",JP 5-0,11 August 2011,Chairman of the Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo29188.pdf,7,7,,,Chapter I. Role of Joint Operation Planning,Overview,,body,"CHAPTER II STRATEGIC DIRECTION AND JOINT OPERATION PLANNING  Strategic Guidance and Planning Overview .............................................................II-1 Section A. National, Defense, and Military Guidance .....................................................II-2  Introduction ...............................................................................................................II-2  National Security Council System ............................................................................II-2  National Security Strategy ........................................................................................II-2  Department of Defense .............................................................................................II-3  Joint Strategic Planning System ...............................................................................II-4  Geographic Combatant Commanders .......................................................................II-6  Interagency Considerations ......................................................................................II-8  Strategic Communication .........................................................................................II-9  Strategic Guidance for Multinational Operations ...................................................II-10 Section B.",1355,339,doctrinal_reference;concept_explanation,qa;staff_advice,medium,joint operation planning; JOPP; APEX; planning; operation plan,합동작전기획; 합동작전기획절차; 적응형 기획 및 집행; 기획; 작전계획,"Chapter I. Role of Joint Operation Planning의 Overview 관련 교리 내용을 설명하며, 합동작전기획 질문에 대한 근거 문맥을 제공한다.","Document: Joint Publication 5-0, Joint Operation Planning
Source: JP 5-0, Chapter I. Role of Joint Operation Planning, Overview, PDF p. 7
Chapter: Chapter I. Role of Joint Operation Planning
Section: Overview
Subsection: 
Keywords: joint operation planning, JOPP, APEX, planning, operation plan
Text: CHAPTER II STRATEGIC DIRECTION AND JOINT OPERATION PLANNING  Strategic Guidance and Planning Overview .............................................................II-1 Section A. National, Defense, and Military Guidance .....................................................II-2  Introduction ...............................................................................................................II-2  National Security Council System ............................................................................II-2  National Security Strategy ........................................................................................II-2  Department of Defense .............................................................................................II-3  Joint Strategic Planning System ...............................................................................II-4  Geographic Combatant Commanders .......................................................................II-6  Interagency Considerations ......................................................................................II-8  Strategic Communication .........................................................................................II-9  Strategic Guidance for Multinational Operations ...................................................II-10 Section B.","JP 5-0 (11 August 2011), Chapter I. Role of Joint Operation Planning, Overview, PDF p. 7",public,Use only as unclassified/public doctrine reference; verify currency before operational use.,"JP 5-0, Chapter I. Role of Joint Operation Planning, Overview, PDF p. 7",en,complete,YES,v1.0,2026-05-06,2026-05-06
