chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
FM4_0_2026_CHUNK_00001,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,1,1,,,Chapter 1,Army Sustainment Operations,,front_matter,"SUSTAINMENT OPERATIONS MARCH 2026 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited. This publication supersedes FM 4-0, dated 31 July 2019; FM 4-01, dated 3 April 2014; FM 4-30, dated 1 April 2014; and FM 4-40, dated 22 October 2013. HEADQUARTERS, DEPARTMENT OF THE ARMY",302,76,document_metadata,qa,low,sustainment; distribution,지속지원; 분배,Chapter 1 Army Sustainment Operations 관련 내용: SUSTAINMENT OPERATIONS MARCH 2026 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited.,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: sustainment; distribution
Text: SUSTAINMENT OPERATIONS MARCH 2026 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited. This publication supersedes FM 4-0, dated 31 July 2019; FM 4-01, dated 3 April 2014; FM 4-30, dated 1 April 2014; and FM 4-40, dated 22 October 2013. HEADQUARTERS, DEPARTMENT OF THE ARMY","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. -.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 1-1, printed pp. -",en,complete,YES,v1.0,2026-05-07,2026-05-07
FM4_0_2026_CHUNK_00002,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,2,2,,,Chapter 1,Army Sustainment Operations,,front_matter,"Foreword Advances in civilian and military technology have changed the character of warfare and the conduct of Army and joint force operations. The dilemmas posed by the integration of new technologies into the future battlefield have changed the way the Army and the joint force sustain multidomain operations. In the future, sustainment will be more complex, demanding, visible to the enemy, vulnerable, and therefore, must be more synchronized, dispersed, and responsive than ever before. FM 4-0 provides a doctrinal approach for armies, corps, divisions, and brigades to address sustainment challenges across the range of military operations, the competition continuum and the strategic contexts in which Army forces conduct operations. As the keystone sustainment doctrine, it describes how sustainment is embedded into all military operations, tasks, and activities. FM 4-0 also identifies the sustainment implications for the Army’s operating concept and describes how sustainment forces are arrayed against the operational framework to include sustainment considerations for operations in a maritime environment. The currently ongoing Russo-Ukrainian conflict is the most recent example of the current character of war, and it has provided many critical insights into how the U.S. Army will need to support large-scale combat operations in the future. FM 4-0 integrates many of these lessons learned into its doctrinal framework. The Army and joint force must quickly learn and adapt to the challenges of the modern battlefield to survive, sustain, fight, and win in the future. The wide variety of sensors and intelligence disciplines employed by our adversaries will make the future battlefield transparent and contested across its breadth and depth. Sustainment units, nodes and routes can and will be seen by the enemy. Sustainment nodes and assets will be targeted with direct and indirect fires delivered by air, land, maritime, cyberspace, space, and special operations forces. The enemy will employ unmanned aerial systems of every size and description to find and engage sustainment formations. These fundamental truths of warfare must be understood by all leaders, especially sustainment leaders, and integrated into all aspects of operations. The geography, terrain, infrastructure, and vast distances in the Pacific and European theaters will also challenge Army and joint force freedom of action, operational reach, and endurance. These theaters have environmental conditions ranging from arctic to jungle and include complex urban, littoral, mountainous, and island terrain. In many cases, the terrain and the threat of enemy long-range fires will increase the distance between maneuver and sustainment forces and make it imperative that sustainment be precise, predictive, and data centric. The state of port, airfield, road, and rail infrastructure will also challenge Army and joint force sustainment. The Army must be able to sustain operations in austere environments where infrastructure is non-existent, unimproved, damaged, or destroyed. The Army must continually transform to counter emerging threats and the challenges of the Pacific and European theaters. We must continue to transform in contact developing our ability to leverage data and invest in predictive sustainment capabilities to make sustainment more precise. We must integrate autonomous technology into our formations, offloading risk to machines while adding depth, breath, and speed to our distribution capabilities. Reducing the demand and logistics footprint of all Army formations will also be critical to prolonging operational reach and endurance. Advancements in operational energy and alternative methods of generating and distributing power, as well as water purification and production of repair parts at or near the point of need, will help significantly reduce Army distribution requirements. Investments will be made in Army watercraft to enable movement and maneuver in maritime environments. Sustainment doctrine must also evolve to meet the challenges of the multidomain contested operating environment and describe how the Army executes sustainment operations. Finally, success in operations requires leaders that understand and apply doctrine with judgement and discipline. FM 4-0 incorporates a chapter on leadership and training to emphasize the importance of building effective leaders and cohesive units. Now more than ever before, leaders must be innovative, adaptive, disciplined, and able to communicate at all levels. This We’ll Defend! MICHELLE K. DONAHUE MAJOR GENERAL, UNITED STATES ARMY COMMANDING",4624,1156,document_metadata,qa,low,sustainment; logistics; distribution; operational reach; endurance; freedom of action; competition; maritime environment; predictive sustainment,지속지원; 군수; 분배; 작전적 도달거리; 지속성; 행동의 자유; 경쟁; 해양환경; 예측 지속지원,Chapter 1 Army Sustainment Operations 관련 내용: Foreword Advances in civilian and military technology have changed the character of warfare and the conduct of Army and joint force operations.,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: sustainment; logistics; distribution; operational reach; endurance; freedom of action; competition; maritime environment; predictive sustainment
Text: Foreword Advances in civilian and military technology have changed the character of warfare and the conduct of Army and joint force operations. The dilemmas posed by the integration of new technologies into the future battlefield have changed the way the Army and the joint force sustain multidomain operations. In the future, sustainment will be more complex, demanding, visible to the enemy, vulnerable, and therefore, must be more synchronized, dispersed, and responsive than ever before. FM 4-0 provides a doctrinal approach for armies, corps, divisions, and brigades to address sustainment challenges across the range of military operations, the competition continuum and the strategic contexts in which Army forces conduct operations. As the keystone sustainment doctrine, it describes how sustainment is embedded into all military operations, tasks, and activities. FM 4-0 also identifies the sustainment implications for the Army’s operating concept and describes how sustainment forces are arrayed against the operational framework to include sustainment considerations for operations in a maritime environment. The currently ongoing Russo-Ukrainian conflict is the most recent example of the current character of war, and it has provided many critical insights into how the U.S. Army will need to support large-scale combat operations in the future. FM 4-0 integrates many of these lessons learned into its doctrinal framework. The Army and joint force must quickly learn and adapt to the challenges of the modern battlefield to survive, sustain, fight, and win in the future. The wide variety of sensors and intelligence disciplines employed by our adversaries will make the future battlefield transparent and contested across its breadth and depth. Sustainment units, nodes and routes can and will be seen by the enemy. Sustainment nodes and assets will be targeted with direct and indirect fires delivered by air, land, maritime, cyberspace, space, and special operations forces. The enemy will employ unmanned aerial systems of every size and description to find and engage sustainment formations. These fundamental truths of warfare must be understood by all leaders, especially sustainment leaders, and integrated into all aspects of operations. The geography, terrain, infrastructure, and vast distances in the Pacific and European theaters will also challenge Army and joint force freedom of action, operational reach, and endurance. These theaters have environmental conditions ranging from arctic to jungle and include complex urban, littoral, mountainous, and island terrain. In many cases, the terrain and the threat of enemy long-range fires will increase the distance between maneuver and sustainment forces and make it imperative that sustainment be precise, predictive, and data centric. The state of port, airfield, road, and rail infrastructure will also challenge Army and joint force sustainment. The Army must be able to sustain operations in austere environments where infrastructure is non-existent, unimproved, damaged, or destroyed. The Army must continually transform to counter emerging threats and the challenges of the Pacific and European theaters. We must continue to transform in contact developing our ability to leverage data and invest in predictive sustainment capabilities to make sustainment more precise. We must integrate autonomous technology into our formations, offloading risk to machines while adding depth, breath, and speed to our distribution capabilities. Reducing the demand and logistics footprint of all Army formations will also be critical to prolonging operational reach and endurance. Advancements in operational energy and alternative methods of generating and distributing power, as well as water purification and production of repair parts at or near the point of need, will help significantly reduce Army distribution requirements. Investments will be made in Army watercraft to enable movement and maneuver in maritime environments. Sustainment doctrine must also evolve to meet the challenges of the multidomain contested operating environment and describe how the Army executes sustainment operations. Finally, success in operations requires leaders that understand and apply doctrine with judgement and discipline. FM 4-0 incorporates a chapter on leadership and training to emphasize the importance of building effective leaders and cohesive units. Now more than ever before, leaders must be innovative, adaptive, disciplined, and able to communicate at all levels. This We’ll Defend! MICHELLE K. DONAHUE MAJOR GENERAL, UNITED STATES ARMY COMMANDING","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. -.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 2-2, printed pp. -",en,complete,YES,v1.0,2026-05-07,2026-05-07
FM4_0_2026_CHUNK_00003,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,3,3,,,Chapter 1,Army Sustainment Operations,,front_matter,This publication is available at the Army Publishing Directorate site (https://armypubs.army.mil) and the Central Army Registry Site (https://atiam.train.army.mil/catalog/dashboard).,182,46,document_metadata,qa,low,fm 4-0; chapter 1; army sustainment operations,fm 4-0; chapter 1; army sustainment operations,Chapter 1 Army Sustainment Operations 관련 내용: This publication is available at the Army Publishing Directorate site (https://armypubs.army.mil) and the Central Army Registry Site (https://atiam.train.army.mil/catalog/dashboard).,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: fm 4-0; chapter 1; army sustainment operations
Text: This publication is available at the Army Publishing Directorate site (https://armypubs.army.mil) and the Central Army Registry Site (https://atiam.train.army.mil/catalog/dashboard).","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. -.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 3-3, printed pp. -",en,complete,YES,v1.0,2026-05-07,2026-05-07
FM4_0_2026_CHUNK_00004,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,4,4,,,Chapter 1,Army Sustainment Operations,,front_matter,This page intentionally left blank.,35,9,document_metadata,qa,low,fm 4-0; chapter 1; army sustainment operations,fm 4-0; chapter 1; army sustainment operations,Chapter 1 Army Sustainment Operations 관련 내용: This page intentionally left blank.,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: fm 4-0; chapter 1; army sustainment operations
Text: This page intentionally left blank.","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. -.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 4-4, printed pp. -",en,complete,YES,v1.0,2026-05-07,2026-05-07
FM4_0_2026_CHUNK_00005,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,5,5,i,i,Chapter 1,Army Sustainment Operations,,front_matter,"*FM 4-0 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited. *This publication supersedes FM 4-0, dated 14 August 2024. Field Manual No. 4-0 Headquarters Department of the Army SUSTAINMENT OPERATIONS Page Preface................................................................................................................................................. vii Introduction.......................................................................................................................................... ix CHAPTER 1........................................................................................................................................... 1 ARMY SUSTAINMENT OPERATIONS......................................................................................... 1 Section I – Overview of Army Sustainment.......................................................................... 1 Sustainment Warfighting Function............................................................................................ 1 Principles of Sustainment.......................................................................................................... 2 Section II – Overview of Army Operations............................................................................ 3 Strategic Contexts..................................................................................................................... 4 Large-Scale Combat Operations............................................................................................... 5 Tenets of Operations................................................................................................................. 6 Imperatives................................................................................................................................ 7 Section III – The Operational Environment......................................................................... 10 Contested Logistics Environment............................................................................................ 11 Logistics Threats..................................................................................................................... 11 Contested Logistics Challenges and Planning Considerations............................................... 12 Section IV – Sustainment Support to Multidomain Operations........................................ 15 Enable Freedom of Action, Extend Operational Reach, and Prolong Endurance.................. 18 Authorities and Responsibilities............................................................................................... 19 Army Title 10 Sustainment Requirements............................................................................... 22 Army Executive Agent Responsibilities................................................................................... 22 CHAPTER 2......................................................................................................................................... 25 ARMY SUSTAINMENT AT ECHELON........................................................................................ 25 Section I – Levels of Warfare................................................................................................ 25 Section II – Overview of National Strategic Level of Warfare........................................... 26 United States Transportation Command................................................................................. 26",3545,887,document_metadata,qa,low,sustainment; logistics; distribution; transportation; operational reach; endurance; freedom of action; contested logistics,지속지원; 군수; 분배; 수송; 작전적 도달거리; 지속성; 행동의 자유; 경쟁적 군수환경,Chapter 1 Army Sustainment Operations 관련 내용: *FM 4-0 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited.,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: sustainment; logistics; distribution; transportation; operational reach; endurance; freedom of action; contested logistics
Text: *FM 4-0 DISTRIBUTION RESTRICTION: Approved for public release; distribution is unlimited. *This publication supersedes FM 4-0, dated 14 August 2024. Field Manual No. 4-0 Headquarters Department of the Army SUSTAINMENT OPERATIONS Page Preface................................................................................................................................................. vii Introduction.......................................................................................................................................... ix CHAPTER 1........................................................................................................................................... 1 ARMY SUSTAINMENT OPERATIONS......................................................................................... 1 Section I – Overview of Army Sustainment.......................................................................... 1 Sustainment Warfighting Function............................................................................................ 1 Principles of Sustainment.......................................................................................................... 2 Section II – Overview of Army Operations............................................................................ 3 Strategic Contexts..................................................................................................................... 4 Large-Scale Combat Operations............................................................................................... 5 Tenets of Operations................................................................................................................. 6 Imperatives................................................................................................................................ 7 Section III – The Operational Environment......................................................................... 10 Contested Logistics Environment............................................................................................ 11 Logistics Threats..................................................................................................................... 11 Contested Logistics Challenges and Planning Considerations............................................... 12 Section IV – Sustainment Support to Multidomain Operations........................................ 15 Enable Freedom of Action, Extend Operational Reach, and Prolong Endurance.................. 18 Authorities and Responsibilities............................................................................................... 19 Army Title 10 Sustainment Requirements............................................................................... 22 Army Executive Agent Responsibilities................................................................................... 22 CHAPTER 2......................................................................................................................................... 25 ARMY SUSTAINMENT AT ECHELON........................................................................................ 25 Section I – Levels of Warfare................................................................................................ 25 Section II – Overview of National Strategic Level of Warfare........................................... 26 United States Transportation Command................................................................................. 26","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. i-i.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 5-5, printed pp. i-i",en,complete,YES,v1.0,2026-05-07,2026-05-07
FM4_0_2026_CHUNK_00006,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,6,6,ii,ii,Chapter 1,Army Sustainment Operations,,front_matter,"Defense Logistics Agency....................................................................................................... 28 Defense Health Agency.......................................................................................................... 29 Defense Contract Management Agency................................................................................. 29 Defense Finance and Accounting Service.............................................................................. 29 United States Army Materiel Command.................................................................................. 29 Defense Security Cooperation Agency................................................................................... 33 United States Army Medical Research and Development Command.................................... 33 United States Army Western Hemisphere Command............................................................ 33 United States Special Operations Command......................................................................... 33 Section III – Overview of Theater Strategic Level of Warfare........................................... 34 Theater Army.......................................................................................................................... 34 Theater Sustainment Command............................................................................................. 35 Theater Medical Command..................................................................................................... 38 Army Special Operations Forces Sustainment Organizations................................................ 40 Section IV – Overview of Operational Level Of Warfare................................................... 41 Field Army............................................................................................................................... 41 Sustainment Brigade............................................................................................................... 42 Combat Sustainment Support Battalion.................................................................................. 42 Section V – Overview of Tactical Level Of Warfare........................................................... 42 Corps....................................................................................................................................... 42 Division.................................................................................................................................... 43 Brigades.................................................................................................................................. 44 Section VI – Command and Support Relationships.......................................................... 45 Joint Command Relationships................................................................................................ 46 Army Command and Support Relationships........................................................................... 47 Command and Support Relationships by Echelon................................................................. 52 CHAPTER 3..........................................................................................................................................55 SUSTAINMENT OPERATIONS DURING COMPETITION BELOW ARMED CONFLICT......... 55 Section I – Overview of Army Operations During Competition....................................... 55 Preparation for Large-Scale Combat Operations................................................................... 55 Interagency Cooperation......................................................................................................... 55 Competition Activities.............................................................................................................. 55 Section II – Planning Considerations During Competition............................................... 59 Theater Strategic, Operational, and Tactical Competition Activities....................................... 59 Considerations for Sustainment Functions............................................................................. 62 Support to Army Special Operations Forces.......................................................................... 70 Section III – Roles and Responsibilities by Echelon......................................................... 71 Theater Army.......................................................................................................................... 71 Field Army............................................................................................................................... 76",4742,1186,document_metadata,qa,low,sustainment; logistics; competition; armed conflict; command relationships; support relationships,지속지원; 군수; 경쟁; 무력충돌; 지휘관계; 지원관계,Chapter 1 Army Sustainment Operations 관련 내용: Defense Logistics Agency.......................................................................................................,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: sustainment; logistics; competition; armed conflict; command relationships; support relationships
Text: Defense Logistics Agency....................................................................................................... 28 Defense Health Agency.......................................................................................................... 29 Defense Contract Management Agency................................................................................. 29 Defense Finance and Accounting Service.............................................................................. 29 United States Army Materiel Command.................................................................................. 29 Defense Security Cooperation Agency................................................................................... 33 United States Army Medical Research and Development Command.................................... 33 United States Army Western Hemisphere Command............................................................ 33 United States Special Operations Command......................................................................... 33 Section III – Overview of Theater Strategic Level of Warfare........................................... 34 Theater Army.......................................................................................................................... 34 Theater Sustainment Command............................................................................................. 35 Theater Medical Command..................................................................................................... 38 Army Special Operations Forces Sustainment Organizations................................................ 40 Section IV – Overview of Operational Level Of Warfare................................................... 41 Field Army............................................................................................................................... 41 Sustainment Brigade............................................................................................................... 42 Combat Sustainment Support Battalion.................................................................................. 42 Section V – Overview of Tactical Level Of Warfare........................................................... 42 Corps....................................................................................................................................... 42 Division.................................................................................................................................... 43 Brigades.................................................................................................................................. 44 Section VI – Command and Support Relationships.......................................................... 45 Joint Command Relationships................................................................................................ 46 Army Command and Support Relationships........................................................................... 47 Command and Support Relationships by Echelon................................................................. 52 CHAPTER 3..........................................................................................................................................55 SUSTAINMENT OPERATIONS DURING COMPETITION BELOW ARMED CONFLICT......... 55 Section I – Overview of Army Operations During Competition....................................... 55 Preparation for Large-Scale Combat Operations................................................................... 55 Interagency Cooperation......................................................................................................... 55 Competition Activities.............................................................................................................. 55 Section II – Planning Considerations During Competition............................................... 59 Theater Strategic, Operational, and Tactical Competition Activities....................................... 59 Considerations for Sustainment Functions............................................................................. 62 Support to Army Special Operations Forces.......................................................................... 70 Section III – Roles and Responsibilities by Echelon......................................................... 71 Theater Army.......................................................................................................................... 71 Field Army............................................................................................................................... 76","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. ii-ii.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 6-6, printed pp. ii-ii",en,complete,YES,v1.0,2026-05-07,2026-05-07
FM4_0_2026_CHUNK_00007,FM4_0_2026_FRONT,FM4_0_2026,"FM 4-0, Sustainment Operations",FM 4-0,20 March 2026,"Headquarters, Department of the Army",ARN46157-FM_4-0-000-WEB-1.pdf,7,7,iii,iii,Chapter 1,Army Sustainment Operations,,front_matter,"Corps....................................................................................................................................... 76 Division.................................................................................................................................... 77 Consolidation of Gains During Competition............................................................................ 77 Transition to Crisis and Armed Conflict................................................................................... 78 CHAPTER 4......................................................................................................................................... 79 SUSTAINMENT OPERATIONS DURING CRISIS....................................................................... 79 Section I – Overview of Army Operations During Crisis................................................... 79 Army Support to the Joint Force During Crisis........................................................................ 79 Force Projection...................................................................................................................... 80 Section II – Overview of Sustainment Activities during Crisis......................................... 81 Refining Plans And Developing Estimates.............................................................................. 82 Logistics Estimation................................................................................................................. 82 Casualty Estimation and Replacement Requirements............................................................ 82 Army Health System Support During Crisis............................................................................ 83 Medical Planning Tools........................................................................................................... 83 Section III – Roles and Responsibilities by Echelon......................................................... 84 Theater Army Roles During Crisis........................................................................................... 84 Corps Roles During Crisis....................................................................................................... 89 Division Role During Crisis...................................................................................................... 89 Consolidation of Gains During Crisis....................................................................................... 90 Transition to Competition and Armed Conflict......................................................................... 91 CHAPTER 5......................................................................................................................................... 93 SUSTAINMENT OPERATIONS DURING ARMED CONFLICT.................................................. 93 Section I – Armed Conflict and Large-Scale Combat Operations.................................... 93 Operating as Part of the Joint Force....................................................................................... 93 Conducting Large-Scale Combat Operations.......................................................................... 94 Sustaining Large-Scale Combat Operations........................................................................... 94 Sustaining Enabling Operations.............................................................................................. 94 Sustaining Troop Movement.................................................................................................... 95 Sustaining Mobility................................................................................................................... 96 Enemy Threat Considerations for Sustainment Forces.......................................................... 96 Sustainment Planning Considerations.................................................................................... 99 Mission Analysis: Requirements, Capabilities, and Shortfalls............................................... 107 Assessment........................................................................................................................... 111 Sustainment Synchronization................................................................................................ 112 Rear Operations.................................................................................................................... 113 Army Health System Support During Large-Scale Combat Operations................................ 118 Section II – Sustainment of Defensive Operations.......................................................... 122 Overview of Sustaining Defensive Operations...................................................................... 122",4828,1207,document_metadata,qa,low,sustainment; logistics; competition; crisis; armed conflict,지속지원; 군수; 경쟁; 위기; 무력충돌,Chapter 1 Army Sustainment Operations 관련 내용: Corps.......................................................................................................................................,"Document: FM 4-0, Sustainment Operations
Chapter: Chapter 1
Section: Army Sustainment Operations
Subsection: 
Keywords: sustainment; logistics; competition; crisis; armed conflict
Text: Corps....................................................................................................................................... 76 Division.................................................................................................................................... 77 Consolidation of Gains During Competition............................................................................ 77 Transition to Crisis and Armed Conflict................................................................................... 78 CHAPTER 4......................................................................................................................................... 79 SUSTAINMENT OPERATIONS DURING CRISIS....................................................................... 79 Section I – Overview of Army Operations During Crisis................................................... 79 Army Support to the Joint Force During Crisis........................................................................ 79 Force Projection...................................................................................................................... 80 Section II – Overview of Sustainment Activities during Crisis......................................... 81 Refining Plans And Developing Estimates.............................................................................. 82 Logistics Estimation................................................................................................................. 82 Casualty Estimation and Replacement Requirements............................................................ 82 Army Health System Support During Crisis............................................................................ 83 Medical Planning Tools........................................................................................................... 83 Section III – Roles and Responsibilities by Echelon......................................................... 84 Theater Army Roles During Crisis........................................................................................... 84 Corps Roles During Crisis....................................................................................................... 89 Division Role During Crisis...................................................................................................... 89 Consolidation of Gains During Crisis....................................................................................... 90 Transition to Competition and Armed Conflict......................................................................... 91 CHAPTER 5......................................................................................................................................... 93 SUSTAINMENT OPERATIONS DURING ARMED CONFLICT.................................................. 93 Section I – Armed Conflict and Large-Scale Combat Operations.................................... 93 Operating as Part of the Joint Force....................................................................................... 93 Conducting Large-Scale Combat Operations.......................................................................... 94 Sustaining Large-Scale Combat Operations........................................................................... 94 Sustaining Enabling Operations.............................................................................................. 94 Sustaining Troop Movement.................................................................................................... 95 Sustaining Mobility................................................................................................................... 96 Enemy Threat Considerations for Sustainment Forces.......................................................... 96 Sustainment Planning Considerations.................................................................................... 99 Mission Analysis: Requirements, Capabilities, and Shortfalls............................................... 107 Assessment........................................................................................................................... 111 Sustainment Synchronization................................................................................................ 112 Rear Operations.................................................................................................................... 113 Army Health System Support During Large-Scale Combat Operations................................ 118 Section II – Sustainment of Defensive Operations.......................................................... 122 Overview of Sustaining Defensive Operations...................................................................... 122","FM 4-0, Sustainment Operations (20 March 2026), Chapter 1, Army Sustainment Operations, printed pp. iii-iii.",public,공개 배포 교범 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"FM 4-0, Chapter 1, Army Sustainment Operations, PDF pp. 7-7, printed pp. iii-iii",en,complete,YES,v1.0,2026-05-07,2026-05-07
