chunk_id,parent_structure_id,document_id,document_title,document_short_title,source_file,publication_date,publisher,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,source_locator,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,content_function,mode_relevance,retrieval_priority,security_class,answer_limit_note,processing_status,review_required,version
AFDP3_04_2023_MAIN_TEXT_0001,AFDP3_04_2023_FRONTMATTER_COVER_TABLE_OF_CONTENTS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,1,2,,,"AFDP 3-04 Countersea Operations, pdf pp. 1-2",Front Matter,Cover/Table of Contents,,main_text,DD Month 2023 AIR FORCE DOCTRINE PUBLICATION 3-04 COUNTERSEA OPERATIONS 20 September 2023 Table of Contents Chapter 1: COUNTERSEA OPERATIONS .................................................................... 1 NAVAL WARFIGHTER PERSPECTIVE ..................................................................... 2 Chapter 2: AIR FORCE MISSIONS IN COUNTERSEA OPERATIONS ........................ 7 Chapter 3: COMMAND AND ORGANIZATION ........................................................... 13 MARITIME COMMAND ORGANIZATION ................................................................. 15 COMMAND AND CONTROL OF AMPHIBIOUS OPERATIONS .............................. 17 Chapter 4: COUNTERSEA PLANNING AND EMPLOYMENT .................................... 20 COUNTERSEA OPERATIONS PLANNING CONSIDERATIONS ............................ 20 LIAISON ROLES IN COUNTERSEA OPERATIONS ................................................ 23 Appendix: INTERNATIONAL LAW ............................................................................. 25 References ................................................................................................................... 26,1165,292,countersea; maritime; amphibious; liaison; international law,대해상작전; 해양; 상륙작전; 국제법; 연락장교,"이 청크는 대해상작전, 해양, 상륙작전, 국제법 관련 교리 내용을 다루며, 핵심 원문은 'DD Month 2023 AIR FORCE DOCTRINE PUBLICATION 3-04 COUNTERSEA OPERATIONS 20 September 2023 Table of Contents Chapter 1: C...'로 시작한다.",AFDP 3-04 Countersea Operations | Front Matter | Cover/Table of Contents | countersea; maritime; amphibious; liaison; international law | DD Month 2023 AIR FORCE DOCTRINE PUBLICATION 3-04 COUNTERSEA OPERATIONS 20 September 2023 Table of Contents Chapter 1: COUNTERSEA OPERATIONS .................................................................... 1 NAVAL WARFIGHTER PERSPECTIVE ..................................................................... 2 Chapter 2: AIR FORCE MISSIONS IN COUNTERSEA OPERATIONS ........................ 7 Chapter 3: COMMAND AND ORGANIZATION ........................................................... 13 MARITIME COMMAND ORGANIZATION ................................................................. 15 COMMAND AND CONTROL OF AMPHIBIOUS OPERATIONS .............................. 17 Chapter 4: COUNTERSEA PLANNING AND EMPLOYMENT .................................... 20 COUNTERSEA OPERATIONS PLANNING CONSIDERATIONS ............................ 20 LIAISON ROLES IN COUNTERSEA OPERATIONS ................................................ 23 Appendix: INTERNATIONAL LAW ............................................................................. 25 References ................................................................................................................... 26,"Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 1-2: DD Month 2023 AIR FORCE DOCTRINE PUBLICATION 3-04 COUNTERSEA OPERATIONS 20 September 2023 Table of Contents Chapter 1: COUNTERSEA OPERATIONS .................................................................... 1 NAVAL WARFIGHTER PERSPECTIVE .........",front_matter;document_context,RAG_RETRIEVAL;staff_advice,low,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0002,AFDP3_04_2023_FRONTMATTER_COVER_TABLE_OF_CONTENTS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,2,3,,,"AFDP 3-04 Countersea Operations, pdf pp. 2-3",Front Matter,Cover/Table of Contents,,main_text,"................................................................... 25 References ................................................................................................................... 26 “The Air Force organizes, trains, and equips forces to be an air component to a joint force commander (JFC). As part of the joint force’s air component, our forces must be prepared to accomplish JFC objectives. The air component commander’s administrative authorities are derived from Title 10, U.S. Code, and exercised as the commander, Air Force forces (COMAFFOR). The air component commander’s operational authorities are delegated from the JFC and exercised as both the COMAFFOR, over Air Force forces, and as the functional joint force air component commander (JFACC), over joint air forces made available for tasking. Thus, the air component commander leads Air Force forces as the COMAFFOR and the JFC’s joint air operations as the JFACC.",946,237,JFACC,대해상작전; 해양작전,"이 청크는 대해상작전, 해양작전 관련 교리 내용을 다루며, 핵심 원문은 '................................................................... 25 References .........................................'로 시작한다.","AFDP 3-04 Countersea Operations | Front Matter | Cover/Table of Contents | JFACC | ................................................................... 25 References ................................................................................................................... 26 “The Air Force organizes, trains, and equips forces to be an air component to a joint force commander (JFC). As part of the joint force’s air component, our forces must be prepared to accomplish JFC objectives. The air component commander’s administrative authorities are derived from Title 10, U.S. Code, and exercised as the commander, Air Force forces (COMAFFOR). The air component commander’s operational authorities are delegated from the JFC and exercised as both the COMAFFOR, over Air Force forces, and as the functional joint force air component commander (JFACC), over joint air forces made available for tasking. Thus, the air component commander leads Air Force forces as the COMAFFOR and the JFC’s joint air operations as the JFACC.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 2-3: ................................................................... 25 References ................................................................................................................... 26 “The Air Force organizes, trains, and equips forc",front_matter;document_context,RAG_RETRIEVAL;staff_advice,low,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0003,AFDP3_04_2023_FRONTMATTER_COVER_TABLE_OF_CONTENTS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,3,3,,,"AFDP 3-04 Countersea Operations, pdf pp. 3-3",Front Matter,Cover/Table of Contents,,main_text,"component commander (JFACC), over joint air forces made available for tasking. Thus, the air component commander leads Air Force forces as the COMAFFOR and the JFC’s joint air operations as the JFACC. This duality of authorities is expressed in the axiom: Airmen work for Airmen and the senior Airman works for the JFC.” -- Air Force Doctrine Publication (AFDP) 1, The Air Force Since the COMAFFOR and JFACC are nearly always the same individual, this AFDP will use the term “air component commander” when referring to duties or functions that could be carried out by either or both, unless explicit use of the term “COMAFFOR” or “JFACC” is necessary for clarity.",663,166,JFACC,대해상작전; 해양작전,"이 청크는 대해상작전, 해양작전 관련 교리 내용을 다루며, 핵심 원문은 'component commander (JFACC), over joint air forces made available for tasking. Thus, the air component commander leads A...'로 시작한다.","AFDP 3-04 Countersea Operations | Front Matter | Cover/Table of Contents | JFACC | component commander (JFACC), over joint air forces made available for tasking. Thus, the air component commander leads Air Force forces as the COMAFFOR and the JFC’s joint air operations as the JFACC. This duality of authorities is expressed in the axiom: Airmen work for Airmen and the senior Airman works for the JFC.” -- Air Force Doctrine Publication (AFDP) 1, The Air Force Since the COMAFFOR and JFACC are nearly always the same individual, this AFDP will use the term “air component commander” when referring to duties or functions that could be carried out by either or both, unless explicit use of the term “COMAFFOR” or “JFACC” is necessary for clarity.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 3-3: component commander (JFACC), over joint air forces made available for tasking. Thus, the air component commander leads Air Force forces as the COMAFFOR and the JFC’s joint air operations as the JFACC. This duality of authorities is expressed in the a",front_matter;document_context,RAG_RETRIEVAL;staff_advice,low,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,YES,1.0
AFDP3_04_2023_MAIN_TEXT_0004,AFDP3_04_2023_FRONTMATTER_COVER_TABLE_OF_CONTENTS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,3,4,,1,"AFDP 3-04 Countersea Operations, pdf pp. 3-4",Front Matter,Cover/Table of Contents,,main_text,"se the term “air component commander” when referring to duties or functions that could be carried out by either or both, unless explicit use of the term “COMAFFOR” or “JFACC” is necessary for clarity. 1 CHAPTER 1: COUNTERSEA OPERATIONS The United States (US) depends on assured access to the world's waterways and coastal regions for global economic trade and to provide a stabilizing military presence abroad. These waterways, along with our maritime fleet, provide the means to project the bulk of our forces forward, sustain them over the long term, and project force ashore from the seas. In the same way that airpower is key to rapid forward presence and striking power over long distances, sea power is key to extended forward presence, maritime power projection, mass force deployment, and sustainment through sealift. US Air Force (USAF) countersea capabilities fulfill Department of Defense requirements for the use of USAF forces to counter adversary air, surface, and subsurface threats; ensure the security of vital sea and coastal areas; and enhance the maritime scheme of maneuver.",1095,274,countersea; maritime; airpower; JFACC,대해상작전; 해양; 공군력,"이 청크는 대해상작전, 해양, 공군력 관련 교리 내용을 다루며, 핵심 원문은 'se the term “air component commander” when referring to duties or functions that could be carried out by either or both,...'로 시작한다.","AFDP 3-04 Countersea Operations | Front Matter | Cover/Table of Contents | countersea; maritime; airpower; JFACC | se the term “air component commander” when referring to duties or functions that could be carried out by either or both, unless explicit use of the term “COMAFFOR” or “JFACC” is necessary for clarity. 1 CHAPTER 1: COUNTERSEA OPERATIONS The United States (US) depends on assured access to the world's waterways and coastal regions for global economic trade and to provide a stabilizing military presence abroad. These waterways, along with our maritime fleet, provide the means to project the bulk of our forces forward, sustain them over the long term, and project force ashore from the seas. In the same way that airpower is key to rapid forward presence and striking power over long distances, sea power is key to extended forward presence, maritime power projection, mass force deployment, and sustainment through sealift. US Air Force (USAF) countersea capabilities fulfill Department of Defense requirements for the use of USAF forces to counter adversary air, surface, and subsurface threats; ensure the security of vital sea and coastal areas; and enhance the maritime scheme of maneuver.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 3-4: se the term “air component commander” when referring to duties or functions that could be carried out by either or both, unless explicit use of the term “COMAFFOR” or “JFACC” is necessary for clarity. 1 CHAPTER 1: COUNTERSEA OPERATIONS The United Sta",front_matter;document_context,RAG_RETRIEVAL;staff_advice,low,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0005,AFDP3_04_2023_CHAPTER1_COUNTERSEA_OPERATIONS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,4,4,1,1,"AFDP 3-04 Countersea Operations, pdf pp. 4-4, printed pp. 1-1",Chapter 1,COUNTERSEA OPERATIONS,,main_text,"ense requirements for the use of USAF forces to counter adversary air, surface, and subsurface threats; ensure the security of vital sea and coastal areas; and enhance the maritime scheme of maneuver. The overarching objective of countersea operations is maritime superiority — denying the adversary use of the domain while assuring access and freedom of maneuver for US and allied maritime forces. USAF countersea missions support the achievement of maritime superiority by securing and dominating operations in the maritime domain through the destruction, disruption, delay, diversion, or other neutralization of maritime threats. With the emergence of credible peer/near-peer adversaries, maritime operations increasingly focus on defeating enemy naval forces while retaining focus on the role of maritime power projection ashore from the littorals. Airpower provides a rapid, maneuverable, and flexible element in this environment.",935,234,countersea; maritime; airpower; ISR; maritime superiority,대해상작전; 해양; 공군력; ISR,"이 청크는 대해상작전, 해양, 공군력, ISR 관련 교리 내용을 다루며, 핵심 원문은 'ense requirements for the use of USAF forces to counter adversary air, surface, and subsurface threats; ensure the secur...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | COUNTERSEA OPERATIONS | countersea; maritime; airpower; ISR; maritime superiority | ense requirements for the use of USAF forces to counter adversary air, surface, and subsurface threats; ensure the security of vital sea and coastal areas; and enhance the maritime scheme of maneuver. The overarching objective of countersea operations is maritime superiority — denying the adversary use of the domain while assuring access and freedom of maneuver for US and allied maritime forces. USAF countersea missions support the achievement of maritime superiority by securing and dominating operations in the maritime domain through the destruction, disruption, delay, diversion, or other neutralization of maritime threats. With the emergence of credible peer/near-peer adversaries, maritime operations increasingly focus on defeating enemy naval forces while retaining focus on the role of maritime power projection ashore from the littorals. Airpower provides a rapid, maneuverable, and flexible element in this environment.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 4-4, printed pp. 1-1: ense requirements for the use of USAF forces to counter adversary air, surface, and subsurface threats; ensure the security of vital sea and coastal areas; and enhance the maritime scheme of maneuver. The overarching objective of countersea operation",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,high,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0006,AFDP3_04_2023_CHAPTER1_COUNTERSEA_OPERATIONS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,4,4,1,1,"AFDP 3-04 Countersea Operations, pdf pp. 4-4, printed pp. 1-1",Chapter 1,COUNTERSEA OPERATIONS,,main_text,"efeating enemy naval forces while retaining focus on the role of maritime power projection ashore from the littorals. Airpower provides a rapid, maneuverable, and flexible element in this environment. USAF capabilities can extend the reach and increase the flexibility of naval surface, subsurface, and aviation assets, playing a key role in controlling the maritime domain. Countersea operations can be used in various ways to support JFC operations. Conducted independently, or in conjunction with other military operations, countersea operations may be used to:  Support the establishment of military lodgments during initial operational phases.  Deny use of an area or facilities to the enemy, or to fix enemy forces’ attention in support of other combat operations.  Deter war, resolve conflict, promote peace and stability, or support civil authorities.  Prevent the disruption of sea lines of communication and attacks against the US and its interests.  Achieve operational or strategic objectives in the maritime domain.",1033,259,countersea; maritime; airpower; ISR,대해상작전; 해양; 공군력; ISR,"이 청크는 대해상작전, 해양, 공군력, ISR 관련 교리 내용을 다루며, 핵심 원문은 'efeating enemy naval forces while retaining focus on the role of maritime power projection ashore from the littorals. Ai...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | COUNTERSEA OPERATIONS | countersea; maritime; airpower; ISR | efeating enemy naval forces while retaining focus on the role of maritime power projection ashore from the littorals. Airpower provides a rapid, maneuverable, and flexible element in this environment. USAF capabilities can extend the reach and increase the flexibility of naval surface, subsurface, and aviation assets, playing a key role in controlling the maritime domain. Countersea operations can be used in various ways to support JFC operations. Conducted independently, or in conjunction with other military operations, countersea operations may be used to:  Support the establishment of military lodgments during initial operational phases.  Deny use of an area or facilities to the enemy, or to fix enemy forces’ attention in support of other combat operations.  Deter war, resolve conflict, promote peace and stability, or support civil authorities.  Prevent the disruption of sea lines of communication and attacks against the US and its interests.  Achieve operational or strategic objectives in the maritime domain.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 4-4, printed pp. 1-1: efeating enemy naval forces while retaining focus on the role of maritime power projection ashore from the littorals. Airpower provides a rapid, maneuverable, and flexible element in this environment. USAF capabilities can extend the reach and increa",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,high,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0007,AFDP3_04_2023_CHAPTER1_COUNTERSEA_OPERATIONS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,4,4,1,1,"AFDP 3-04 Countersea Operations, pdf pp. 4-4, printed pp. 1-1",Chapter 1,COUNTERSEA OPERATIONS,,main_text,"or support civil authorities.  Prevent the disruption of sea lines of communication and attacks against the US and its interests.  Achieve operational or strategic objectives in the maritime domain. THE MARITIME DOMAIN Joint Publication (JP) 3-32, Joint Maritime Operations, defines the maritime domain as the oceans, seas, bays, estuaries, islands, coastal areas, and the airspace above these, including the littorals. Countersea operations are equally relevant to “brown water” environments (navigable rivers, lakes, bays, and their estuaries), “green water”",562,141,countersea; maritime; ISR,대해상작전; 해양; ISR,"이 청크는 대해상작전, 해양, ISR 관련 교리 내용을 다루며, 핵심 원문은 'or support civil authorities.  Prevent the disruption of sea lines of communication and attacks against the US and its ...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | COUNTERSEA OPERATIONS | countersea; maritime; ISR | or support civil authorities.  Prevent the disruption of sea lines of communication and attacks against the US and its interests.  Achieve operational or strategic objectives in the maritime domain. THE MARITIME DOMAIN Joint Publication (JP) 3-32, Joint Maritime Operations, defines the maritime domain as the oceans, seas, bays, estuaries, islands, coastal areas, and the airspace above these, including the littorals. Countersea operations are equally relevant to “brown water” environments (navigable rivers, lakes, bays, and their estuaries), “green water”","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 4-4, printed pp. 1-1: or support civil authorities.  Prevent the disruption of sea lines of communication and attacks against the US and its interests.  Achieve operational or strategic objectives in the maritime domain. THE MARITIME DOMAIN Joint Publication (JP) 3-32, ",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,low,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,YES,1.0
AFDP3_04_2023_MAIN_TEXT_0008,AFDP3_04_2023_CHAPTER1_COUNTERSEA_OPERATIONS,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,4,5,1,2,"AFDP 3-04 Countersea Operations, pdf pp. 4-5, printed pp. 1-2",Chapter 1,COUNTERSEA OPERATIONS,,main_text,"eas, and the airspace above these, including the littorals. Countersea operations are equally relevant to “brown water” environments (navigable rivers, lakes, bays, and their estuaries), “green water” 2 environments (coastal waters, ports, and harbors), and “blue water” environments (open oceans). Domains are useful constructs for visualizing and characterizing the physical environment in which operations unfold. However, the use of the term “domain” does not imply or mandate exclusivity, primacy, or command and control (C2) of any domain. Rather, C2 is established by the joint force commander (JFC) through command relationships within the various operational areas (OAs), as described in JP 3-0, Joint Campaigns and Operations. Following this logic, inclusion of the “airspace above” in the maritime domain definition should not be a source of friction or confusion. NAVAL WARFIGHTER PERSPECTIVE Countersea operations require familiarity with naval warfare, organization, and terminology.",997,250,countersea; maritime,대해상작전; 해양,"이 청크는 대해상작전, 해양 관련 교리 내용을 다루며, 핵심 원문은 'eas, and the airspace above these, including the littorals. Countersea operations are equally relevant to “brown water” ...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | COUNTERSEA OPERATIONS | countersea; maritime | eas, and the airspace above these, including the littorals. Countersea operations are equally relevant to “brown water” environments (navigable rivers, lakes, bays, and their estuaries), “green water” 2 environments (coastal waters, ports, and harbors), and “blue water” environments (open oceans). Domains are useful constructs for visualizing and characterizing the physical environment in which operations unfold. However, the use of the term “domain” does not imply or mandate exclusivity, primacy, or command and control (C2) of any domain. Rather, C2 is established by the joint force commander (JFC) through command relationships within the various operational areas (OAs), as described in JP 3-0, Joint Campaigns and Operations. Following this logic, inclusion of the “airspace above” in the maritime domain definition should not be a source of friction or confusion. NAVAL WARFIGHTER PERSPECTIVE Countersea operations require familiarity with naval warfare, organization, and terminology.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 4-5, printed pp. 1-2: eas, and the airspace above these, including the littorals. Countersea operations are equally relevant to “brown water” environments (navigable rivers, lakes, bays, and their estuaries), “green water” 2 environments (coastal waters, ports, and harbor",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,high,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0009,AFDP3_04_2023_CHAPTER1_NAVAL_WARFIGHTER_PERSPECTIVE,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,5,5,2,2,"AFDP 3-04 Countersea Operations, pdf pp. 5-5, printed pp. 2-2",Chapter 1,NAVAL WARFIGHTER PERSPECTIVE,,main_text,"he maritime domain definition should not be a source of friction or confusion. NAVAL WARFIGHTER PERSPECTIVE Countersea operations require familiarity with naval warfare, organization, and terminology. This familiarity is key for successful countersea operations in a maritime area of operations (AO) and is one reason why joint training is vital. The US Navy (USN), US Marine Corps (USMC), and the US Coast Guard (USCG) are the principal organizations that conduct military operations within the maritime domain. The US relies on the combined capabilities of these forces to secure its interests across the competition continuum. In cooperation and competition, the carrier strike group (CSG), expeditionary strike group (ESG), and surface action group (SAG) represent credible military power and reinforce our nation’s ability to influence events, deter potential aggressors, promote regional stability, and provide the requisite force to influence multinational collective security.",984,246,countersea; maritime,대해상작전; 해양,"이 청크는 대해상작전, 해양 관련 교리 내용을 다루며, 핵심 원문은 'he maritime domain definition should not be a source of friction or confusion. NAVAL WARFIGHTER PERSPECTIVE Countersea o...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | NAVAL WARFIGHTER PERSPECTIVE | countersea; maritime | he maritime domain definition should not be a source of friction or confusion. NAVAL WARFIGHTER PERSPECTIVE Countersea operations require familiarity with naval warfare, organization, and terminology. This familiarity is key for successful countersea operations in a maritime area of operations (AO) and is one reason why joint training is vital. The US Navy (USN), US Marine Corps (USMC), and the US Coast Guard (USCG) are the principal organizations that conduct military operations within the maritime domain. The US relies on the combined capabilities of these forces to secure its interests across the competition continuum. In cooperation and competition, the carrier strike group (CSG), expeditionary strike group (ESG), and surface action group (SAG) represent credible military power and reinforce our nation’s ability to influence events, deter potential aggressors, promote regional stability, and provide the requisite force to influence multinational collective security.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 5-5, printed pp. 2-2: he maritime domain definition should not be a source of friction or confusion. NAVAL WARFIGHTER PERSPECTIVE Countersea operations require familiarity with naval warfare, organization, and terminology. This familiarity is key for successful countersea",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,high,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0010,AFDP3_04_2023_CHAPTER1_NAVAL_WARFIGHTER_PERSPECTIVE,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,5,5,2,2,"AFDP 3-04 Countersea Operations, pdf pp. 5-5, printed pp. 2-2",Chapter 1,NAVAL WARFIGHTER PERSPECTIVE,,main_text,"ry power and reinforce our nation’s ability to influence events, deter potential aggressors, promote regional stability, and provide the requisite force to influence multinational collective security. Likewise, ahead of crisis or conflict, the inherent mobility and extended presence of US naval forces provide a means to achieve strategic and operational advantage. Finally, during crisis and conflict, the ability to project timely, intense combat power from the sea is critical to meet JFC objectives FIVE ENDURING NAVAL FUNCTIONS According to Naval Doctrine Publication (NDP) 1, Naval Warfare, to effectively operate in the maritime domain, the USN continuously hones its five enduring functions: sea control, power projection, deterrence, maritime security, and sealift. Though not inclusive of all functions that naval forces have executed for our nation, or will execute in the future, these are enduring functions the USN has consistently employed over the course of our country’s history to defend our homeland and achieve national objectives.",1052,263,maritime; sea control,해양; 제해권,"이 청크는 해양, 제해권 관련 교리 내용을 다루며, 핵심 원문은 'ry power and reinforce our nation’s ability to influence events, deter potential aggressors, promote regional stability,...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | NAVAL WARFIGHTER PERSPECTIVE | maritime; sea control | ry power and reinforce our nation’s ability to influence events, deter potential aggressors, promote regional stability, and provide the requisite force to influence multinational collective security. Likewise, ahead of crisis or conflict, the inherent mobility and extended presence of US naval forces provide a means to achieve strategic and operational advantage. Finally, during crisis and conflict, the ability to project timely, intense combat power from the sea is critical to meet JFC objectives FIVE ENDURING NAVAL FUNCTIONS According to Naval Doctrine Publication (NDP) 1, Naval Warfare, to effectively operate in the maritime domain, the USN continuously hones its five enduring functions: sea control, power projection, deterrence, maritime security, and sealift. Though not inclusive of all functions that naval forces have executed for our nation, or will execute in the future, these are enduring functions the USN has consistently employed over the course of our country’s history to defend our homeland and achieve national objectives.","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 5-5, printed pp. 2-2: ry power and reinforce our nation’s ability to influence events, deter potential aggressors, promote regional stability, and provide the requisite force to influence multinational collective security. Likewise, ahead of crisis or conflict, the inhere",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,high,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
AFDP3_04_2023_MAIN_TEXT_0011,AFDP3_04_2023_CHAPTER1_NAVAL_WARFIGHTER_PERSPECTIVE,AFDP3_04_2023,"Air Force Doctrine Publication 3-04, Countersea Operations",AFDP 3-04 Countersea Operations,3-04-AFDP-Countersea-Ops.pdf,20 September 2023,U.S. Air Force,5,5,2,2,"AFDP 3-04 Countersea Operations, pdf pp. 5-5, printed pp. 2-2",Chapter 1,NAVAL WARFIGHTER PERSPECTIVE,,main_text,"r nation, or will execute in the future, these are enduring functions the USN has consistently employed over the course of our country’s history to defend our homeland and achieve national objectives. Throughout history, control of the sea has been a precursor to victory in war. Sea control is the manifestation of lethality afloat and serves to enable all other naval functions. Sea control is the condition in which one has freedom of action to use the sea for one’s own purposes in specified areas and for specified periods and, where necessary, to deny or limit its use to the enemy. Sea control allows naval forces to close within striking distance to remove landward threats to access, which in turn enhances freedom of action at sea. Freedom of action at sea enables the projection of forces ashore. Sea control is achieved primarily through the demonstrated use or credible threat of force. It is established through naval, joint, or combined operations designed to secure the use of ocean and littoral areas by one’s own forces and to prevent their use by the",1069,268,sea control,제해권,"이 청크는 제해권 관련 교리 내용을 다루며, 핵심 원문은 'r nation, or will execute in the future, these are enduring functions the USN has consistently employed over the course ...'로 시작한다.","AFDP 3-04 Countersea Operations | Chapter 1 | NAVAL WARFIGHTER PERSPECTIVE | sea control | r nation, or will execute in the future, these are enduring functions the USN has consistently employed over the course of our country’s history to defend our homeland and achieve national objectives. Throughout history, control of the sea has been a precursor to victory in war. Sea control is the manifestation of lethality afloat and serves to enable all other naval functions. Sea control is the condition in which one has freedom of action to use the sea for one’s own purposes in specified areas and for specified periods and, where necessary, to deny or limit its use to the enemy. Sea control allows naval forces to close within striking distance to remove landward threats to access, which in turn enhances freedom of action at sea. Freedom of action at sea enables the projection of forces ashore. Sea control is achieved primarily through the demonstrated use or credible threat of force. It is established through naval, joint, or combined operations designed to secure the use of ocean and littoral areas by one’s own forces and to prevent their use by the","Air Force Doctrine Publication 3-04, Countersea Operations (20 September 2023), AFDP 3-04 Countersea Operations, pdf pp. 5-5, printed pp. 2-2: r nation, or will execute in the future, these are enduring functions the USN has consistently employed over the course of our country’s history to defend our homeland and achieve national objectives. Throughout history, control of the sea has been a",doctrine_content;operational_context,RAG_RETRIEVAL;staff_advice,high,public,Use for doctrine-grounded answers; cite source_locator. Do not infer beyond the cited doctrine text.,completed,NO,1.0
