chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
JP3_32_2018_B0001,JP3_32_2018_S0001,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,1,1,1,1,Front Matter,Front Matter,,cover,"D E P A O T M E N T F T H E A R M Y
•
• E U N I T E D S T A T S O A F A M E R I C R T H I S W E ' L L D E F E N D Joint Publication 3-32 Joint Maritime Operations 8 June 2018",174,44,doctrine_explanation; operational_reference,qa; staff_advice,low,maritime operations,해양작전,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: D E P A O T M E N T F T H E A R M Y • • E U N I T E D S T A T S O A F A M E R I C R T H I S W E ' L L D E F E N D Joint Publicatio,"JP 3-32 | Front Matter | Front Matter |  | maritime operations
D E P A O T M E N T F T H E A R M Y
•
• E U N I T E D S T A T S O A F A M E R I C R T H I S W E ' L L D E F E N D Joint Publication 3-32 Joint Maritime Operations 8 June 2018","JP 3-32, p. 1 (PDF p. 1): D E P A O T M E N T F T H E A R M Y
•
• E U N I T E D S T A T S O A F A M E R I C R T H I S W E ' L L D E F E N D Joint Publication 3-32 Joint Maritime Operations 8 June 2018",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. 1 (PDF p. 1)",en,ok,YES,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0002,JP3_32_2018_S0002,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,3,3,i,i,Front Matter,1. Scope,,body,"PREFACE
1. Scope This publication provides fundamental principles and guidance for joint maritime operations. It describes the maritime domain; addresses considerations for establishing a joint force maritime component commander and attendant command relationships; and provides principles and guidance to plan, execute, and assess joint maritime operations.
2. Purpose This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff (CJCS). It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent",1089,273,doctrine_explanation; operational_reference,qa; staff_advice,low,maritime operations,해양작전,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: PREFACE 1. Scope This publication provides fundamental principles and guidance for joint maritime operations. It describes the mar,"JP 3-32 | Front Matter | 1. Scope |  | maritime operations
PREFACE
1. Scope This publication provides fundamental principles and guidance for joint maritime operations. It describes the maritime domain; addresses considerations for establishing a joint force maritime component commander and attendant command relationships; and provides principles and guidance to plan, execute, and assess joint maritime operations.
2. Purpose This publication has been prepared under the direction of the Chairman of the Joint Chiefs of Staff (CJCS). It sets forth joint doctrine to govern the activities and performance of the Armed Forces of the United States in joint operations, and it provides considerations for military interaction with governmental and nongovernmental agencies, multinational forces, and other interorganizational partners. It provides military guidance for the exercise of authority by combatant commanders and other joint force commanders (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent","JP 3-32, p. i (PDF p. 3): PREFACE
1. Scope This publication provides fundamental principles and guidance for joint maritime operations. It describes the maritime domain; addresses considerations for establishing a joint force maritime component commander and attendant command relationships; and provides principles and guidance to plan, execute, and assess joint maritime ope",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. i (PDF p. 3)",en,ok,NO,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0003,JP3_32_2018_S0003,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,3,3,i,i,Front Matter,1. Scope,,body,"ers (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent
of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of objectives.
3. Application
a. Joint doctrine established in this publication applies to the Joint Staff, commanders of combatant commands, subordinate unified commands, joint task forces, subordinate components of these commands, the Services, and combat support agencies.",676,169,doctrine_explanation; operational_reference,qa; staff_advice,low,joint maritime operations,joint maritime operations,"JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: ers (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces i","JP 3-32 | Front Matter | 1. Scope |  | joint maritime operations
ers (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent
of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropriate to ensure unity of effort in the accomplishment of objectives.
3. Application
a. Joint doctrine established in this publication applies to the Joint Staff, commanders of combatant commands, subordinate unified commands, joint task forces, subordinate components of these commands, the Services, and combat support agencies.","JP 3-32, p. i (PDF p. 3): ers (JFCs), and prescribes joint doctrine for operations and training. It provides military guidance for use by the Armed Forces in preparing and executing their plans and orders. It is not the intent
of this publication to restrict the authority of the JFC from organizing the force and executing the mission in a manner the JFC deems most appropria",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. i (PDF p. 3)",en,ok,YES,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0004,JP3_32_2018_S0004,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,3,3,i,i,Front Matter,1. Scope,,body,"b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the CJCS, normally in coordination with the other members of the Joint Chiefs of Staff, has provided more current and specific guidance. Commanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States. For doctrine and procedures not ratified by the US, commanders
should evaluate and follow the multinational command’s doctrine and procedures, where applicable and consistent with US law, regulations, and doctrine.
For the Chairman of the Joint Chiefs of Staff: KEVIN D. SCOTT Vice Admiral, USN Director, Joint Force Development",980,245,doctrine_explanation; operational_reference,qa; staff_advice,low,joint maritime operations,joint maritime operations,"JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the ","JP 3-32 | Front Matter | 1. Scope |  | joint maritime operations
b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the CJCS, normally in coordination with the other members of the Joint Chiefs of Staff, has provided more current and specific guidance. Commanders of forces operating as part of a multinational (alliance or coalition) military command should follow multinational doctrine and procedures ratified by the United States. For doctrine and procedures not ratified by the US, commanders
should evaluate and follow the multinational command’s doctrine and procedures, where applicable and consistent with US law, regulations, and doctrine.
For the Chairman of the Joint Chiefs of Staff: KEVIN D. SCOTT Vice Admiral, USN Director, Joint Force Development","JP 3-32, p. i (PDF p. 3): b. The guidance in this publication is authoritative; as such, this doctrine will be followed except when, in the judgment of the commander, exceptional circumstances dictate otherwise. If conflicts arise between the contents of this publication and the contents of Service publications, this publication will take precedence unless the CJCS, normall",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. i (PDF p. 3)",en,ok,NO,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0005,JP3_32_2018_S0005,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,5,5,iii,iii,Front Matter,1. Scope,,summary_changes,"SUMMARY OF CHANGES REVISION OF JOINT PUBLICATION 3-32 DATED 07 AUGUST 2013
• Changes title from Command and Control for Joint Maritime Operations.
• Revises scope statement.
• Revises discussion of composite warfare and adds a figure on composite warfare commander organization.
• Revises command and control considerations for specific maritime operations.
• Adds a paragraph on seapower essential functions.
• Adds figure on operational employment constructs for amphibious ready groups and marine expeditionary units (aggregated, disaggregated, distributed).
• Removes discussion of global fleet station, Maritime Civil Affairs and Security Training Command, and maritime expeditionary security force.
• Revises the discussion on maritime domain awareness.
• Enhances discussion on assessment.
• Enhances consistency among other doctrinal publications and Department of Defense (DOD) and other United States Government policies.
• Modifies, adds, and removes terms and definitions from the DOD Dictionary of Military and Associated Terms.",1041,261,overview; operational_reference,qa; staff_advice,low,command and control; maritime operations; assessment,지휘통제; 해양작전; 평가,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: SUMMARY OF CHANGES REVISION OF JOINT PUBLICATION 3-32 DATED 07 AUGUST 2013 • Changes title from Command and Control for Joint Mari,"JP 3-32 | Front Matter | 1. Scope |  | command and control; maritime operations; assessment
SUMMARY OF CHANGES REVISION OF JOINT PUBLICATION 3-32 DATED 07 AUGUST 2013
• Changes title from Command and Control for Joint Maritime Operations.
• Revises scope statement.
• Revises discussion of composite warfare and adds a figure on composite warfare commander organization.
• Revises command and control considerations for specific maritime operations.
• Adds a paragraph on seapower essential functions.
• Adds figure on operational employment constructs for amphibious ready groups and marine expeditionary units (aggregated, disaggregated, distributed).
• Removes discussion of global fleet station, Maritime Civil Affairs and Security Training Command, and maritime expeditionary security force.
• Revises the discussion on maritime domain awareness.
• Enhances discussion on assessment.
• Enhances consistency among other doctrinal publications and Department of Defense (DOD) and other United States Government policies.
• Modifies, adds, and removes terms and definitions from the DOD Dictionary of Military and Associated Terms.","JP 3-32, p. iii (PDF p. 5): SUMMARY OF CHANGES REVISION OF JOINT PUBLICATION 3-32 DATED 07 AUGUST 2013
• Changes title from Command and Control for Joint Maritime Operations.
• Revises scope statement.
• Revises discussion of composite warfare and adds a figure on composite warfare commander organization.
• Revises command and control considerations for specific maritime oper",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. iii (PDF p. 5)",en,ok,NO,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0006,JP3_32_2018_S0006,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,7,7,v,v,CHAPTER I INTRODUCTION •,CHAPTER I INTRODUCTION •,,toc,"TABLE OF CONTENTS EXECUTIVE SUMMARY ............................................................................................... ix CHAPTER I INTRODUCTION
• General ........................................................................................................................ I-1
• General Approach to Command and Control ............................................................. I-2
• Seapower Essential Functions..................................................................................... I-3
• Joint Maritime Operations .......................................................................................... I-4
• Maritime Domain ........................................................................................................ I-5 CHAPTER II ORGANIZING FOR JOINT MARITIME OPERATIONS
• General Organizational Options ................................................................................II-1
• Component Employment Considerations ..................................................................II-3
• Command Relationships and Responsibilities ...........................................................II-6",1158,290,doctrine_explanation; operational_reference,qa; staff_advice,low,command and control; maritime operations,지휘통제; 해양작전,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: TABLE OF CONTENTS EXECUTIVE SUMMARY ..............................................................................................,"JP 3-32 | CHAPTER I INTRODUCTION • | CHAPTER I INTRODUCTION • |  | command and control; maritime operations
TABLE OF CONTENTS EXECUTIVE SUMMARY ............................................................................................... ix CHAPTER I INTRODUCTION
• General ........................................................................................................................ I-1
• General Approach to Command and Control ............................................................. I-2
• Seapower Essential Functions..................................................................................... I-3
• Joint Maritime Operations .......................................................................................... I-4
• Maritime Domain ........................................................................................................ I-5 CHAPTER II ORGANIZING FOR JOINT MARITIME OPERATIONS
• General Organizational Options ................................................................................II-1
• Component Employment Considerations ..................................................................II-3
• Command Relationships and Responsibilities ...........................................................II-6","JP 3-32, p. v (PDF p. 7): TABLE OF CONTENTS EXECUTIVE SUMMARY ............................................................................................... ix CHAPTER I INTRODUCTION
• General ........................................................................................................................ I-1
• General Approach to Command and Control ...............",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. v (PDF p. 7)",en,ok,NO,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0007,JP3_32_2018_S0007,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,7,7,v,v,CHAPTER I INTRODUCTION •,CHAPTER I INTRODUCTION •,,toc,"yment Considerations ..................................................................II-3
• Command Relationships and Responsibilities ...........................................................II-6
• Organizing and Manning the Component Headquarters .........................................II-11
• Task Organization of Subordinate Forces ................................................................II-14
• Navy Composite Warfare Doctrine .........................................................................II-14
• Marine Air-Ground Task Force ...............................................................................II-16
• Multinational Considerations ...................................................................................II-16
• Supported Maritime Commander Considerations ...................................................II-17
• Supporting Maritime Commander Considerations ..................................................II-18 CHAPTER III PLANNING JOINT MARITIME OPERATIONS
• Maritime Planning Processes and Products ............................................................. III-1",1124,281,doctrine_explanation; operational_reference,qa; staff_advice,low,maritime operations; planning,해양작전; 계획수립,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: yment Considerations ..................................................................II-3 • Command Relationships and Responsibi,"JP 3-32 | CHAPTER I INTRODUCTION • | CHAPTER I INTRODUCTION • |  | maritime operations; planning
yment Considerations ..................................................................II-3
• Command Relationships and Responsibilities ...........................................................II-6
• Organizing and Manning the Component Headquarters .........................................II-11
• Task Organization of Subordinate Forces ................................................................II-14
• Navy Composite Warfare Doctrine .........................................................................II-14
• Marine Air-Ground Task Force ...............................................................................II-16
• Multinational Considerations ...................................................................................II-16
• Supported Maritime Commander Considerations ...................................................II-17
• Supporting Maritime Commander Considerations ..................................................II-18 CHAPTER III PLANNING JOINT MARITIME OPERATIONS
• Maritime Planning Processes and Products ............................................................. III-1","JP 3-32, p. v (PDF p. 7): yment Considerations ..................................................................II-3
• Command Relationships and Responsibilities ...........................................................II-6
• Organizing and Manning the Component Headquarters .........................................II-11
• Task Organization of Subordinate Forces ........",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. v (PDF p. 7)",en,ok,NO,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0008,JP3_32_2018_S0008,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,7,7,v,v,CHAPTER I INTRODUCTION •,CHAPTER I INTRODUCTION •,,toc,".....................................II-18 CHAPTER III PLANNING JOINT MARITIME OPERATIONS
• Maritime Planning Processes and Products ............................................................. III-1
• Integration with Joint Planning Process ................................................................... III-2
• Organizing the Operational Area ............................................................................. III-2
• Other General Planning Considerations ................................................................... III-3
• Assessment ............................................................................................................. III-16
• Multinational Participation .................................................................................... III-18 CHAPTER IV COMMAND AND CONTROL AND OTHER OPERATIONAL-LEVEL CONSIDERATIONS FOR SPECIFIC MARITIME OPERATIONS
• General ..................................................................................................................... IV-1
• Surface Warfare ....................................................................................................... IV-1",1167,292,doctrine_explanation; operational_reference,qa; staff_advice,low,command and control; maritime operations; assessment; planning,지휘통제; 해양작전; 평가; 계획수립,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: .....................................II-18 CHAPTER III PLANNING JOINT MARITIME OPERATIONS • Maritime Planning Processes and Produc,"JP 3-32 | CHAPTER I INTRODUCTION • | CHAPTER I INTRODUCTION • |  | command and control; maritime operations; assessment; planning
.....................................II-18 CHAPTER III PLANNING JOINT MARITIME OPERATIONS
• Maritime Planning Processes and Products ............................................................. III-1
• Integration with Joint Planning Process ................................................................... III-2
• Organizing the Operational Area ............................................................................. III-2
• Other General Planning Considerations ................................................................... III-3
• Assessment ............................................................................................................. III-16
• Multinational Participation .................................................................................... III-18 CHAPTER IV COMMAND AND CONTROL AND OTHER OPERATIONAL-LEVEL CONSIDERATIONS FOR SPECIFIC MARITIME OPERATIONS
• General ..................................................................................................................... IV-1
• Surface Warfare ....................................................................................................... IV-1","JP 3-32, p. v (PDF p. 7): .....................................II-18 CHAPTER III PLANNING JOINT MARITIME OPERATIONS
• Maritime Planning Processes and Products ............................................................. III-1
• Integration with Joint Planning Process ................................................................... III-2
• Organizing the Operational Area",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. v (PDF p. 7)",en,ok,NO,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0009,JP3_32_2018_S0009,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,7,7,v,v,CHAPTER I INTRODUCTION •,CHAPTER I INTRODUCTION •,,toc,".................................................................... IV-1
• Surface Warfare ....................................................................................................... IV-1
• Air and Missile Defense........................................................................................... IV-5",322,81,doctrine_explanation; operational_reference,qa; staff_advice,low,air and missile defense,방공 및 미사일 방어,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: .................................................................... IV-1 • Surface Warfare ......................................,"JP 3-32 | CHAPTER I INTRODUCTION • | CHAPTER I INTRODUCTION • |  | air and missile defense
.................................................................... IV-1
• Surface Warfare ....................................................................................................... IV-1
• Air and Missile Defense........................................................................................... IV-5","JP 3-32, p. v (PDF p. 7): .................................................................... IV-1
• Surface Warfare ....................................................................................................... IV-1
• Air and Missile Defense........................................................................................... IV-5",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. v (PDF p. 7)",en,ok,YES,v1.0,2026-05-06,2026-05-06
JP3_32_2018_B0010,JP3_32_2018_S0010,JP3_32_2018,"Joint Publication 3-32, Joint Maritime Operations",JP 3-32,8 June 2018,Joint Chiefs of Staff,GOVPUB-D5-PURL-gpo124896.pdf,8,8,vi,vi,CHAPTER I INTRODUCTION •,CHAPTER I INTRODUCTION •,,toc,"• Antisubmarine Warfare .......................................................................................... IV-10
• Mine Warfare ......................................................................................................... IV-14
• Strike Warfare ........................................................................................................ IV-16
• Amphibious Operations ......................................................................................... IV-17
• Naval Surface Support ........................................................................................... IV-18
• Commander’s Communication Synchronization ................................................... IV-18
• Maritime Interception Operations .......................................................................... IV-19
• Maritime Security Operations ................................................................................ IV-22
• Maritime Homeland Defense and Defense Support of Civil Authorities .............. IV-23
• Global Maritime Partnerships and Security Cooperation ...................................... IV-24",1144,286,doctrine_explanation; operational_reference,qa; staff_advice,low,antisubmarine warfare; mine warfare; strike warfare; amphibious operations; maritime security,대잠전; 기뢰전; 타격전; 상륙작전; 해양안보,JP 3-32의 합동 해양작전 교리 내용을 의미 단위로 분할한 본문 청크이다: • Antisubmarine Warfare .......................................................................................... IV-10 • Mine Wa,"JP 3-32 | CHAPTER I INTRODUCTION • | CHAPTER I INTRODUCTION • |  | antisubmarine warfare; mine warfare; strike warfare; amphibious operations; maritime security
• Antisubmarine Warfare .......................................................................................... IV-10
• Mine Warfare ......................................................................................................... IV-14
• Strike Warfare ........................................................................................................ IV-16
• Amphibious Operations ......................................................................................... IV-17
• Naval Surface Support ........................................................................................... IV-18
• Commander’s Communication Synchronization ................................................... IV-18
• Maritime Interception Operations .......................................................................... IV-19
• Maritime Security Operations ................................................................................ IV-22
• Maritime Homeland Defense and Defense Support of Civil Authorities .............. IV-23
• Global Maritime Partnerships and Security Cooperation ...................................... IV-24","JP 3-32, p. vi (PDF p. 8): • Antisubmarine Warfare .......................................................................................... IV-10
• Mine Warfare ......................................................................................................... IV-14
• Strike Warfare .....................................................................................",public,Use as doctrine reference; cite source locator and avoid implying supersession beyond publication date.,"JP 3-32, p. vi (PDF p. 8)",en,ok,NO,v1.0,2026-05-06,2026-05-06
