chunk_id,parent_structure_id,document_id,document_title,document_short_title,source_file,publication_date,publisher,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,source_locator,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,content_function,mode_relevance,retrieval_priority,security_class,answer_limit_note,processing_status,review_required,version
AFDP4_0_2026_CHUNK_00001,AFDP4_0_2026_STRUCT_001,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,1,1,Cover,Cover,"AFDP 4-0 Sustainment, printed p. Cover",Front Matter,Sustainment,,front_matter,"Cover: AIR FORCE DOCTRINE PUBLICATION 4-0, SUSTAINMENT, U.S. AIR FORCE, 01 May 2026.",84,21,sustainment,지속지원,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, Cover: AIR FORCE DOCTRINE PUBLICATION 4-0, SUSTAINMENT, U.S. AIR FORCE, 01 May 2026.","AFDP 4-0 Sustainment | Front Matter | Sustainment |  | sustainment | Cover: AIR FORCE DOCTRINE PUBLICATION 4-0, SUSTAINMENT, U.S. AIR FORCE, 01 May 2026.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. Cover.",front_matter;document_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,low,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,YES,v1.0
AFDP4_0_2026_CHUNK_00002,AFDP4_0_2026_STRUCT_002,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,2,2,TOC,TOC,"AFDP 4-0 Sustainment, printed p. TOC",Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND,Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND,,front_matter,Table of Contents Foreword ......................................................................................................................... i Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND SUSTAINMENT .............................................................................................................. 1 Chapter 2: SUSTAINMENT OPERATIONS ................................................................... 8 POSTURING RESPONSIVE FORCES ...................................................................... 10 BASING FORCES ..................................................................................................... 10 PROTECTING FORCES ............................................................................................ 15 MISSION GENERATION ........................................................................................... 18 MISSION SUPPORT.................................................................................................. 25 FORCE SUSTAINMENT ............................................................................................ 30 Chapter 3: LOGISTICS INTEGRATION ....................................................................... 32 COMMAND AND CONTROL CONSIDERATIONS ................................................... 32 PROCESSES AND CAPABILITIES .......................................................................... 34 Chapter 4: SUSTAINMENT PLANNING & EXECUTION ............................................. 37 SUSTAINMENT PLANNING FACTORS ................................................................... 38 EXECUTION CONSIDERATIONS ............................................................................. 43 Appendix A: COMBAT SERVICE SUPPORT CAPABILITIES .................................... 44 References ................................................................................................................... 48,1945,486,sustainment; logistics; combat service support; mission generation; mission support; basing,지속지원; 군수; 전투근무지원; 임무생성; mission support; 기지운용,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, Table of Contents Foreword ......................................................................................................................... i Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND...",AFDP 4-0 Sustainment | Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND | Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND |  | sustainment; logistics; combat service support; mission generation; mission support; basing | Table of Contents Foreword ......................................................................................................................... i Chapter 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND SUSTAINMENT .............................................................................................................. 1 Chapter 2: SUSTAINMENT OPERATIONS ................................................................... 8 POSTURING RESPONSIVE FORCES ...................................................................... 10 BASING FORCES ..................................................................................................... 10 PROTECTING FORCES ............................................................................................ 15 MISSION GENERATION ........................................................................................... 18 MISSION SUPPORT.................................................................................................. 25 FORCE SUSTAINMENT ............................................................................................ 30 Chapter 3: LOGISTICS INTEGRATION ....................................................................... 32 COMMAND AND CONTROL CONSIDERATIONS ................................................... 32 PROCESSES AND CAPABILITIES .......................................................................... 34 Chapter 4: SUSTAINMENT PLANNING & EXECUTION ............................................. 37 SUSTAINMENT PLANNING FACTORS ................................................................... 38 EXECUTION CONSIDERATIONS ............................................................................. 43 Appendix A: COMBAT SERVICE SUPPORT CAPABILITIES .................................... 44 References ................................................................................................................... 48,"Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. TOC.",front_matter;document_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,low,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,YES,v1.0
AFDP4_0_2026_CHUNK_00003,AFDP4_0_2026_STRUCT_003,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,3,3,i,i,"AFDP 4-0 Sustainment, printed p. i",Front Matter,Foreword,,front_matter,"i FOREWORD Doctrine describes the fundamental principles by which military forces act in support of national objectives. It is a body of carefully developed, authoritative ideas that have been officially approved or codified, establishing a common frame of reference for solving military problems. To be an effective guide, the challenge for doctrine is to be simultaneously reflective of the past, applicable in the present, and forward-looking, all in equal measure. The United States Air Force (USAF) should anticipate future requirements and to what degree decision advantage, freedom of maneuver, and freedom of action are increasingly challenged. To deter, compete, and win across the competition continuum, Airmen must advance solutions that enable operations in highly contested environments. Broadly, the joint force’s approach to meet this challenge is encapsulated in joint all-domain operations (JADO). Together with combined joint all-domain command and control (CJADC2), JADO provides joint force commanders (JFC) the means to integrate, synchronize, and deconflict the convergence of effects across all domains to achieve operational advantage. AFDP 4-0, Sustainment, is firmly rooted in the past but also looks to the future, adapting where needed to enable continued utility and efficacy for the challenges to come. Properly planned and executed combat service support operations are a crucial element to enable the achievement of JFC objectives in cooperation, competition, and conflict. What worked in the past may work in the future, but likely not in the same way. Airmen should be trained to plan operations in a distributed, decentralized manner and execute the mission when isolated from higher echelons in such environments. Airmen at all levels should be comfortable making decisions and operating based on the commander’s intent and the principles of mission command. This doctrine represents what we believe to be true based on the evidence to date. As we press toward a more capable future force, it is critical that we reevaluate and update our doctrine to meet our nation’s security challenges. Throughout our history, innovative Airmen have adapted technologies and developed employment methods to meet the challenges our nation has faced and will continue to face.",2297,574,sustainment; JFC; ACE; combat service support,지속지원; 합동군사령관; 기민전투운용; 전투근무지원,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, i FOREWORD Doctrine describes the fundamental principles by which military forces act in support of national objectives. It is a body of carefully developed, authoritative ideas that have been officially approved or...","AFDP 4-0 Sustainment | Front Matter | Foreword |  | sustainment; JFC; ACE; combat service support | i FOREWORD Doctrine describes the fundamental principles by which military forces act in support of national objectives. It is a body of carefully developed, authoritative ideas that have been officially approved or codified, establishing a common frame of reference for solving military problems. To be an effective guide, the challenge for doctrine is to be simultaneously reflective of the past, applicable in the present, and forward-looking, all in equal measure. The United States Air Force (USAF) should anticipate future requirements and to what degree decision advantage, freedom of maneuver, and freedom of action are increasingly challenged. To deter, compete, and win across the competition continuum, Airmen must advance solutions that enable operations in highly contested environments. Broadly, the joint force’s approach to meet this challenge is encapsulated in joint all-domain operations (JADO). Together with combined joint all-domain command and control (CJADC2), JADO provides joint force commanders (JFC) the means to integrate, synchronize, and deconflict the convergence of effects across all domains to achieve operational advantage. AFDP 4-0, Sustainment, is firmly rooted in the past but also looks to the future, adapting where needed to enable continued utility and efficacy for the challenges to come. Properly planned and executed combat service support operations are a crucial element to enable the achievement of JFC objectives in cooperation, competition, and conflict. What worked in the past may work in the future, but likely not in the same way. Airmen should be trained to plan operations in a distributed, decentralized manner and execute the mission when isolated from higher echelons in such environments. Airmen at all levels should be comfortable making decisions and operating based on the commander’s intent and the principles of mission command. This doctrine represents what we believe to be true based on the evidence to date. As we press toward a more capable future force, it is critical that we reevaluate and update our doctrine to meet our nation’s security challenges. Throughout our history, innovative Airmen have adapted technologies and developed employment methods to meet the challenges our nation has faced and will continue to face.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. i.",front_matter;document_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,low,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,YES,v1.0
AFDP4_0_2026_CHUNK_00004,AFDP4_0_2026_STRUCT_004,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,4,4,1,1,"AFDP 4-0 Sustainment, printed p. 1",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT,,doctrine_text,"1 CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND SUSTAINMENT Sustainment is a critical joint function providing commanders with options to achieve military objectives. It encompasses the provision of logistics and personnel support services to maintain operations through mission accomplishment and redeployment of the force. In the context of joint operations, air component logistics operations are vital to global efforts, enabling continued military action by planning, mobilizing, and moving forces and equipment to support the Joint Force Commander’s (JFC) concept of operations. The JFC relies on the sustainment capabilities provided by the Services, which include resources (personnel, weapons systems, and the material to maintain the readiness of both), force generation capabilities, and enduring support. The United States Air Force (USAF) organizes, trains, and equips forces to serve as an air component to a JFC, ensuring these forces are prepared to accomplish assigned objectives.",1017,254,sustainment; logistics; JFC; deployment,지속지원; 군수; 합동군사령관; 전개,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, 1 CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND SUSTAINMENT Sustainment is a critical joint function providing commanders with options to achieve military objectives. It encompasses the provision of...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT |  | sustainment; logistics; JFC; deployment | 1 CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT LOGISTICS AND SUSTAINMENT Sustainment is a critical joint function providing commanders with options to achieve military objectives. It encompasses the provision of logistics and personnel support services to maintain operations through mission accomplishment and redeployment of the force. In the context of joint operations, air component logistics operations are vital to global efforts, enabling continued military action by planning, mobilizing, and moving forces and equipment to support the Joint Force Commander’s (JFC) concept of operations. The JFC relies on the sustainment capabilities provided by the Services, which include resources (personnel, weapons systems, and the material to maintain the readiness of both), force generation capabilities, and enduring support. The United States Air Force (USAF) organizes, trains, and equips forces to serve as an air component to a JFC, ensuring these forces are prepared to accomplish assigned objectives.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 1.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,high,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
AFDP4_0_2026_CHUNK_00005,AFDP4_0_2026_STRUCT_004,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,4,4,1,1,"AFDP 4-0 Sustainment, printed p. 1",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT,,doctrine_text,"ROLE OF AIR FORCE FORCES (AFFOR) IN JOINT LOGISTICS AND SUSTAINMENT The Commander, Air Force Forces (COMAFFOR), exercises administrative authorities derived from Title 10, U.S. Code, and operational authorities delegated from the JFC, leading AFFOR and the JFC’s joint air operations as the Joint Force Air Component Commander (JFACC). This dual role underscores the Air Force’s commitment to both supporting its own forces and contributing to the broader joint logistics and sustainment effort. The COMAFFOR’s staff plays a crucial role in coordinating, synchronizing, and communicating sustainment capabilities, providing airpower to meet the JFC's objectives. • Logistics. In Joint operations, logistics is the planning and execution of the movement and support of forces. It encompasses the design and development, acquisition, storage, movement, distribution, maintenance, and disposition of materiel; acquisition or construction; maintenance, operation, and disposition of facilities; and acquisition or furnishing of services. • Sustainment.",1048,262,sustainment; logistics; AFFOR; COMAFFOR; JFACC; JFC; distribution; maintenance,지속지원; 군수; 공군구성군; 공군군사령관; 연합/합동공군구성군사령관; 합동군사령관; 분배; 정비,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, ROLE OF AIR FORCE FORCES (AFFOR) IN JOINT LOGISTICS AND SUSTAINMENT The Commander, Air Force Forces (COMAFFOR), exercises administrative authorities derived from Title 10, U.S. Code, and operational authorities...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT |  | sustainment; logistics; AFFOR; COMAFFOR; JFACC; JFC; distribution; maintenance | ROLE OF AIR FORCE FORCES (AFFOR) IN JOINT LOGISTICS AND SUSTAINMENT The Commander, Air Force Forces (COMAFFOR), exercises administrative authorities derived from Title 10, U.S. Code, and operational authorities delegated from the JFC, leading AFFOR and the JFC’s joint air operations as the Joint Force Air Component Commander (JFACC). This dual role underscores the Air Force’s commitment to both supporting its own forces and contributing to the broader joint logistics and sustainment effort. The COMAFFOR’s staff plays a crucial role in coordinating, synchronizing, and communicating sustainment capabilities, providing airpower to meet the JFC's objectives. • Logistics. In Joint operations, logistics is the planning and execution of the movement and support of forces. It encompasses the design and development, acquisition, storage, movement, distribution, maintenance, and disposition of materiel; acquisition or construction; maintenance, operation, and disposition of facilities; and acquisition or furnishing of services. • Sustainment.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 1.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,medium,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
AFDP4_0_2026_CHUNK_00006,AFDP4_0_2026_STRUCT_004,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,4,4,1,1,"AFDP 4-0 Sustainment, printed p. 1",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT,,doctrine_text,"Sustainment is the provision of logistics and personnel services required to maintain and prolong operations until mission accomplishment. It provides the JFC the means for freedom of action and endurance, and for extending operational reach. Fundamentally, sustainment enables the JFC to seize, retain, and exploit the initiative. “While I can’t predict exactly the solution to every contested logistics problem set that may be ahead of us in the next 10, 15, 20 years–I can say that Airmen will figure out how to solve the problem in front of them. They must be given the tools to do it, but I’ve got great confidence that they will.” –Lt Gen (Ret.) Thomas D. Miller, USAF Former Deputy Chief of Staff, Logistics, Engineering, and Force Protection",749,187,sustainment; logistics; JFC; force protection,지속지원; 군수; 합동군사령관; 전력방호,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, Sustainment is the provision of logistics and personnel services required to maintain and prolong operations until mission accomplishment. It provides the JFC the means for freedom of action and endurance, and for...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | CHAPTER 1: AIR FORCE OPERATIONS IN SUPPORT OF JOINT |  | sustainment; logistics; JFC; force protection | Sustainment is the provision of logistics and personnel services required to maintain and prolong operations until mission accomplishment. It provides the JFC the means for freedom of action and endurance, and for extending operational reach. Fundamentally, sustainment enables the JFC to seize, retain, and exploit the initiative. “While I can’t predict exactly the solution to every contested logistics problem set that may be ahead of us in the next 10, 15, 20 years–I can say that Airmen will figure out how to solve the problem in front of them. They must be given the tools to do it, but I’ve got great confidence that they will.” –Lt Gen (Ret.) Thomas D. Miller, USAF Former Deputy Chief of Staff, Logistics, Engineering, and Force Protection","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 1.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,low,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
AFDP4_0_2026_CHUNK_00007,AFDP4_0_2026_STRUCT_005,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,5,5,2,2,"AFDP 4-0 Sustainment, printed p. 2",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,,doctrine_text,"2 The relationship between logistics and sustainment can be understood through the framework of ends, ways, and means. Sustainment frames the objective (the ends), to maintain operations through mission accomplishment, and redeployment, and provides both the capabilities and capacity (the means) to achieve those ends. Logistics represents the activity of planning for and employing the capabilities (the ways) within the available capacity to achieve the stated sustainment objectives. Logistics serves as the critical integrator of various capabilities necessary to project and sustain military power across the globe at a chosen time and place. This integration spans the strategic, operational, and tactical levels, encompassing the movement of personnel and materiel, the establishment and maintenance of operating locations, and the provision of essential services.",872,218,sustainment; logistics; ACE; deployment; maintenance,지속지원; 군수; 기민전투운용; 전개; 정비,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, 2 The relationship between logistics and sustainment can be understood through the framework of ends, ways, and means. Sustainment frames the objective (the ends), to maintain operations through mission accomplishment,...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment |  | sustainment; logistics; ACE; deployment; maintenance | 2 The relationship between logistics and sustainment can be understood through the framework of ends, ways, and means. Sustainment frames the objective (the ends), to maintain operations through mission accomplishment, and redeployment, and provides both the capabilities and capacity (the means) to achieve those ends. Logistics represents the activity of planning for and employing the capabilities (the ways) within the available capacity to achieve the stated sustainment objectives. Logistics serves as the critical integrator of various capabilities necessary to project and sustain military power across the globe at a chosen time and place. This integration spans the strategic, operational, and tactical levels, encompassing the movement of personnel and materiel, the establishment and maintenance of operating locations, and the provision of essential services.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 2.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,medium,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
AFDP4_0_2026_CHUNK_00008,AFDP4_0_2026_STRUCT_005,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,5,5,2,2,"AFDP 4-0 Sustainment, printed p. 2",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,,doctrine_text,"The USAF’s agile combat support (ACS) framework, which includes the processes that create, sustain, and protect all aerospace capabilities, Core Logistics Functions Core Functions Functional Capabilities Deployment and Distribution ⚫ Move the force ⚫ Sustain the force ⚫ Operate the joint deployment and distribution enterprise Supply ⚫ Manage supplies and equipment ⚫ Inventory management ⚫ Manage global supplier networks Maintenance ⚫ Depot maintenance operations ⚫ Field maintenance operations ⚫ Equipment reset Logistics Services ⚫ Food service ⚫ Water and ice service ⚫ Contingency base services ⚫ Hygiene services ⚫ Mortuary affairs Operational Contract Support ⚫ Contract support integration ⚫ Contracting support ⚫ Contractor management Engineering ⚫ General engineering ⚫ Combat engineering ⚫ Geospatial engineering Joint Health Services ⚫ Force health protection ⚫ Health service support (Source: JP 4-0)",915,229,logistics; ACE; deployment; distribution; maintenance,군수; 기민전투운용; 전개; 분배; 정비,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, The USAF’s agile combat support (ACS) framework, which includes the processes that create, sustain, and protect all aerospace capabilities, Core Logistics Functions Core Functions Functional Capabilities Deployment and...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment |  | logistics; ACE; deployment; distribution; maintenance | The USAF’s agile combat support (ACS) framework, which includes the processes that create, sustain, and protect all aerospace capabilities, Core Logistics Functions Core Functions Functional Capabilities Deployment and Distribution ⚫ Move the force ⚫ Sustain the force ⚫ Operate the joint deployment and distribution enterprise Supply ⚫ Manage supplies and equipment ⚫ Inventory management ⚫ Manage global supplier networks Maintenance ⚫ Depot maintenance operations ⚫ Field maintenance operations ⚫ Equipment reset Logistics Services ⚫ Food service ⚫ Water and ice service ⚫ Contingency base services ⚫ Hygiene services ⚫ Mortuary affairs Operational Contract Support ⚫ Contract support integration ⚫ Contracting support ⚫ Contractor management Engineering ⚫ General engineering ⚫ Combat engineering ⚫ Geospatial engineering Joint Health Services ⚫ Force health protection ⚫ Health service support (Source: JP 4-0)","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 2.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,medium,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
AFDP4_0_2026_CHUNK_00009,AFDP4_0_2026_STRUCT_006,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,6,6,3,3,"AFDP 4-0 Sustainment, printed p. 3",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,Force Generation,,doctrine_text,"3 is central to this effort. Effective logistics enables air forces to deploy rapidly, operate with tailored support, and sustain operations throughout the mission. This is achieved through the integration of functional communities within combat service support, ensuring AFFOR are ready, postured, equipped, employed, and sustained to conduct joint operations. FORCE GENERATION The service’s basic process for developing and providing military capabilities to the joint force is the Air Force Forces Generation (AFFORGEN) model. AFFORGEN is designed to enable operational preparedness and readiness recovery to compete with peer competitors while ensuring the USAF’s ability to predict and sustain force provision. The AFFORGEN model supports global force management (GFM) processes and enables high-end readiness. The model provides available and ready force elements (FEs) for force presentation. Additionally, the AFFORGEN model ensures operational forces are properly organized, trained, equipped, and ready to respond to emerging crises or support sustained operations.",1075,269,logistics; AFFOR; AFFORGEN; combat service support,군수; 공군구성군; 공군전력생성; 전투근무지원,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, 3 is central to this effort. Effective logistics enables air forces to deploy rapidly, operate with tailored support, and sustain operations throughout the mission. This is achieved through the integration of functional...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | Force Generation |  | logistics; AFFOR; AFFORGEN; combat service support | 3 is central to this effort. Effective logistics enables air forces to deploy rapidly, operate with tailored support, and sustain operations throughout the mission. This is achieved through the integration of functional communities within combat service support, ensuring AFFOR are ready, postured, equipped, employed, and sustained to conduct joint operations. FORCE GENERATION The service’s basic process for developing and providing military capabilities to the joint force is the Air Force Forces Generation (AFFORGEN) model. AFFORGEN is designed to enable operational preparedness and readiness recovery to compete with peer competitors while ensuring the USAF’s ability to predict and sustain force provision. The AFFORGEN model supports global force management (GFM) processes and enables high-end readiness. The model provides available and ready force elements (FEs) for force presentation. Additionally, the AFFORGEN model ensures operational forces are properly organized, trained, equipped, and ready to respond to emerging crises or support sustained operations.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 3.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,high,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
AFDP4_0_2026_CHUNK_00010,AFDP4_0_2026_STRUCT_006,AFDP4_0_2026,"Air Force Doctrine Publication 4-0, Sustainment",AFDP 4-0 Sustainment,AFDP 4-0-Sustainment.pdf,01 May 2026,U.S. Air Force,6,6,3,3,"AFDP 4-0 Sustainment, printed p. 3",Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment,Force Generation,,doctrine_text,"Service force providers, in coordination with Headquarters Air Force (HAF), develop an optimized AFFORGEN schedule to support their operating forces. For the active component, the model establishes a 24-month rotational cycle comprised of four 6-month phases: Reset (for reintegration and reconstitution), Prepare (for training towards peak readiness), Ready (for certification), and Available (for deployment). For the Air Reserve Component (ARC), the model is a modified 48-month rotational cycle. A unit of action is comprised of FEs that progress through the AFFORGEN cycle. An FE is an integrated set of unit type codes (UTCs) that offer operational capabilities to JFCs through the GFM process. Units of action consist of three layers that include: • Command layer. The command layer is an empowered echelon comprised of a senior leader and the support staff necessary to command and control (C2) the unit. • Mission layer. The mission layer will typically include at least one Mission Generation Force Element (MGFE) with modularity to attach additional MGFEs as the mission requires.",1091,273,AFFOR; JFC; AFFORGEN; mission generation; deployment,공군구성군; 합동군사령관; 공군전력생성; 임무생성; 전개,"이 청크는 AFDP 4-0 Sustainment의 해당 부분을 요약하며, Service force providers, in coordination with Headquarters Air Force (HAF), develop an optimized AFFORGEN schedule to support their operating forces. For the active component, the model establishes a 24-month rotational...","AFDP 4-0 Sustainment | Chapter 1: Air Force Operations in Support of Joint Logistics and Sustainment | Force Generation |  | AFFOR; JFC; AFFORGEN; mission generation; deployment | Service force providers, in coordination with Headquarters Air Force (HAF), develop an optimized AFFORGEN schedule to support their operating forces. For the active component, the model establishes a 24-month rotational cycle comprised of four 6-month phases: Reset (for reintegration and reconstitution), Prepare (for training towards peak readiness), Ready (for certification), and Available (for deployment). For the Air Reserve Component (ARC), the model is a modified 48-month rotational cycle. A unit of action is comprised of FEs that progress through the AFFORGEN cycle. An FE is an integrated set of unit type codes (UTCs) that offer operational capabilities to JFCs through the GFM process. Units of action consist of three layers that include: • Command layer. The command layer is an empowered echelon comprised of a senior leader and the support staff necessary to command and control (C2) the unit. • Mission layer. The mission layer will typically include at least one Mission Generation Force Element (MGFE) with modularity to attach additional MGFEs as the mission requires.","Air Force Doctrine Publication 4-0, Sustainment, 01 May 2026, AFDP 4-0 Sustainment, printed p. 3.",doctrine_reference;operational_context,air force sustainment doctrine;rag retrieval for planning and staff advice;qa;staff_advice;doctrine_lookup,high,public,Use only for public-release doctrine answers; preserve citation and do not infer beyond source text.,completed,NO,v1.0
