rag_chunk_id,source_table,document_id,document_title,document_short_title,source_file,pdf_page_start,pdf_page_end,chunk_type,retrieval_priority,text,embedding_text,citation_text,content_function,mode_relevance,keywords_en,keywords_ko,summary_ko,security_class,processing_status,review_required,version
NWP114M_FRONT_001_C001,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,1,1,source_control,low,"NSN: U.S. NAVY NWP 1-14M U.S. MARINE CORPS MCTP 11-10B U.S. COAST GUARD COMDTPUB P5800.7A THE COMMANDER’S HANDBOOK ON THE LAW OF NAVAL OPERATIONS EDITION MARCH 2022 DISTRIBUTION RESTRICTION: APPROVED FOR PUBLIC RELEASE; DISTRIBUTION IS UNLIMITED. NAVY WARFARE DEVELOPMENT COMMAND 1528 PIERSEY STREET, BLDG O-27 NORFOLK, VA 23511-2723 PRIMARY REVIEW AUTHORITY: PRESIDENT, U.S. NAVAL WAR COLLEGE (STOCKTON CENTER FOR INTERNATIONAL LAW) RECORD OF CHANGES NUMBER DATE ENTERED BY DEPARTMENT OF THE NAVY OFFICE OF THE CHIEF OF NAVAL OPERATIONS HEADQUARTERS, U.S. MARINE CORPS DEPARTMENT OF HOMELAND SECURITY AND U.S. COAST GUARD This and other Navy Warfare Library publications, including any edition updates, are available at the Navy Warfare Library websites: https://doctrine.navy.mil/ and https://doctrine.navy.smil.mil/. 0411LP0015591 USMC PCN: 147 000042 01","Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Title Page
English keywords: Title; Page
Korean keywords: 해군작전; 국제법
Text: NSN: U.S. NAVY NWP 1-14M U.S. MARINE CORPS MCTP 11-10B U.S. COAST GUARD COMDTPUB P5800.7A THE COMMANDER’S HANDBOOK ON THE LAW OF NAVAL OPERATIONS EDITION MARCH 2022 DISTRIBUTION RESTRICTION: APPROVED FOR PUBLIC RELEASE; DISTRIBUTION IS UNLIMITED. NAVY WARFARE DEVELOPMENT COMMAND 1528 PIERSEY STREET, BLDG O-27 NORFOLK, VA 23511-2723 PRIMARY REVIEW AUTHORITY: PRESIDENT, U.S. NAVAL WAR COLLEGE (STOCKTON CENTER FOR INTERNATIONAL LAW) RECORD OF CHANGES NUMBER DATE ENTERED BY DEPARTMENT OF THE NAVY OFFICE OF THE CHIEF OF NAVAL OPERATIONS HEADQUARTERS, U.S. MARINE CORPS DEPARTMENT OF HOMELAND SECURITY AND U.S. COAST GUARD This and other Navy Warfare Library publications, including any edition updates, are available at the Navy Warfare Library websites: https://doctrine.navy.mil/ and https://doctrine.navy.smil.mil/. 0411LP0015591 USMC PCN: 147 000042 01","NWP 1-14M, Front Matter, Title Page, PDF p.1-1",metadata; source_control; commander_guidance,qa; staff_advice,Title; Page,해군작전; 국제법,NWP 1-14M의 표지·발간정보·사용 지침 관련 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_002_C001,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,2,2,publication_info,low,"LETTER OF PROMULGATION NWP 1-14M/MCTP 11-10B/COMDTPUB P5800.7A (MAR 2022), The Commander’s Handbook on the Law of Naval Operations, is approved and hereby promulgated as a doctrinal publication. The publication provides officers in command and their staffs with an overview of the rules of law governing naval operations in peacetime and during armed conflict. The publication is unclassified and approved for public release; distribution is unlimited.","Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Letter of Promulgation
English keywords: Letter; Promulgation
Korean keywords: 해군작전; 국제법
Text: LETTER OF PROMULGATION NWP 1-14M/MCTP 11-10B/COMDTPUB P5800.7A (MAR 2022), The Commander’s Handbook on the Law of Naval Operations, is approved and hereby promulgated as a doctrinal publication. The publication provides officers in command and their staffs with an overview of the rules of law governing naval operations in peacetime and during armed conflict. The publication is unclassified and approved for public release; distribution is unlimited.","NWP 1-14M, Front Matter, Letter of Promulgation, PDF p.2-2",metadata; source_control; commander_guidance,qa; staff_advice,Letter; Promulgation,해군작전; 국제법,NWP 1-14M의 표지·발간정보·사용 지침 관련 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C001,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,CONTENTS CHAPTER 1—LEGAL DIVISIONS OF THE OCEANS AND AIRSPACE 1.1 INTRODUCTION ........................................................................................................................ 1-1 1.2 U.S. OCEANS POLICY .............................................................................................................. 1-1 1.3 GENERAL MARITIME REGIMES UNDER CUSTOMARY INTERNATIONAL LAW AS REFLECTED IN THE UNITED NATIONS CONVENTION ON THE LAW OF THE SEA ...................................................................................................................................... 1-2 1.3.1 Internal Waters ............................................................................................................................. 1-2 1.3.2 Territorial Seas ............................................................................................................................. 1-2 1.3.3 Contiguous Zones .........................................................................................................................,"Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: territorial sea; internal waters; contiguous zone; Contents; List; Illustrations
Korean keywords: 영해; 내수; 접속수역
Text: CONTENTS CHAPTER 1—LEGAL DIVISIONS OF THE OCEANS AND AIRSPACE 1.1 INTRODUCTION ........................................................................................................................ 1-1 1.2 U.S. OCEANS POLICY .............................................................................................................. 1-1 1.3 GENERAL MARITIME REGIMES UNDER CUSTOMARY INTERNATIONAL LAW AS REFLECTED IN THE UNITED NATIONS CONVENTION ON THE LAW OF THE SEA ...................................................................................................................................... 1-2 1.3.1 Internal Waters ............................................................................................................................. 1-2 1.3.2 Territorial Seas ............................................................................................................................. 1-2 1.3.3 Contiguous Zones .........................................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,territorial sea; internal waters; contiguous zone; Contents; List; Illustrations,영해; 내수; 접속수역,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C002,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,"1-2 1.3.3 Contiguous Zones ......................................................................................................................... 1-3 1.3.4 Exclusive Economic Zones .......................................................................................................... 1-3 1.3.5 High Seas ...................................................................................................................................... 1-3 1.4 MARITIME BASELINES ........................................................................................................... 1-3 1.4.1 Low-water Line ............................................................................................................................ 1-3 1.4.2 Straight Baselines ......................................................................................................................... 1-3 1.4.3 Bays, Gulfs, and Historic Bays.....................................................................................................","Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: exclusive economic zone; high seas; contiguous zone; baseline; Contents; List; Illustrations
Korean keywords: 배타적경제수역; 공해; 접속수역; 기선
Text: 1-2 1.3.3 Contiguous Zones ......................................................................................................................... 1-3 1.3.4 Exclusive Economic Zones .......................................................................................................... 1-3 1.3.5 High Seas ...................................................................................................................................... 1-3 1.4 MARITIME BASELINES ........................................................................................................... 1-3 1.4.1 Low-water Line ............................................................................................................................ 1-3 1.4.2 Straight Baselines ......................................................................................................................... 1-3 1.4.3 Bays, Gulfs, and Historic Bays.....................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,exclusive economic zone; high seas; contiguous zone; baseline; Contents; List; Illustrations,배타적경제수역; 공해; 접속수역; 기선,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C003,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,"1-3 1.4.3 Bays, Gulfs, and Historic Bays..................................................................................................... 1-4 1.4.4 River Mouths ................................................................................................................................ 1-6 1.4.5 Reefs ............................................................................................................................................. 1-6 1.4.6 Harbor Works ............................................................................................................................... 1-6 1.5 WATERS SUBJECT TO STATE SOVEREIGNTY ................................................................... 1-7 1.5.1 Internal Waters ............................................................................................................................. 1-7 1.5.2 Territorial Seas .............................................................................................................................","Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: territorial sea; internal waters; Contents; List; Illustrations
Korean keywords: 영해; 내수
Text: 1-3 1.4.3 Bays, Gulfs, and Historic Bays..................................................................................................... 1-4 1.4.4 River Mouths ................................................................................................................................ 1-6 1.4.5 Reefs ............................................................................................................................................. 1-6 1.4.6 Harbor Works ............................................................................................................................... 1-6 1.5 WATERS SUBJECT TO STATE SOVEREIGNTY ................................................................... 1-7 1.5.1 Internal Waters ............................................................................................................................. 1-7 1.5.2 Territorial Seas .............................................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,territorial sea; internal waters; Contents; List; Illustrations,영해; 내수,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C004,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,"1.5.2 Territorial Seas ............................................................................................................................. 1-7 1.5.3 Islands, Rocks, and Low-tide Elevations ..................................................................................... 1-7 1.5.4 Archipelagic Waters and Sea Lanes ............................................................................................. 1-8 1.6 INTERNATIONAL WATERS .................................................................................................... 1-8 1.6.1 Contiguous Zones ......................................................................................................................... 1-9 1.6.2 Exclusive Economic Zones .......................................................................................................... 1-9 1.6.3 High Seas ......................................................................................................................................","Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: territorial sea; exclusive economic zone; high seas; contiguous zone; archipelagic; Contents; List; Illustrations
Korean keywords: 영해; 배타적경제수역; 공해; 접속수역; 군도수역
Text: 1.5.2 Territorial Seas ............................................................................................................................. 1-7 1.5.3 Islands, Rocks, and Low-tide Elevations ..................................................................................... 1-7 1.5.4 Archipelagic Waters and Sea Lanes ............................................................................................. 1-8 1.6 INTERNATIONAL WATERS .................................................................................................... 1-8 1.6.1 Contiguous Zones ......................................................................................................................... 1-9 1.6.2 Exclusive Economic Zones .......................................................................................................... 1-9 1.6.3 High Seas ......................................................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,territorial sea; exclusive economic zone; high seas; contiguous zone; archipelagic; Contents; List; Illustrations,영해; 배타적경제수역; 공해; 접속수역; 군도수역,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C005,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,High Seas ...................................................................................................................................... 1-9 1.6.4 Coastal Security Zones ................................................................................................................. 1-9 1.7 CONTINENTAL SHELVES ....................................................................................................... 1-9 1.8 SAFETY ZONES ....................................................................................................................... 1-10 1.9 AIRSPACE ................................................................................................................................. 1-10 1.10 OUTER SPACE ......................................................................................................................... 1-10 CHAPTER 2—INTERNATIONAL STATUS AND NAVIGATION OF MILITARY VESSELS AND MILITARY AIRCRAFT 2.1 SOVEREIGN IMMUNITY .........................................................................................................,"Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: high seas; sovereign immunity; military aircraft; navigation; outer space; Contents; List; Illustrations
Korean keywords: 공해; 주권면제; 군용항공기; 항행; 우주공간
Text: High Seas ...................................................................................................................................... 1-9 1.6.4 Coastal Security Zones ................................................................................................................. 1-9 1.7 CONTINENTAL SHELVES ....................................................................................................... 1-9 1.8 SAFETY ZONES ....................................................................................................................... 1-10 1.9 AIRSPACE ................................................................................................................................. 1-10 1.10 OUTER SPACE ......................................................................................................................... 1-10 CHAPTER 2—INTERNATIONAL STATUS AND NAVIGATION OF MILITARY VESSELS AND MILITARY AIRCRAFT 2.1 SOVEREIGN IMMUNITY .........................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,high seas; sovereign immunity; military aircraft; navigation; outer space; Contents; List; Illustrations,공해; 주권면제; 군용항공기; 항행; 우주공간,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C006,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,"MILITARY AIRCRAFT 2.1 SOVEREIGN IMMUNITY ......................................................................................................... 2-1 2.1.1 Sovereign Immunity for U.S. Vessels .......................................................................................... 2-1 2.1.2 Sunken Warships, Naval Craft, Military Aircraft, and Government Spacecraft .......................... 2-1 2.2 WARSHIPS .................................................................................................................................. 2-2 2.2.1 Warship Defined........................................................................................................................... 2-2 2.2.2 Warship International Status ........................................................................................................ 2-2 2.2.3 Crew Lists and Inspections ...........................................................................................................","Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: sovereign immunity; warship; military aircraft; Contents; List; Illustrations
Korean keywords: 주권면제; 군함; 군용항공기
Text: MILITARY AIRCRAFT 2.1 SOVEREIGN IMMUNITY ......................................................................................................... 2-1 2.1.1 Sovereign Immunity for U.S. Vessels .......................................................................................... 2-1 2.1.2 Sunken Warships, Naval Craft, Military Aircraft, and Government Spacecraft .......................... 2-1 2.2 WARSHIPS .................................................................................................................................. 2-2 2.2.1 Warship Defined........................................................................................................................... 2-2 2.2.2 Warship International Status ........................................................................................................ 2-2 2.2.3 Crew Lists and Inspections ...........................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,sovereign immunity; warship; military aircraft; Contents; List; Illustrations,주권면제; 군함; 군용항공기,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C007,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,2-2 2.2.3 Crew Lists and Inspections ........................................................................................................... 2-3 2.2.4 Quarantine .................................................................................................................................... 2-3 2.2.5 Nuclear-powered Warships .......................................................................................................... 2-3 2.3 OTHER NAVAL CRAFT ............................................................................................................ 2-3 2.3.1 Auxiliary Vessels ......................................................................................................................... 2-3 2.3.2 Military Sealift Command Vessel Status ..................................................................................... 2-3 2.3.3 Small Craft Status .........................................................................................................................,"Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: warship; quarantine; Contents; List; Illustrations
Korean keywords: 군함; 검역
Text: 2-2 2.2.3 Crew Lists and Inspections ........................................................................................................... 2-3 2.2.4 Quarantine .................................................................................................................................... 2-3 2.2.5 Nuclear-powered Warships .......................................................................................................... 2-3 2.3 OTHER NAVAL CRAFT ............................................................................................................ 2-3 2.3.1 Auxiliary Vessels ......................................................................................................................... 2-3 2.3.2 Military Sealift Command Vessel Status ..................................................................................... 2-3 2.3.3 Small Craft Status .........................................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,warship; quarantine; Contents; List; Illustrations,군함; 검역,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
NWP114M_FRONT_003_C008,Chunk_Metadata,NWP 1-14M,The Commander’s Handbook on the Law of Naval Operations,NWP 1-14M,NWP_1-14M.pdf,3,12,toc,low,2.3.3 Small Craft Status ......................................................................................................................... 2-4 2.3.4 Unmanned Systems ...................................................................................................................... 2-4 2.3.5 Unmanned System Status ............................................................................................................. 2-5 2.4 MILITARY AIRCRAFT .............................................................................................................. 2-5 2.4.1 Military Aircraft Defined ............................................................................................................. 2-5 2.4.2 Military Aircraft International Status ........................................................................................... 2-5 2.4.3 State Aircraft ................................................................................................................................,"Document: NWP 1-14M - The Commander’s Handbook on the Law of Naval Operations
Chapter: Front Matter
Section: Contents and List of Illustrations
English keywords: military aircraft; unmanned; Contents; List; Illustrations
Korean keywords: 군용항공기; 무인체계
Text: 2.3.3 Small Craft Status ......................................................................................................................... 2-4 2.3.4 Unmanned Systems ...................................................................................................................... 2-4 2.3.5 Unmanned System Status ............................................................................................................. 2-5 2.4 MILITARY AIRCRAFT .............................................................................................................. 2-5 2.4.1 Military Aircraft Defined ............................................................................................................. 2-5 2.4.2 Military Aircraft International Status ........................................................................................... 2-5 2.4.3 State Aircraft ................................................................................................................................","NWP 1-14M, Front Matter, Contents and List of Illustrations, PDF p.3-12",doctrine_explanation; doctrine_reference,qa; staff_advice,military aircraft; unmanned; Contents; List; Illustrations,군용항공기; 무인체계,NWP 1-14M의 Contents and List of Illustrations 관련 법적 원칙과 운용상 고려사항을 설명하는 원문 chunk.,public,ok,NO,v2
