rag_chunk_id,source_table,document_id,document_title,document_short_title,source_file,pdf_page_start,pdf_page_end,chunk_type,retrieval_priority,text,embedding_text,citation_text,content_function,mode_relevance,keywords_en,keywords_ko,summary_ko,security_class,processing_status,review_required,version
MSRG_FRONT_001_C001,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,1,1,source_control,low,Maritime Staff Operators Course U.S. Naval War College December 2025 DISTRIBUTION/DISSEMINATION CONTROL: A - PUBLIC RELEASE,"Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: Front Matter
Section: Title Page and Distribution Control
English keywords: Distribution; Control
Korean keywords: 해양참모운용; 해군계획
Text: Maritime Staff Operators Course U.S. Naval War College December 2025 DISTRIBUTION/DISSEMINATION CONTROL: A - PUBLIC RELEASE","MSRG DEC 2025, Front Matter, Title Page and Distribution Control, PDF p.1-1",metadata; source_control; commander_decision_support,qa; staff_advice,Distribution; Control,해양참모운용; 해군계획,MSRG의 표지·목차·발간 및 배포정보 관련 원문 chunk.,public,ok,NO,v1
MSRG_FRONT_002_C001,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,2,2,publication_info,low,"The faculty of the Maritime Staff Operators Course (MSOC) is pleased t o produce this guide for the use of staff operators throughout the Navy. We hope you find it handy and easy t o use. Please understand, however, that this is only a guidebook. Use it in conjunction with other joint and Navy doctrine publications. We welcome feedback on its content or suggestions for improvement. Feel free t o contact us at cmow_msoc_faculty@usnwc.edu. General information on C M O W courses can be found at: https://usnwc.edu/college-of-maritime-operational-warfare/Core- Curriculum Useful websites for downloading publications: Joint Doctrine: Joint Electronic Library (JEL): https://www.jcs.mil/Doctrine JEL + Joint Doctrine, Education and Training Electronic Information System (JDEIS): Unclassified: https://jdeis.js.mil/jdeis/generic.jsp Classified: http://jdeis.js.smil.mil/jdeis Navy Doctrine (CAC registration via .mil account required): https://doctrine.navy.mil/default.aspx Multi- Service","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: Front Matter
Section: Guide Purpose and Doctrine Websites
English keywords: Purpose; Doctrine; Websites
Korean keywords: 해양참모운용; 해군계획
Text: The faculty of the Maritime Staff Operators Course (MSOC) is pleased t o produce this guide for the use of staff operators throughout the Navy. We hope you find it handy and easy t o use. Please understand, however, that this is only a guidebook. Use it in conjunction with other joint and Navy doctrine publications. We welcome feedback on its content or suggestions for improvement. Feel free t o contact us at cmow_msoc_faculty@usnwc.edu. General information on C M O W courses can be found at: https://usnwc.edu/college-of-maritime-operational-warfare/Core- Curriculum Useful websites for downloading publications: Joint Doctrine: Joint Electronic Library (JEL): https://www.jcs.mil/Doctrine JEL + Joint Doctrine, Education and Training Electronic Information System (JDEIS): Unclassified: https://jdeis.js.mil/jdeis/generic.jsp Classified: http://jdeis.js.smil.mil/jdeis Navy Doctrine (CAC registration via .mil account required): https://doctrine.navy.mil/default.aspx Multi- Service","MSRG DEC 2025, Front Matter, Guide Purpose and Doctrine Websites, PDF p.2-2",metadata; source_control,qa; staff_advice,Purpose; Doctrine; Websites,해양참모운용; 해군계획,MSRG의 표지·목차·발간 및 배포정보 관련 원문 chunk.,public,ok,NO,v1
MSRG_FRONT_002_C002,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,2,2,publication_info,low,"http://jdeis.js.smil.mil/jdeis Navy Doctrine (CAC registration via .mil account required): https://doctrine.navy.mil/default.aspx Multi- Service Doctrine: http://www.alssa.mil/ DOD Issuances (Directives, Instructions, and Manuals): https://www.esd.whs.mil/ D D/ Navy Issuances: https://www.secnav.navy.mil/doni/default.aspx","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: Front Matter
Section: Guide Purpose and Doctrine Websites
English keywords: Purpose; Doctrine; Websites
Korean keywords: 해양참모운용; 해군계획
Text: http://jdeis.js.smil.mil/jdeis Navy Doctrine (CAC registration via .mil account required): https://doctrine.navy.mil/default.aspx Multi- Service Doctrine: http://www.alssa.mil/ DOD Issuances (Directives, Instructions, and Manuals): https://www.esd.whs.mil/ D D/ Navy Issuances: https://www.secnav.navy.mil/doni/default.aspx","MSRG DEC 2025, Front Matter, Guide Purpose and Doctrine Websites, PDF p.2-2",metadata; source_control,qa; staff_advice,Purpose; Doctrine; Websites,해양참모운용; 해군계획,MSRG의 표지·목차·발간 및 배포정보 관련 원문 chunk.,public,ok,NO,v1
MSRG_FRONT_003_C001,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,3,3,toc,low,1. Naval Warfare 2. Levels of Warfare 3. Theater Organization and Structure 4. Maritime Operations Center (MOC) 5. Staff Estimates 6. Operation Assessment 7. Operational Art and Operational Design 8. Operational Factors 9. Principles of Joint Operations 10. Joint/Operational Functions 11. Center of Gravity Analysis 12. Risk 13. Planning 14. Navy Planning Process (NPP) Synchronization Matrix Decision Support Templates & Matrices Step 1: Mission Analysis Step 2: Course of Action Development Step 3: Course of Action Analysis (War gaming) Step 4: Course of Action Comparison and Decision 63 Step 5: Directive Development Step 6: Transition NPP in a Time-Constrained Environment Glossary Acronyms,"Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: Front Matter
Section: Table of Contents
English keywords: naval warfare; levels of warfare; theater; maritime operations center; MOC; staff estimate; operation assessment; operational art; operational design; center of gravity
Korean keywords: 해군전; 전쟁수준; 전구; 해양작전센터; 참모판단; 작전평가; 작전술; 작전설계; 중심
Text: 1. Naval Warfare 2. Levels of Warfare 3. Theater Organization and Structure 4. Maritime Operations Center (MOC) 5. Staff Estimates 6. Operation Assessment 7. Operational Art and Operational Design 8. Operational Factors 9. Principles of Joint Operations 10. Joint/Operational Functions 11. Center of Gravity Analysis 12. Risk 13. Planning 14. Navy Planning Process (NPP) Synchronization Matrix Decision Support Templates & Matrices Step 1: Mission Analysis Step 2: Course of Action Development Step 3: Course of Action Analysis (War gaming) Step 4: Course of Action Comparison and Decision 63 Step 5: Directive Development Step 6: Transition NPP in a Time-Constrained Environment Glossary Acronyms","MSRG DEC 2025, Front Matter, Table of Contents, PDF p.3-3",metadata; source_control; process_guidance; commander_decision_support; assessment_risk,qa; staff_advice,naval warfare; levels of warfare; theater; maritime operations center; MOC; staff estimate; operation assessment; operational art; operational design; center of gravity,해군전; 전쟁수준; 전구; 해양작전센터; 참모판단; 작전평가; 작전술; 작전설계; 중심,MSRG의 표지·목차·발간 및 배포정보 관련 원문 chunk.,public,ok,NO,v1
MSRG_SEC_001_C001,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,4,4,body,medium,"1. Naval Warfare. Maritime forces support joint campaigns, operations, and activities across the competition continuum by shaping the operational environment, providing flexible response and deterrence options, preventing conflict, resolving crises, and prevailing in fleet warfare. The naval services d o this by establishing, maintaining, or executing five enduring naval functions—sea control, power projection, deterrence, maritime security, and sealift—t o achieve freedom of action in the maritime domain. • Sea Control. Sea control is the freedom of action t o use the sea for specific purposes in specified areas and for specified periods of time and, where necessary, t o deny its use t o the enemy. • Power Projection. Power projection is the ability t o deter, coerce, and inflict costs on adversaries and enemies from the maritime domain t o the degree of our choosing with strike, amphibious, and naval special warfare capabilities. • Deterrence. Deterrence is the prevention of action by the existence of a credible threat of unacceptable counteraction or belief that the cost of action outweighs the perceived benefits. • Maritime Security. Maritime security includes operations t","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: 1. Naval Warfare
Section: 1. Naval Warfare
English keywords: naval warfare; sea control; power projection; deterrence; maritime security; sealift; Warfare
Korean keywords: 해군전; 해양통제; 전력투사; 억제; 해양안보; 해상수송
Text: 1. Naval Warfare. Maritime forces support joint campaigns, operations, and activities across the competition continuum by shaping the operational environment, providing flexible response and deterrence options, preventing conflict, resolving crises, and prevailing in fleet warfare. The naval services d o this by establishing, maintaining, or executing five enduring naval functions—sea control, power projection, deterrence, maritime security, and sealift—t o achieve freedom of action in the maritime domain. • Sea Control. Sea control is the freedom of action t o use the sea for specific purposes in specified areas and for specified periods of time and, where necessary, t o deny its use t o the enemy. • Power Projection. Power projection is the ability t o deter, coerce, and inflict costs on adversaries and enemies from the maritime domain t o the degree of our choosing with strike, amphibious, and naval special warfare capabilities. • Deterrence. Deterrence is the prevention of action by the existence of a credible threat of unacceptable counteraction or belief that the cost of action outweighs the perceived benefits. • Maritime Security. Maritime security includes operations t","MSRG DEC 2025, 1. Naval Warfare, 1. Naval Warfare, PDF p.4-4",commander_decision_support; rag_retrieval,qa; staff_advice,naval warfare; sea control; power projection; deterrence; maritime security; sealift; Warfare,해군전; 해양통제; 전력투사; 억제; 해양안보; 해상수송,MSRG의 1. Naval Warfare 관련 참모운용·작전계획 절차와 고려사항을 설명하는 원문 chunk.,public,ok,NO,v1
MSRG_SEC_001_C002,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,4,4,body,medium,"by the existence of a credible threat of unacceptable counteraction or belief that the cost of action outweighs the perceived benefits. • Maritime Security. Maritime security includes operations t o protect maritime sovereignty and resources and t o counter maritime-related terrorism; proliferation of conventional weapons and weapons of mass destruction; transnational crime, piracy, or other threat networks; environmental destruction; illegal, unreported, and unregulated fishing; and illegal seaborne migration. • Sealift. Sealift consists of the afloat pre-positioning and ocean movement of military materiel in support of United States and multinational forces.","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: 1. Naval Warfare
Section: 1. Naval Warfare
English keywords: naval warfare; maritime security; sealift; PIR; Warfare
Korean keywords: 해군전; 해양안보; 해상수송; 우선정보요구
Text: by the existence of a credible threat of unacceptable counteraction or belief that the cost of action outweighs the perceived benefits. • Maritime Security. Maritime security includes operations t o protect maritime sovereignty and resources and t o counter maritime-related terrorism; proliferation of conventional weapons and weapons of mass destruction; transnational crime, piracy, or other threat networks; environmental destruction; illegal, unreported, and unregulated fishing; and illegal seaborne migration. • Sealift. Sealift consists of the afloat pre-positioning and ocean movement of military materiel in support of United States and multinational forces.","MSRG DEC 2025, 1. Naval Warfare, 1. Naval Warfare, PDF p.4-4",staff_reference; rag_retrieval,qa; staff_advice,naval warfare; maritime security; sealift; PIR; Warfare,해군전; 해양안보; 해상수송; 우선정보요구,MSRG의 1. Naval Warfare 관련 참모운용·작전계획 절차와 고려사항을 설명하는 원문 chunk.,public,ok,NO,v1
MSRG_SEC_002_C001,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,4,6,body,high,"CONCEPTS OF NAVAL WARFARE. • Sea Control: The Navy doctrinal definition of sea control is different than the Joint doctrinal definition listed above. Per NWP 5-01, sea control is not an aspect of peacetime power projection. Naval forces obtain sea control through combat or the immediate threat of combat and the United States Navy’s forward presence in itself is insufficient t o achieve sea control. • Additional considerations of sea control: o Sea control includes the airspace above the surface and the water volume and seabed below. o When sea control is established, sea denial is an inherent subset. o Sea control enables all other naval functions—power projection, deterrence, maritime security, and sealift. o Degrees of Sea Control: • General: Complete freedom t o use the sea for friendly purposes. • Local: Superiority in an operationally significant part of the sea. • Permanent: Stronger side dominates JOA; enemy unable t o interfere with friendly operations. • Temporary: Neither side is able t o be decisive. • Absolute: One fleet can operate without major opposition while the other fleet cannot operate. • Limited: One side has freedom of action; other side operates at high risk.","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: 1. Naval Warfare
Section: CONCEPTS OF NAVAL WARFARE
English keywords: naval warfare; sea control; power projection; deterrence; maritime security; sealift; sea denial; risk; CONCEPTS; OF
Korean keywords: 해군전; 해양통제; 전력투사; 억제; 해양안보; 해상수송; 해양거부; 위험
Text: CONCEPTS OF NAVAL WARFARE. • Sea Control: The Navy doctrinal definition of sea control is different than the Joint doctrinal definition listed above. Per NWP 5-01, sea control is not an aspect of peacetime power projection. Naval forces obtain sea control through combat or the immediate threat of combat and the United States Navy’s forward presence in itself is insufficient t o achieve sea control. • Additional considerations of sea control: o Sea control includes the airspace above the surface and the water volume and seabed below. o When sea control is established, sea denial is an inherent subset. o Sea control enables all other naval functions—power projection, deterrence, maritime security, and sealift. o Degrees of Sea Control: • General: Complete freedom t o use the sea for friendly purposes. • Local: Superiority in an operationally significant part of the sea. • Permanent: Stronger side dominates JOA; enemy unable t o interfere with friendly operations. • Temporary: Neither side is able t o be decisive. • Absolute: One fleet can operate without major opposition while the other fleet cannot operate. • Limited: One side has freedom of action; other side operates at high risk.","MSRG DEC 2025, 1. Naval Warfare, CONCEPTS OF NAVAL WARFARE, PDF p.4-6",commander_decision_support; assessment_risk,qa; staff_advice,naval warfare; sea control; power projection; deterrence; maritime security; sealift; sea denial; risk; CONCEPTS; OF,해군전; 해양통제; 전력투사; 억제; 해양안보; 해상수송; 해양거부; 위험,MSRG의 CONCEPTS OF NAVAL WARFARE 관련 참모운용·작전계획 절차와 고려사항을 설명하는 원문 chunk.,public,ok,NO,v1
MSRG_SEC_002_C002,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,4,6,body,high,"is able t o be decisive. • Absolute: One fleet can operate without major opposition while the other fleet cannot operate. • Limited: One side has freedom of action; other side operates at high risk. • Contested: Opposing sides possess roughly equal capabilities. • Sea Denial: Partially or completely denying adversaries the use of the sea in specified areas. Sea denial is exercised when a force prevents an adversary from controlling a maritime area without being able t o control that area itself. o Sea denial is an offensive, cost-imposing approach can be applied when it is impossible or unnecessary t o establish sea control. o Methods of Sea Denial. • Offensive or defensive mining. • Chokepoint control. o Control of critical passages. o Control of shore of a strait/narrows. • Counter-blockade. • Coastal defense. • Operational deception. • Sea Control Operations: Sea control operations involve actions t o locate; identify; target; and restrict, deter, or deny actions of enemy forces across all domains that could inhibit friendly force freedom of action throughout the maritime domain. • Sea control operations include: o Destruction of enemy naval forces.","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: 1. Naval Warfare
Section: CONCEPTS OF NAVAL WARFARE
English keywords: naval warfare; sea control; sea denial; risk; COA; CONCEPTS; OF; NAVAL; WARFARE
Korean keywords: 해군전; 해양통제; 해양거부; 위험; 방책
Text: is able t o be decisive. • Absolute: One fleet can operate without major opposition while the other fleet cannot operate. • Limited: One side has freedom of action; other side operates at high risk. • Contested: Opposing sides possess roughly equal capabilities. • Sea Denial: Partially or completely denying adversaries the use of the sea in specified areas. Sea denial is exercised when a force prevents an adversary from controlling a maritime area without being able t o control that area itself. o Sea denial is an offensive, cost-imposing approach can be applied when it is impossible or unnecessary t o establish sea control. o Methods of Sea Denial. • Offensive or defensive mining. • Chokepoint control. o Control of critical passages. o Control of shore of a strait/narrows. • Counter-blockade. • Coastal defense. • Operational deception. • Sea Control Operations: Sea control operations involve actions t o locate; identify; target; and restrict, deter, or deny actions of enemy forces across all domains that could inhibit friendly force freedom of action throughout the maritime domain. • Sea control operations include: o Destruction of enemy naval forces.","MSRG DEC 2025, 1. Naval Warfare, CONCEPTS OF NAVAL WARFARE, PDF p.4-6",commander_decision_support; assessment_risk,qa; staff_advice,naval warfare; sea control; sea denial; risk; COA; CONCEPTS; OF; NAVAL; WARFARE,해군전; 해양통제; 해양거부; 위험; 방책,MSRG의 CONCEPTS OF NAVAL WARFARE 관련 참모운용·작전계획 절차와 고려사항을 설명하는 원문 chunk.,public,ok,NO,v1
MSRG_SEC_002_C003,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,4,6,body,medium,"actions of enemy forces across all domains that could inhibit friendly force freedom of action throughout the maritime domain. • Sea control operations include: o Destruction of enemy naval forces. o Protection of vital sea lanes. o Establishment of local air and maritime superiority in the maritime area of operations. • Maritime Superiority: That degree of dominance of one force over another that permits the conduct of maritime operations by the former and its related land, maritime, and air forces at a given time and place without prohibitive interference by the opposing force. o Maritime Superiority is a means t o an end, not the end itself.","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: 1. Naval Warfare
Section: CONCEPTS OF NAVAL WARFARE
English keywords: naval warfare; sea control; protection; CONCEPTS; OF; NAVAL; WARFARE
Korean keywords: 해군전; 해양통제; 방호
Text: actions of enemy forces across all domains that could inhibit friendly force freedom of action throughout the maritime domain. • Sea control operations include: o Destruction of enemy naval forces. o Protection of vital sea lanes. o Establishment of local air and maritime superiority in the maritime area of operations. • Maritime Superiority: That degree of dominance of one force over another that permits the conduct of maritime operations by the former and its related land, maritime, and air forces at a given time and place without prohibitive interference by the opposing force. o Maritime Superiority is a means t o an end, not the end itself.","MSRG DEC 2025, 1. Naval Warfare, CONCEPTS OF NAVAL WARFARE, PDF p.4-6",commander_decision_support; rag_retrieval,qa; staff_advice,naval warfare; sea control; protection; CONCEPTS; OF; NAVAL; WARFARE,해군전; 해양통제; 방호,MSRG의 CONCEPTS OF NAVAL WARFARE 관련 참모운용·작전계획 절차와 고려사항을 설명하는 원문 chunk.,public,ok,NO,v1
MSRG_BODY_GROUP_0001_C001,chunk_metadata,MSRG DEC 2025,Maritime Staff Reference Guide,MSRG,Maritime-Staff-Reference-Guide_Electronic_Dec-2025_Final.pdf,6,6,body,medium,"FREEDOM OF NAVIGATION AND MARITIME INTERCEPTION OPERATIONS. Term Definition Freedom of Navigation A principle of customary international law that, apart from the exceptions provided for in international law, ships flying the flag of any sovereign state shall not suffer interference from other states. Freedom of Navigation Operations Operations conducted to protect US navigation, overflight and related interests on, under and over the seas. MIO (Maritime Interception [or Interdiction—NATO term] Operations) Efforts to monitor, query, and board merchant vessels outside of territorial waters to enforce sanctions against other nations such as those in support of United Nations Security Council resolutions. EMIO (Expanded – Maritime Interception Operations) Broadened maritime interception operations to intercept targeted personnel or material that pose an imminent threat to the United States. MCPI (Maritime Counter Proliferation Operations) Authorized by the Secretary of Defense, MCPI is the maritime effort to combat the proliferation of WMD; including nuclear, biological, and chemical weapons, their delivery systems, and related material – distinction here is that the material is not weaponized… it does not pose an immediate threat.","Document: MSRG DEC 2025 - Maritime Staff Reference Guide
Chapter: 1. Naval Warfare
Section: FREEDOM OF NAVIGATION AND MARITIME INTERCEPTION OPERATIONS
English keywords: naval warfare; freedom of navigation; maritime interception; FREEDOM; OF; NAVIGATION; AND; MARITIME; INTERCEPTION; OPERATIONS
Korean keywords: 해군전; 항행의 자유; 해상차단
Text: FREEDOM OF NAVIGATION AND MARITIME INTERCEPTION OPERATIONS. Term Definition Freedom of Navigation A principle of customary international law that, apart from the exceptions provided for in international law, ships flying the flag of any sovereign state shall not suffer interference from other states. Freedom of Navigation Operations Operations conducted to protect US navigation, overflight and related interests on, under and over the seas. MIO (Maritime Interception [or Interdiction—NATO term] Operations) Efforts to monitor, query, and board merchant vessels outside of territorial waters to enforce sanctions against other nations such as those in support of United Nations Security Council resolutions. EMIO (Expanded – Maritime Interception Operations) Broadened maritime interception operations to intercept targeted personnel or material that pose an imminent threat to the United States. MCPI (Maritime Counter Proliferation Operations) Authorized by the Secretary of Defense, MCPI is the maritime effort to combat the proliferation of WMD; including nuclear, biological, and chemical weapons, their delivery systems, and related material – distinction here is that the material is not weaponized… it does not pose an immediate threat.","MSRG DEC 2025, 1. Naval Warfare, FREEDOM OF NAVIGATION AND MARITIME INTERCEPTION OPERATIONS, PDF p.6-6",staff_reference; rag_retrieval,qa; staff_advice,naval warfare; freedom of navigation; maritime interception; FREEDOM; OF; NAVIGATION; AND; MARITIME; INTERCEPTION; OPERATIONS,해군전; 항행의 자유; 해상차단,MSRG의 FREEDOM OF NAVIGATION AND MARITIME INTERCEPTION OPERATIONS 관련 참모운용·작전계획 절차와 고려사항을 설명하는 원문 chunk.,public,ok,NO,v1
