chunk_id,parent_structure_id,document_id,document_title,document_short_title,publication_date,publisher,source_file,pdf_page_start,pdf_page_end,printed_page_start,printed_page_end,chapter,section,subsection,chunk_type,chunk_text,chunk_char_count,token_count_est,content_function,mode_relevance,retrieval_priority,keywords_en,keywords_ko,summary_ko,embedding_text,citation_text,security_class,answer_limit_note,source_locator,language,processing_status,review_required,version,created_date,updated_date
AFDP2_0_2026_CHUNK_00001,AFDP2_0_2026_FRONT_MATTER_COVER,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,1,1,,,Front Matter,Cover,,front_matter,AIR FORCE DOCTRINE PUBLICATION 2-0 INTELLIGENCE 01 May 2026,59,15,document_metadata;document_context,qa;staff_advice,low,intelligence; ISR; analysis; reachback; AETF; AEW; AIR; FORCE; DOCTRINE,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 공군교리,Front Matter Cover 관련 내용: AIR FORCE DOCTRINE PUBLICATION 2-0 INTELLIGENCE 01 May 2026,"Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Front Matter
Section: Cover
Subsection: 
Keywords: intelligence; ISR; analysis; reachback; AETF; AEW; AIR; FORCE; DOCTRINE
Text: AIR FORCE DOCTRINE PUBLICATION 2-0 INTELLIGENCE 01 May 2026","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Front Matter, Cover, printed pp. -.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Front Matter, Cover, PDF pp. 1-1, printed pp. -",en,complete,YES,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00002,AFDP2_0_2026_FRONT_MATTER_TABLE_OF_CONTENTS,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,2,2,,,Front Matter,Table of Contents,,front_matter,"Table of Contents Foreword ......................................................................................................................... i Chapter 1: AIR FORCE INTELLIGENCE FUNDAMENTALS ........................................ 1 NATIONAL POLICY AND GUIDANCE ....................................................................... 1 FOUNDATIONS OF INTELLIGENCE PRODUCTION ................................................. 2 AIR COMPONENT INTELLIGENCE SUPPORT ......................................................... 5 INTELLIGENCE ROLES IN OPERATIONS ................................................................ 7 Chapter 2: COMMAND AND CONTROL, FORCE PRESENTATION, AND ORGANIZATION........................................................................................................... 10 ROLES AND RESPONSIBILITIES ............................................................................ 10 SUPPORT RELATIONSHIPS .................................................................................... 15 Chapter 3: INTELLIGENCE PROCESS .......................................................................",1129,283,document_metadata;document_context,qa;staff_advice,low,intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; reachback; AETF,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 지휘통제,Front Matter Table of Contents 관련 내용: Table of Contents Foreword .................................................................................................................,"Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Front Matter
Section: Table of Contents
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; reachback; AETF
Text: Table of Contents Foreword ......................................................................................................................... i Chapter 1: AIR FORCE INTELLIGENCE FUNDAMENTALS ........................................ 1 NATIONAL POLICY AND GUIDANCE ....................................................................... 1 FOUNDATIONS OF INTELLIGENCE PRODUCTION ................................................. 2 AIR COMPONENT INTELLIGENCE SUPPORT ......................................................... 5 INTELLIGENCE ROLES IN OPERATIONS ................................................................ 7 Chapter 2: COMMAND AND CONTROL, FORCE PRESENTATION, AND ORGANIZATION........................................................................................................... 10 ROLES AND RESPONSIBILITIES ............................................................................ 10 SUPPORT RELATIONSHIPS .................................................................................... 15 Chapter 3: INTELLIGENCE PROCESS .......................................................................","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Front Matter, Table of Contents, printed pp. -.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Front Matter, Table of Contents, PDF pp. 2-2, printed pp. -",en,complete,YES,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00003,AFDP2_0_2026_FRONT_MATTER_TABLE_OF_CONTENTS,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,2,2,,,Front Matter,Table of Contents,,front_matter,15 Chapter 3: INTELLIGENCE PROCESS ....................................................................... 18 THE INTELLIGENCE PROCESS .............................................................................. 18 PLANNING AND DIRECTION ................................................................................... 19 COLLECTION ............................................................................................................ 21 PROCESSING AND EXPLOITATION ....................................................................... 24 ANALYSIS AND PRODUCTION ............................................................................... 26 DISSEMINATION AND INTEGRATION .................................................................... 30 EVALUATION AND FEEDBACK .............................................................................. 31 References ................................................................................................................... 33,997,250,document_metadata;document_context,qa;staff_advice,low,intelligence; ISR; analysis; collection; CMA; planning and direction; processing; PROCESS; THE; PLANNING,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리,Front Matter Table of Contents 관련 내용: 15 Chapter 3: INTELLIGENCE PROCESS ....................................................................... 18 THE INTELLIGENCE PROCESS .....,"Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Front Matter
Section: Table of Contents
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; planning and direction; processing; PROCESS; THE; PLANNING
Text: 15 Chapter 3: INTELLIGENCE PROCESS ....................................................................... 18 THE INTELLIGENCE PROCESS .............................................................................. 18 PLANNING AND DIRECTION ................................................................................... 19 COLLECTION ............................................................................................................ 21 PROCESSING AND EXPLOITATION ....................................................................... 24 ANALYSIS AND PRODUCTION ............................................................................... 26 DISSEMINATION AND INTEGRATION .................................................................... 30 EVALUATION AND FEEDBACK .............................................................................. 31 References ................................................................................................................... 33","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Front Matter, Table of Contents, printed pp. -.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Front Matter, Table of Contents, PDF pp. 2-2, printed pp. -",en,complete,YES,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00004,AFDP2_0_2026_FOREWORD_FOREWORD,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,3,3,i,i,Foreword,Foreword,,front_matter,"Intelligence is a joint function that serves to provide information, assessments, and estimates to the commanders and their staff to support situational understanding and enable decision-making. Global Integrated Intelligence, Surveillance, and Reconnaissance (GIISR) is one of the Air Force’s Core Functions. ISR is an activity that synchronizes and integrates the planning and operation of sensors, assets, processing, exploitation, and dissemination (PED) systems, and analytic systems or capabilities directly support current and future intelligence operations. The Air Force Deputy Chief of Staff for Intelligence, Surveillance, and Reconnaissance (AF/A2) is responsible for policy formulation, planning, evaluation, oversight, and leadership of United States Air Force (USAF) global integrated ISR. As the USAF’s Senior Intelligence Officer (SIO), the AF/A2 has the authority to collaborate and coordinate with the Under Secretary of War for Intelligence and Security [USW(I&S)] and execute, as delegated, the Secretary of the Air Force’s Secretary of the Military Department and Department of War Component Head intelligence responsibilities.",1149,288,document_metadata;document_context,qa;staff_advice,low,intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; reachback; AETF,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 지휘통제,"Foreword Foreword 관련 내용: Intelligence is a joint function that serves to provide information, assessments, and estimates to the commanders and their staff to support","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Foreword
Section: Foreword
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; reachback; AETF
Text: Intelligence is a joint function that serves to provide information, assessments, and estimates to the commanders and their staff to support situational understanding and enable decision-making. Global Integrated Intelligence, Surveillance, and Reconnaissance (GIISR) is one of the Air Force’s Core Functions. ISR is an activity that synchronizes and integrates the planning and operation of sensors, assets, processing, exploitation, and dissemination (PED) systems, and analytic systems or capabilities directly support current and future intelligence operations. The Air Force Deputy Chief of Staff for Intelligence, Surveillance, and Reconnaissance (AF/A2) is responsible for policy formulation, planning, evaluation, oversight, and leadership of United States Air Force (USAF) global integrated ISR. As the USAF’s Senior Intelligence Officer (SIO), the AF/A2 has the authority to collaborate and coordinate with the Under Secretary of War for Intelligence and Security [USW(I&S)] and execute, as delegated, the Secretary of the Air Force’s Secretary of the Military Department and Department of War Component Head intelligence responsibilities.","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Foreword, Foreword, printed pp. i-i.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Foreword, Foreword, PDF pp. 3-3, printed pp. i-i",en,complete,YES,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00005,AFDP2_0_2026_FOREWORD_FOREWORD,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,3,3,i,i,Foreword,Foreword,,front_matter,"As the USAF’s Senior Intelligence Officer (SIO), the AF/A2 has the authority to collaborate and coordinate with the Under Secretary of War for Intelligence and Security [USW(I&S)] and execute, as delegated, the Secretary of the Air Force’s Secretary of the Military Department and Department of War Component Head intelligence responsibilities. As head of the USAF Intelligence Community (IC) element, the AF/A2 coordinates and advocates for USAF ISR capabilities within the Office of the Director of National Intelligence (ODNI).",530,133,document_metadata;document_context,qa;staff_advice,low,intelligence; ISR; analysis; collection; CMA; reachback; AETF; AEW; USAF; SIO,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리,"Foreword Foreword 관련 내용: As the USAF’s Senior Intelligence Officer (SIO), the AF/A2 has the authority to collaborate and coordinate with the Under Secretary of War f","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Foreword
Section: Foreword
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; reachback; AETF; AEW; USAF; SIO
Text: As the USAF’s Senior Intelligence Officer (SIO), the AF/A2 has the authority to collaborate and coordinate with the Under Secretary of War for Intelligence and Security [USW(I&S)] and execute, as delegated, the Secretary of the Air Force’s Secretary of the Military Department and Department of War Component Head intelligence responsibilities. As head of the USAF Intelligence Community (IC) element, the AF/A2 coordinates and advocates for USAF ISR capabilities within the Office of the Director of National Intelligence (ODNI).","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Foreword, Foreword, printed pp. i-i.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Foreword, Foreword, PDF pp. 3-3, printed pp. i-i",en,complete,YES,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00006,AFDP2_0_2026_CHAPTER_1_AIR_FORCE_INTELLIGENCE_FUNDAMENTALS,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,4,4,1,1,Chapter 1,AIR FORCE INTELLIGENCE FUNDAMENTALS,,body,"United States Air Force (USAF) intelligence efforts are guided by a clear hierarchy, flowing from national strategic policy and guidance down to daily operations. The foundation of top-level direction from national security, defense, and intelligence community (IC) standards shapes the organization and prioritization of intelligence forces. From there, this strategic intent is translated into operational practice through specific USAF core functions, such as Global Integrated Intelligence, Surveillance, and Reconnaissance (GIISR). Intelligence production follows a structured progression, moving from raw data and basic information toward refined assessments and enduring knowledge frameworks. Understanding this progression highlights the essential difference between intelligence as a capability (the processes, people, and systems) and intelligence as a product (the outputs that inform commanders’ decisions). Together, these elements form an integrated architecture that aligns national priorities with the execution of the joint intelligence process, ensuring coherence from strategic guidance to tactical application.",1130,283,doctrinal_content;operational_context,qa;staff_advice,normal,intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; data governance; OBI,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 지휘통제; 데이터; 지식모델,"Chapter 1 AIR FORCE INTELLIGENCE FUNDAMENTALS 관련 내용: United States Air Force (USAF) intelligence efforts are guided by a clear hierarchy, flowing from national strategic policy and guidance dow","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Chapter 1
Section: AIR FORCE INTELLIGENCE FUNDAMENTALS
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; data governance; OBI
Text: United States Air Force (USAF) intelligence efforts are guided by a clear hierarchy, flowing from national strategic policy and guidance down to daily operations. The foundation of top-level direction from national security, defense, and intelligence community (IC) standards shapes the organization and prioritization of intelligence forces. From there, this strategic intent is translated into operational practice through specific USAF core functions, such as Global Integrated Intelligence, Surveillance, and Reconnaissance (GIISR). Intelligence production follows a structured progression, moving from raw data and basic information toward refined assessments and enduring knowledge frameworks. Understanding this progression highlights the essential difference between intelligence as a capability (the processes, people, and systems) and intelligence as a product (the outputs that inform commanders’ decisions). Together, these elements form an integrated architecture that aligns national priorities with the execution of the joint intelligence process, ensuring coherence from strategic guidance to tactical application.","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Chapter 1, AIR FORCE INTELLIGENCE FUNDAMENTALS, printed pp. 1-1.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Chapter 1, AIR FORCE INTELLIGENCE FUNDAMENTALS, PDF pp. 4-4, printed pp. 1-1",en,complete,NO,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00007,AFDP2_0_2026_CHAPTER_1_NATIONAL_POLICY_AND_GUIDANCE,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,4,5,1,2,Chapter 1,NATIONAL POLICY AND GUIDANCE,,body,"The President of the United States (US) and the Secretary of War (SecWar) provide strategic guidance for the Department of War (DoW), which directs the prioritization of homeland defense and deterring threats in key regions such as the Indo-Pacific. These strategies create a cascading framework of objectives, priorities, and requirements that flow from the highest levels of national leadership down to the individual analyst and intelligence, surveillance, and reconnaissance (ISR) platform. This alignment ensures a unified effort of national and military intelligence for military operations, linking operational intelligence collection and analysis directly to the nation's strategic objectives. National Intelligence Strategy (NIS). The Director of National Intelligence’s (DNI) strategy calls for a more agile, integrated IC that collaborates across the 18 member agencies and with partners, reinforcing the need for USAF intelligence activities to share data with other services, combatant commands (CCMD), and multinational intelligence partners to inform national decision-making. This emphasizes common standards, data interoperability, and fusion intelligence efforts.",1181,296,doctrinal_content;operational_context,qa;staff_advice,normal,intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; data governance; OBI,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 지휘통제; 데이터; 지식모델,"Chapter 1 NATIONAL POLICY AND GUIDANCE 관련 내용: The President of the United States (US) and the Secretary of War (SecWar) provide strategic guidance for the Department of War (DoW), which","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Chapter 1
Section: NATIONAL POLICY AND GUIDANCE
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; data governance; OBI
Text: The President of the United States (US) and the Secretary of War (SecWar) provide strategic guidance for the Department of War (DoW), which directs the prioritization of homeland defense and deterring threats in key regions such as the Indo-Pacific. These strategies create a cascading framework of objectives, priorities, and requirements that flow from the highest levels of national leadership down to the individual analyst and intelligence, surveillance, and reconnaissance (ISR) platform. This alignment ensures a unified effort of national and military intelligence for military operations, linking operational intelligence collection and analysis directly to the nation's strategic objectives. National Intelligence Strategy (NIS). The Director of National Intelligence’s (DNI) strategy calls for a more agile, integrated IC that collaborates across the 18 member agencies and with partners, reinforcing the need for USAF intelligence activities to share data with other services, combatant commands (CCMD), and multinational intelligence partners to inform national decision-making. This emphasizes common standards, data interoperability, and fusion intelligence efforts.","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Chapter 1, NATIONAL POLICY AND GUIDANCE, printed pp. 1-2.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Chapter 1, NATIONAL POLICY AND GUIDANCE, PDF pp. 4-5, printed pp. 1-2",en,complete,NO,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00008,AFDP2_0_2026_CHAPTER_1_NATIONAL_POLICY_AND_GUIDANCE,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,4,5,1,2,Chapter 1,NATIONAL POLICY AND GUIDANCE,,body,"This emphasizes common standards, data interoperability, and fusion intelligence efforts. The NIS provides the broad IC-wide analytic and workforce priorities and shapes the National Intelligence Priorities Framework (NIPF), framing what capabilities and adversaries matter most, while the defense intelligence guidance embedded in national defense planning translates those into mission-specific, DoW, and USAF intelligence requirements that shape how intelligence collection and analysis are conducted daily. This ensures that the USAF’s analytic outputs are relevant, timely, and aligned with strategic goals from the President and DNI down to the individual analyst. Joint Functions. Joint functions are a grouping of capabilities and activities that enable joint force commanders (JFCs) to synchronize, integrate, and direct joint operations. Intelligence is one of seven joint functions along with command and control (C2), information, fires, movement and maneuver, protection, and sustainment. Intelligence provides information, assessments, and estimates to enable decision-making.",1090,273,doctrinal_content;operational_context,qa;staff_advice,normal,intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; data governance; OBI,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 지휘통제; 데이터; 지식모델,"Chapter 1 NATIONAL POLICY AND GUIDANCE 관련 내용: This emphasizes common standards, data interoperability, and fusion intelligence efforts. The NIS provides the broad IC-wide analytic and wo","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Chapter 1
Section: NATIONAL POLICY AND GUIDANCE
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; data governance; OBI
Text: This emphasizes common standards, data interoperability, and fusion intelligence efforts. The NIS provides the broad IC-wide analytic and workforce priorities and shapes the National Intelligence Priorities Framework (NIPF), framing what capabilities and adversaries matter most, while the defense intelligence guidance embedded in national defense planning translates those into mission-specific, DoW, and USAF intelligence requirements that shape how intelligence collection and analysis are conducted daily. This ensures that the USAF’s analytic outputs are relevant, timely, and aligned with strategic goals from the President and DNI down to the individual analyst. Joint Functions. Joint functions are a grouping of capabilities and activities that enable joint force commanders (JFCs) to synchronize, integrate, and direct joint operations. Intelligence is one of seven joint functions along with command and control (C2), information, fires, movement and maneuver, protection, and sustainment. Intelligence provides information, assessments, and estimates to enable decision-making.","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Chapter 1, NATIONAL POLICY AND GUIDANCE, printed pp. 1-2.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Chapter 1, NATIONAL POLICY AND GUIDANCE, PDF pp. 4-5, printed pp. 1-2",en,complete,NO,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00009,AFDP2_0_2026_CHAPTER_1_NATIONAL_POLICY_AND_GUIDANCE,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,4,5,1,2,Chapter 1,NATIONAL POLICY AND GUIDANCE,,body,"Intelligence provides information, assessments, and estimates to enable decision-making. Intelligence also enables the other joint functions by continuously providing commanders and their staff with a holistic understanding of the operational environment (OE) to inform operational design and planning, intelligence estimates to facilitate plans for future joint military operations, and current intelligence to assess operations in relation to desired effects and objectives.",476,119,doctrinal_content;operational_context,qa;staff_advice,low,intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; reachback; AETF,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 지휘통제,"Chapter 1 NATIONAL POLICY AND GUIDANCE 관련 내용: Intelligence provides information, assessments, and estimates to enable decision-making. Intelligence also enables the other joint functions","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Chapter 1
Section: NATIONAL POLICY AND GUIDANCE
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; command and control; OPCON; TACON; reachback; AETF
Text: Intelligence provides information, assessments, and estimates to enable decision-making. Intelligence also enables the other joint functions by continuously providing commanders and their staff with a holistic understanding of the operational environment (OE) to inform operational design and planning, intelligence estimates to facilitate plans for future joint military operations, and current intelligence to assess operations in relation to desired effects and objectives.","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Chapter 1, NATIONAL POLICY AND GUIDANCE, printed pp. 1-2.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Chapter 1, NATIONAL POLICY AND GUIDANCE, PDF pp. 4-5, printed pp. 1-2",en,complete,YES,v1.0,2026-05-08,2026-05-08
AFDP2_0_2026_CHUNK_00010,AFDP2_0_2026_CHAPTER_1_FOUNDATIONS_OF_INTELLIGENCE_PRODUCTION,AFDP2_0_2026,"Air Force Doctrine Publication 2-0, Intelligence",AFDP 2-0,01 May 2026,United States Air Force,2-0-AFDP-INTELLIGENCE.pdf,5,5,2,2,Chapter 1,FOUNDATIONS OF INTELLIGENCE PRODUCTION,,body,"The production of intelligence at the speed of modern conflict is no longer a matter of simply collecting more data, but of mastering the data collected. A deliberate data governance strategy is therefore a prerequisite for any effective intelligence operation. Without it, the immense volume of information from the operating environment remains a chaotic liability rather than a strategic asset. The ultimate goal is to achieve decision advantage, which is the ability to make better, faster, and more effective decisions than an adversary. It is gained by accessing superior information, analyzing it more effectively, and acting upon it more decisively. USAF A2’s ISR Strategic Vision 2032 USAF A2’s ISR Strategic Vision 2032 describes how AF ISR will operate in 2032, with a focus on executing the six Air Force Future Operating Concept (AFFOC) fights, and provides guidance on the strategic resourcing, technology, and human capital choices required to design and develop those forces. AF ISR will provide vital, modern, context-relevant capabilities as a core function of the USAF.",1088,272,doctrinal_content;operational_context,qa;staff_advice,normal,intelligence; ISR; analysis; collection; CMA; data governance; OBI; OBP; reachback; AETF,정보; 첩보; 정보분석; 정보감시정찰; ISR; 분석; 수집; 공군교리; 데이터; 지식모델,"Chapter 1 FOUNDATIONS OF INTELLIGENCE PRODUCTION 관련 내용: The production of intelligence at the speed of modern conflict is no longer a matter of simply collecting more data, but of mastering the da","Document: Air Force Doctrine Publication 2-0, Intelligence
Chapter: Chapter 1
Section: FOUNDATIONS OF INTELLIGENCE PRODUCTION
Subsection: 
Keywords: intelligence; ISR; analysis; collection; CMA; data governance; OBI; OBP; reachback; AETF
Text: The production of intelligence at the speed of modern conflict is no longer a matter of simply collecting more data, but of mastering the data collected. A deliberate data governance strategy is therefore a prerequisite for any effective intelligence operation. Without it, the immense volume of information from the operating environment remains a chaotic liability rather than a strategic asset. The ultimate goal is to achieve decision advantage, which is the ability to make better, faster, and more effective decisions than an adversary. It is gained by accessing superior information, analyzing it more effectively, and acting upon it more decisively. USAF A2’s ISR Strategic Vision 2032 USAF A2’s ISR Strategic Vision 2032 describes how AF ISR will operate in 2032, with a focus on executing the six Air Force Future Operating Concept (AFFOC) fights, and provides guidance on the strategic resourcing, technology, and human capital choices required to design and develop those forces. AF ISR will provide vital, modern, context-relevant capabilities as a core function of the USAF.","Air Force Doctrine Publication 2-0, Intelligence (01 May 2026), Chapter 1, FOUNDATIONS OF INTELLIGENCE PRODUCTION, printed pp. 2-2.",public,공개 배포 교리문서 기반 답변 가능. 원문 인용 시 citation_text와 source_locator를 함께 사용할 것.,"AFDP 2-0, Chapter 1, FOUNDATIONS OF INTELLIGENCE PRODUCTION, PDF pp. 5-5, printed pp. 2-2",en,complete,NO,v1.0,2026-05-08,2026-05-08
