rag_chunk_id,source_table,document_id,document_title,document_short_title,source_file,pdf_page_start,pdf_page_end,chunk_type,retrieval_priority,text,embedding_text,citation_text,content_function,mode_relevance,keywords_en,keywords_ko,summary_ko,security_class,processing_status,review_required,version
NDP1_FRONT_001_C001,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,1,1,source_control,low,Naval Doctrine Publication 1 Naval Warfare,"Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Title Page
English keywords: Naval Doctrine Publication; Naval Warfare
Korean keywords: 해군교리간행물; 해군전
Text: Naval Doctrine Publication 1 Naval Warfare","NDP 1, Front Matter, Title Page, PDF p.1-1",source_control; metadata,qa,Naval Doctrine Publication; Naval Warfare,해군교리간행물; 해군전,"교리 관련 원문 chunk. Naval Doctrine Publication 1, Naval Warfare 표지",public,ok,NO,v2
NDP1_FRONT_002_C001,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,3,3,front_matter,high,"FOREWORD Naval doctrine is the foundation upon which our tactics, techniques, and procedures are built. It articulates operational concepts that govern the employment of naval forces at all levels. A product of more than 218 years of U.S. Navy and Marine Corps experience in warfighting, it incorporates the lessons of history, learned in both the flush of success and the bitterness of failure.
This publication outlines the principles upon which we organize, train, equip, and employ naval forces. It explains how naval forces attain both enduring and evolving national objectives, emphasizing our participation in joint and multinational operations. It presents broad guidance for the total Navy and Marine Corps team, active and reserve. Every naval professional must understand its contents.
DEPARTMENT OF THE NAVY OFFICE OF THE CHIEF OF NAVAL OPERATIONS WASHINGTON, DC 20350-2000 AND HEADQUARTERS UNITED STATES MARINE CORPS WASHINGTON, DC 20380-0001 28 March 1994 C. E. MUNDY, JR.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Foreword
English keywords: doctrine; operational concepts; naval forces
Korean keywords: 교리; 운용개념; 해군력
Text: FOREWORD Naval doctrine is the foundation upon which our tactics, techniques, and procedures are built. It articulates operational concepts that govern the employment of naval forces at all levels. A product of more than 218 years of U.S. Navy and Marine Corps experience in warfighting, it incorporates the lessons of history, learned in both the flush of success and the bitterness of failure.
This publication outlines the principles upon which we organize, train, equip, and employ naval forces. It explains how naval forces attain both enduring and evolving national objectives, emphasizing our participation in joint and multinational operations. It presents broad guidance for the total Navy and Marine Corps team, active and reserve. Every naval professional must understand its contents.
DEPARTMENT OF THE NAVY OFFICE OF THE CHIEF OF NAVAL OPERATIONS WASHINGTON, DC 20350-2000 AND HEADQUARTERS UNITED STATES MARINE CORPS WASHINGTON, DC 20380-0001 28 March 1994 C. E. MUNDY, JR.","NDP 1, Front Matter, Foreword, PDF p.3-3",principle; source_control,qa; staff_advice,doctrine; operational concepts; naval forces,교리; 운용개념; 해군력,교리; 해군력; 합동; 목표 관련 원문 chunk. 교리는 전술·기술·절차의 기초이며 해군력 운용 개념을 제시함,public,ok,NO,v2
NDP1_FRONT_002_C002,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,3,3,source_control,low,"General, U. S. Marine Corps Commandant of the Marine Corps F. B. KELSO, II Admiral, U. S. Navy Chief of Naval Operations","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Foreword
English keywords: doctrine; operational concepts; naval forces
Korean keywords: 교리; 운용개념; 해군력
Text: General, U. S. Marine Corps Commandant of the Marine Corps F. B. KELSO, II Admiral, U. S. Navy Chief of Naval Operations","NDP 1, Front Matter, Foreword, PDF p.3-3",principle; source_control,qa; staff_advice,doctrine; operational concepts; naval forces,교리; 운용개념; 해군력,교리는 전술·기술·절차의 기초이며 해군력 운용 개념을 제시함,public,ok,NO,v2
NDP1_FRONT_003_C001,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,4,4,front_matter,high,"INTRODUCTION The success of an organized military force is associated directly with the validity of its doctrine. Doctrine is the starting point from which we develop solutions and options to address the specific warfighting demands and challenges we face in conducting operations other than war. Doctrine is conceptual  a shared way of thinking that is not directive. To be useful, doctrine must be uniformly known and understood. With doctrine we gain standardization, without relinquishing freedom of judgment and the commanders need to exercise initiative in battle.
Naval doctrine forms a bridge between the naval component of our nations military strategy and our tactics, techniques and procedures, such as those found in our Naval Warfare Publications and Fleet Marine Force Manuals. A commander, however, cannot operate solely under the guidance of broad strategy. Neither can he make appropriate mission decisions if guided only by tactics and techniques.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: INTRODUCTION The success of an organized military force is associated directly with the validity of its doctrine. Doctrine is the starting point from which we develop solutions and options to address the specific warfighting demands and challenges we face in conducting operations other than war. Doctrine is conceptual  a shared way of thinking that is not directive. To be useful, doctrine must be uniformly known and understood. With doctrine we gain standardization, without relinquishing freedom of judgment and the commanders need to exercise initiative in battle.
Naval doctrine forms a bridge between the naval component of our nations military strategy and our tactics, techniques and procedures, such as those found in our Naval Warfare Publications and Fleet Marine Force Manuals. A commander, however, cannot operate solely under the guidance of broad strategy. Neither can he make appropriate mission decisions if guided only by tactics and techniques.","NDP 1, Front Matter, Introduction, PDF p.4-4",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,교리; 지휘관 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
NDP1_FRONT_003_C002,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,4,4,front_matter,high,"Doctrine guides our actions toward well-defined goals and provides the basis for mutual understanding within and among the Services and the national policymakers. It ensures our familiarity and efficiency in the execution of procedures and tactics.
Naval Doctrine Publication (NDP) 1, Naval Warfare, provides a framework for detailed Navy and Marine Corps doctrine. It describes the character and employment of our naval forces, highlighting the distinctiveness of warfare in the maritime environment.
Its concepts apply to all who serve in or work with the Naval Services.
The United States, the most powerful nation on earth, depends upon transoceanic links  commercial and military  to allies, friends, and interests. Our nations maritime strength has enabled us to endure more than two centuries of global crisis and","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: Doctrine guides our actions toward well-defined goals and provides the basis for mutual understanding within and among the Services and the national policymakers. It ensures our familiarity and efficiency in the execution of procedures and tactics.
Naval Doctrine Publication (NDP) 1, Naval Warfare, provides a framework for detailed Navy and Marine Corps doctrine. It describes the character and employment of our naval forces, highlighting the distinctiveness of warfare in the maritime environment.
Its concepts apply to all who serve in or work with the Naval Services.
The United States, the most powerful nation on earth, depends upon transoceanic links  commercial and military  to allies, friends, and interests. Our nations maritime strength has enabled us to endure more than two centuries of global crisis and","NDP 1, Front Matter, Introduction, PDF p.4-4",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,교리; 해군력 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
NDP1_FRONT_003_C003,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,5,5,front_matter,high,"confrontation that have reflected the worlds unending religious, ethnic, economic, political, and ideological strife. Whenever these crises have threatened our national interests, our leaders traditionally have responded with naval forces.
This publication introduces who we are, what we do, how we fight, and where we must go in the future. It examines the importance of readiness, flexibility, self-sustainability, and mobility in expeditionary operations. It shows how these characteristics make naval forces inherently suitable for maintaining forward presence and responding to crises. NDP 1 outlines the varied missions naval forces routinely execute and the wide range of capabilities that naval forces possess.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: confrontation that have reflected the worlds unending religious, ethnic, economic, political, and ideological strife. Whenever these crises have threatened our national interests, our leaders traditionally have responded with naval forces.
This publication introduces who we are, what we do, how we fight, and where we must go in the future. It examines the importance of readiness, flexibility, self-sustainability, and mobility in expeditionary operations. It shows how these characteristics make naval forces inherently suitable for maintaining forward presence and responding to crises. NDP 1 outlines the varied missions naval forces routinely execute and the wide range of capabilities that naval forces possess.","NDP 1, Front Matter, Introduction, PDF p.5-5",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,해군력; 전방전개 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
NDP1_FRONT_003_C004,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,5,5,front_matter,high,"Naval forces alone however, never were intended to have every military capability needed to handle every threat or crisis that our nation may face. Just as using complementary capabilities within our naval forces compounds our overall strength, combining the capabilities and resources of other Services and other nations in joint and multinational operations can produce overwhelming military power.
In future conflicts and calls for major assistance, our nation will answer with joint forces in most cases. To be prepared for those challenges, we must maintain our ability to conduct day-to-day operations with other Services and other nations. NDP 1 emphasizes the importance of honing the teamwork needed to operate efficiently in the joint and multinational environment.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: Naval forces alone however, never were intended to have every military capability needed to handle every threat or crisis that our nation may face. Just as using complementary capabilities within our naval forces compounds our overall strength, combining the capabilities and resources of other Services and other nations in joint and multinational operations can produce overwhelming military power.
In future conflicts and calls for major assistance, our nation will answer with joint forces in most cases. To be prepared for those challenges, we must maintain our ability to conduct day-to-day operations with other Services and other nations. NDP 1 emphasizes the importance of honing the teamwork needed to operate efficiently in the joint and multinational environment.","NDP 1, Front Matter, Introduction, PDF p.5-5",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,해군력; 합동 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
NDP1_FRONT_003_C005,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,5,5,front_matter,high,"NDP 1 describes the ways naval forces accomplish their missions and execute their roles as part of the joint military team of the future. It reviews the principles of war from the naval perspective, and describes how naval forces focus their resources to attain operational superiority. The ultimate source of peacetime persuasive power, however, lies in the implied guarantee that both the intent and capability to protect our national interests are present just over the horizon, with the fortitude and staying power to sustain operations as long as necessary.
This introductory publication is the first in a series of six capstone documents for naval forces that translate the vision and strategy of the White Paper  . . . From the Sea into doctrinal reality.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: NDP 1 describes the ways naval forces accomplish their missions and execute their roles as part of the joint military team of the future. It reviews the principles of war from the naval perspective, and describes how naval forces focus their resources to attain operational superiority. The ultimate source of peacetime persuasive power, however, lies in the implied guarantee that both the intent and capability to protect our national interests are present just over the horizon, with the fortitude and staying power to sustain operations as long as necessary.
This introductory publication is the first in a series of six capstone documents for naval forces that translate the vision and strategy of the White Paper  . . . From the Sea into doctrinal reality.","NDP 1, Front Matter, Introduction, PDF p.5-5",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,해군력; 합동 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
NDP1_FRONT_003_C006,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,6,6,front_matter,high,"The top-down focus will help ensure consistency between naval and joint doctrine, increase fleet awareness and understanding, and provide standardization for naval operations. The full series is composed of the following: l NDP 1, Naval Warfare, describes the inherent nature and enduring principles of naval forces. l NDP 2, Naval Intelligence, points the way for intelligence support in meeting the requirements of both regional conflicts and operations other than war. l NDP 3, Naval Operations, develops doctrine to reaffirm the foundation of U.S. Navy and Marine Corps expeditionary maritime traditions. l NDP 4, Naval Logistics, addresses the full range of logistical capabilities that are essential in the support of naval forces. l NDP 5, Naval Planning, examines planning and the relationship between our capabilities and operational planning in the joint and multinational environment. l NDP 6, Naval Command and Control, provides the basic concepts to fulfill the information needs of commanders, forces, and weapon systems.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: The top-down focus will help ensure consistency between naval and joint doctrine, increase fleet awareness and understanding, and provide standardization for naval operations. The full series is composed of the following: l NDP 1, Naval Warfare, describes the inherent nature and enduring principles of naval forces. l NDP 2, Naval Intelligence, points the way for intelligence support in meeting the requirements of both regional conflicts and operations other than war. l NDP 3, Naval Operations, develops doctrine to reaffirm the foundation of U.S. Navy and Marine Corps expeditionary maritime traditions. l NDP 4, Naval Logistics, addresses the full range of logistical capabilities that are essential in the support of naval forces. l NDP 5, Naval Planning, examines planning and the relationship between our capabilities and operational planning in the joint and multinational environment. l NDP 6, Naval Command and Control, provides the basic concepts to fulfill the information needs of commanders, forces, and weapon systems.","NDP 1, Front Matter, Introduction, PDF p.6-6",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,교리; 해군력; 지휘관; 군수; 합동 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
NDP1_FRONT_003_C007,Chunk_Metadata,NDP 1,Naval Warfare,NDP 1,NDP_1_Naval_Warfare_1994.pdf,6,6,front_matter,high,"Clearly, the uses of military force are being redirected toward regional contingencies and political persuasion, moving away from the prospect of all-or-nothing global war with another superpower.
Nevertheless, a significant theme of this publication is that our Naval Services fundamental missions have not changed. Our nations continued existence is tied to the seas, and our freedom to use those seas is guaranteed by our naval forces.","Document: NDP 1 - Naval Warfare
Chapter: Front Matter
Section: Introduction
English keywords: doctrine; strategy; tactics; techniques; procedures
Korean keywords: 교리; 전략; 전술; 기술; 절차
Text: Clearly, the uses of military force are being redirected toward regional contingencies and political persuasion, moving away from the prospect of all-or-nothing global war with another superpower.
Nevertheless, a significant theme of this publication is that our Naval Services fundamental missions have not changed. Our nations continued existence is tied to the seas, and our freedom to use those seas is guaranteed by our naval forces.","NDP 1, Front Matter, Introduction, PDF p.6-6",definition; principle,qa; staff_advice,doctrine; strategy; tactics; techniques; procedures,교리; 전략; 전술; 기술; 절차,해군력 관련 원문 chunk. 교리는 전략과 전술·기술·절차 사이의 가교이며 공통 이해를 제공함,public,ok,NO,v2
